tile_id,n_observed_edges,n_boundary_nodes,n_interior_nodes,harmonics,D_mode,D_mean,D_median,D_ci95_low,D_ci95_high,W95_decades,posterior_mass_at_lower_boundary,posterior_mass_at_upper_boundary,prior_width_decades,prior_to_posterior_width_ratio,identified,cholesky_attempts,cholesky_jitter_uses,cholesky_failures,cholesky_max_jitter
1,193,17,149,H2,0.001584893192461114,0.00477919550748924,0.0009326524099369614,1.9483774184113057e-05,0.033737657656272,3.238441839550584,0.0046368325894925524,0.0030786097536581072,3.9199999999999995,1.2104586693902148,True,560511,0,0,0.0
3,208,25,156,H2,0.002511886431509582,0.005090789530713318,0.001253912561043142,2.091653069411451e-05,0.0354968442822508,3.22970009318604,0.004167107606959253,0.0035332368234953244,3.9199999999999995,1.2137349868089429,True,560511,0,0,0.0
7,59,28,41,H2,0.0012589254117941675,0.003064421645570226,0.0008139443105932046,1.9428921007612103e-05,0.017573141044004426,2.956400712179582,0.0046502066989956145,0.0005478773628567452,3.9199999999999995,1.325936630934584,True,560511,0,0,0.0
8,141,26,122,H2,0.0007943282347242822,0.0014006515526818913,0.00044358482221472384,1.605741654268307e-05,0.00764625199982875,2.6777729336165073,0.00649728128557894,0.00013117495718157563,3.9199999999999995,1.4639030631718961,True,560511,0,0,0.0
2,281,35,214,H2,0.00039810717055349735,0.004168224299382062,0.0005557909267934084,1.7567531568909827e-05,0.03341793116478503,3.279268817475143,0.005448201995528516,0.0032922464493564435,3.9199999999999995,1.1953884290029582,True,560511,0,0,0.0
4,324,38,248,H2,0.001,0.003473663286015648,0.0005788814026764174,1.566552333747747e-05,0.023748562581353157,3.1806924204905993,0.006802226587425448,0.0013828636017143008,3.9199999999999995,1.232436049064866,True,560511,0,0,0.0
6,212,50,159,H2,0.001584893192461114,0.007384441230572007,0.0012696237983226908,2.1716884159734715e-05,0.0534893669062745,3.3914699428886603,0.003906557940364234,0.007767053438821859,3.9199999999999995,1.155840996975243,True,720027,177240,17724,0.00011406251511141065
9,212,37,180,H2,0.006309573444801936,0.005203280170029233,0.001801077913098642,2.4940683431397678e-05,0.02414421231133852,2.985904691441366,0.003233639937914728,0.00037116469067494817,3.9199999999999995,1.3128349378451607,True,560511,0,0,0.0
10,253,29,209,H2,0.00019952623149688788,0.0014971938455467218,0.00016124351273188477,1.2108019416247932e-05,0.015950043296929374,3.119688757588233,0.012379832646035894,0.001125939776804213,3.9199999999999995,1.2565356048628615,True,560511,0,0,0.0
11,248,42,190,H2,0.00012589254117941674,0.00019850158955273632,8.69730447172416e-05,9.999999999999997e-06,0.0008474014302079934,1.928089192649294,0.02548468094384797,3.960594180274929e-07,3.9199999999999995,2.033100965943239,True,560511,0,0,0.0
14,120,39,88,H2,5.011872336272725e-05,5.420153866638089e-05,3.943991049593128e-05,1.0403936824005624e-05,0.0001421463719122378,1.135538073048962,0.01965733231608057,1.2726324444250566e-14,3.9199999999999995,3.4521079416339195,True,571266,11950,1195,0.0012122962341773581
13,241,35,189,H2,5.011872336272725e-05,8.480694905239922e-05,4.5478196298014275e-05,1.0856267322420983e-05,0.0003184757269594965,1.4673958088571646,0.016098536398512435,1.884623080692443e-08,3.9199999999999995,2.671399206907214,True,560511,0,0,0.0
12,298,52,228,H2,0.001584893192461114,0.003006230922320478,0.0008517299435965226,1.9809950514014183e-05,0.0164353258339628,2.918894927830672,0.00452085991571344,0.0004249415531354434,3.9199999999999995,1.3429740010934037,True,560511,0,0,0.0
18,273,33,205,H2,0.00039810717055349735,0.0010065525446493176,0.00031357374196197194,1.4582825388877245e-05,0.005157933775201853,2.5486340860639176,0.007840960932639264,9.821169691355993e-05,3.9199999999999995,1.5380787777401206,True,560511,0,0,0.0
