ci95_high,ci95_low,harmonic,median,mode,parameter,tile_id
29.28173564364506,0.5147301077311464,2,2.4972662712825437,2.45063709469745,tau_b,1
3.3925274778089635e-16,1.1058771291205517e-17,2,4.621931800582109e-17,6.218804102873498e-17,a,1
0.9496507162083782,0.7466523047572687,2,0.8481515104828234,0.9549925860214352,s,1
0.9029494104888318,0.5586026312023685,2,0.7307760208456002,0.9120108393559084,s2,1
23.05306851537116,0.569045571533027,2,4.110730103762833,4.162766037009365,tau_b,3
1.3292726061322615e-16,5.4765798364970545e-18,2,2.0992775624111443e-17,3.079707162766499e-17,a,3
0.9496505703663533,0.7466523010205434,2,0.8481514356934483,0.9549925860214352,s,3
0.9029491630965927,0.5586026248637507,2,0.7307758939801717,0.9120108393559084,s2,3
1.1364522097590215,0.5,2,0.5448931963232819,0.5,tau_b,7
9.81471864746003e-16,2.378861111700635e-17,2,1.144923657473758e-16,1.8895965475114045e-16,a,7
0.9525402434503345,0.7467236394694888,2,0.8496319414599117,0.9549925860214352,s,7
0.9078509237189873,0.5587236364763937,2,0.7332872800976906,0.9120108393559084,s2,7
1.4316117016602425,0.5,2,0.6127876639003553,0.5,tau_b,8
5.043368278652251e-16,6.1438762743718574e-18,2,4.855074286594013e-17,2.7443687239674935e-16,a,8
0.9496578636277396,0.7466524880128357,2,0.8481551758202877,0.9549925860214352,s,8
0.9029615346765028,0.5586029420593048,2,0.7307822383679038,0.9120108393559084,s2,8
27.53318870404713,0.5658791392820545,2,4.330608957414882,3.488839596806575,tau_b,2
2.97075451542753e-16,8.277449068209892e-18,2,3.950954665297588e-17,9.287450609076063e-17,a,2
0.9496505276554954,0.7466522999253935,2,0.8481514137904445,0.9549925860214352,s,2
0.9029490906460438,0.558602623006045,2,0.7307758568260443,0.9120108393559084,s2,2
6.486640620402199,0.5,2,1.7565158987711267,2.0538938910739097,tau_b,4
1.4357514211585668e-16,3.575215421828047e-18,2,1.853999520075734e-17,5.666334583637275e-17,a,4
0.9496504731936444,0.7466501853569776,2,0.848150329275311,0.9549925860214352,s,4
0.9029489982622518,0.5585990360576625,2,0.7307740171599573,0.9120108393559084,s2,4
1.3654831200481397,0.5,2,0.5435659643323872,0.5,tau_b,6
5.231411189036097e-16,1.7552834404163828e-17,2,6.879903549389999e-17,9.870684159684238e-17,a,6
0.949650590739906,0.7466523015429425,2,0.8481514461414242,0.9549925860214352,s,6
0.9029491976563078,0.5586026257498979,2,0.7307759117031029,0.9120108393559084,s2,6
0.8994483459455692,0.5,2,0.5128872657113834,0.5,tau_b,9
1.6510150366375678e-16,1.0652627940723221e-17,2,2.759293129966191e-17,1.0652627940723221e-17,a,9
0.9496505493629926,0.746652300481996,2,0.8481514249224943,0.9549925860214352,s,9
0.9029491274685326,0.5586026239502113,2,0.730775875709372,0.9120108393559084,s2,9
2.68392902023415,0.5,2,0.7734828409431812,0.5965831792352468,tau_b,10
2.871173939036467e-16,3.777466223980975e-18,2,2.95378224402901e-17,1.6873321821567541e-16,a,10
0.949650528156725,0.7466522999382456,2,0.8481514140474853,0.9549925860214352,s,10
0.9029490914962809,0.5586026230278459,2,0.7307758572620634,0.9120108393559084,s2,10
2.0306670271402303,0.5,2,0.659237934407372,0.5,tau_b,11
1.5255694475963987e-16,2.6738935860196655e-18,2,1.6660153499391194e-17,5.986102093304534e-17,a,11
0.9496505281548002,0.7466522999381963,2,0.8481514140464982,0.9549925860214352,s,11
0.9029490914930158,0.5586026230277622,2,0.7307758572603891,0.9120108393559084,s2,11
0.6150931615412151,0.5,2,0.5,0.5,tau_b,14
8.846233766525332e-16,1.1630369202582652e-17,2,8.990405574531398e-17,5.195095093451544e-16,a,14
0.9496526177548871,0.7466520529413837,2,0.8481523353481354,0.9549925860214352,s,14
0.902952636087551,0.5586022040463707,2,0.7307774200669609,0.9120108393559084,s2,14
1.1569163111801077,0.5,2,0.5394395702644156,0.5,tau_b,13
2.52605389161809e-16,8.778115261756702e-18,2,3.353235822411143e-17,3.494630629650438e-17,a,13
0.9496505281105606,0.7466522999370618,2,0.8481514140238112,0.9549925860214352,s,13
0.9029490914179721,0.558602623025838,2,0.730775857221905,0.9120108393559084,s2,13
1.6883757081018835,0.5,2,0.6374043519976417,0.5,tau_b,12
1.8553998989140596e-16,6.2519376256526554e-18,2,2.3139014354069046e-17,6.2519376256526554e-18,a,12
0.9496505275006113,0.7466522999214221,2,0.8481514137110167,0.9549925860214352,s,12
0.9029490903833133,0.5586026229993083,2,0.7307758566913107,0.9120108393559084,s2,12
1.6469907844450804,0.5,2,0.6561322632903804,0.5,tau_b,18
1.2064449819122086e-16,2.125484047530852e-18,2,1.3086513640416524e-17,3.368665197616351e-17,a,18
0.9496505278222714,0.7466522999296699,2,0.8481514138759707,0.9549925860214352,s,18
0.9029490909289464,0.5586026230132989,2,0.7307758569711227,0.9120108393559084,s2,18
3.415928905144868,0.5266042274274961,2,1.527601371775956,1.7213809930970339,tau_b,17
1.221242352181991e-16,2.521165937372167e-18,2,1.431291737960134e-17,3.995778731206e-17,a,17
0.9496505274740237,0.7466522999207404,2,0.848151413697382,0.9549925860214352,s,17
0.9029490903382127,0.5586026229981519,2,0.7307758566681823,0.9120108393559084,s2,17
1.4370991857435087,1.2149808080271975,2,1.3260399968853531,1.4426999059072136,tau_b,15
1.1472873012719522e-17,8.263901629659395e-18,2,9.868387321189459e-18,1.1553787302273768e-17,a,15
0.012810357692504007,0.010069120364265296,2,0.011439739028384651,0.012882495516931342,s,15
0.00016430799729969648,0.00010158164642542929,2,0.0001329448218625629,0.00016595869074375615,s2,15
3.3243308801997427,0.5,2,1.347781715774718,1.7213809930970339,tau_b,16
9.024235146435562e-17,2.513949238176206e-18,2,1.1096434148712493e-17,1.4136975460572763e-17,a,16
0.9496505274162306,0.7466522999192585,2,0.8481514136677446,0.9549925860214352,s,16
0.9029490902401781,0.5586026229956381,2,0.7307758566179081,0.9120108393559084,s2,16
1.335902814556857,0.5,2,0.543300520591249,0.5,tau_b,5
2.7879019379491084e-16,7.517662256229807e-18,2,3.963498642582974e-17,1.191469173312051e-16,a,5
0.9496505274034424,0.7466522999189307,2,0.8481514136611865,0.9549925860214352,s,5
0.9029490902184854,0.5586026229950819,2,0.7307758566067837,0.9120108393559084,s2,5
0.6661515683387925,0.5,2,0.5,0.5,tau_b,20
2.7020390894322356e-16,7.681160722739558e-18,2,3.4384015045820846e-17,4.319434099825422e-17,a,20
0.9496506071681143,0.7466523019641786,2,0.8481514545661465,0.9549925860214352,s,20
0.9029492255235241,0.5586026264644418,2,0.730775925993983,0.9120108393559084,s2,20
0.5720491599148778,0.5,2,0.5,0.5,tau_b,21
4.940183965059207e-16,8.696105940306534e-18,2,5.705192348599977e-17,1.9468156191793973e-16,a,21
0.9496506022688914,0.7466523018384844,2,0.8481514520536879,0.9549925860214352,s,21
0.9029492172129584,0.5586026262512266,2,0.7307759217320925,0.9120108393559084,s2,21
