D0,log_likelihood_marginal,log_posterior,log_prior,posterior_prob,tile_id
1e-05,12005.223185286528,12001.102527724206,-4.120657562321899,0.0046368325894925524,1
1.2589254117941661e-05,12005.222742104574,12001.314693668157,-3.9080484364163315,0.005732762037217578,1
1.584893192461114e-05,12005.221922731667,12001.516483421157,-3.7054393105107626,0.007014554456151442,1
1.9952623149688786e-05,12005.22055761963,12001.707727435025,-3.5128301846051952,0.008492905877573015,1
2.5118864315095822e-05,12005.218470130372,12001.888249071673,-3.330221058699625,0.010173159689070762,1
3.1622776601683795e-05,12005.215533519906,12002.057921587111,-3.1576119327940577,0.012054347273612676,1
3.9810717055349695e-05,12005.211743383496,12002.216740576607,-2.99500280688849,0.014129210964235013,1
5.011872336272725e-05,12005.20725647533,12002.364862794348,-2.8423936809829216,0.01638500474435894,1
6.309573444801929e-05,12005.202339483247,12002.502554928169,-2.699784555077354,0.018803794893956508,1
7.943282347242822e-05,12005.197227397734,12002.630051968561,-2.5671754291717854,0.021360763245465087,1
0.0001,12005.191971684564,12002.747405381298,-2.444566303266217,0.024020536660950095,1
0.00012589254117941674,12005.186383755257,12002.854426577896,-2.3319571773606493,0.026733844721501646,1
0.00015848931924611142,12005.180141900562,12002.950793849108,-2.229348051455081,0.029438331759170003,1
0.00019952623149688788,12005.173056396654,12003.036317471104,-2.1367389255495133,0.03206680068824562,1
0.0002511886431509582,12005.16534446568,12003.111214666036,-2.0541297996439445,0.0345607430292731,1
0.00031622776601683794,12005.15765695911,12003.176136285372,-1.981520673738377,0.036878918105737526,1
0.00039810717055349735,12005.150804565927,12003.231893018094,-1.9189115478328085,0.03899357135346168,1
0.0005011872336272725,12005.145450613676,12003.279148191748,-1.8663024219272404,0.040880450631354315,1
0.000630957344480193,12005.141970407345,12003.318277111324,-1.8236932960216725,0.042511766170401526,1
0.0007943282347242822,12005.140434187222,12003.349350017106,-1.7910841701161042,0.04385346760418456,1
0.001,12005.140579300778,12003.372104256567,-1.7684750442105361,0.04486275919164985,1
