D_ci95_high,D_ci95_low,D_mean,D_median,D_mode,W95_decades,cholesky_attempts,cholesky_failures,cholesky_jitter_uses,cholesky_max_jitter,harmonics,identified,n_boundary_nodes,n_interior_nodes,n_observed_edges,posterior_mass_at_lower_boundary,posterior_mass_at_upper_boundary,prior_to_posterior_width_ratio,prior_width_decades,tile_id
0.033737657656272,1.9483774184113057e-05,0.00477919550748924,0.0009326524099369614,0.001584893192461114,3.238441839550584,560511,0,0,0.0,H2,True,17,149,193,0.0046368325894925524,0.0030786097536581072,1.2104586693902148,3.9199999999999995,1
0.0354968442822508,2.091653069411451e-05,0.005090789530713318,0.001253912561043142,0.002511886431509582,3.22970009318604,560511,0,0,0.0,H2,True,25,156,208,0.004167107606959253,0.0035332368234953244,1.2137349868089429,3.9199999999999995,3
0.017573141044004426,1.9428921007612103e-05,0.003064421645570226,0.0008139443105932046,0.0012589254117941675,2.956400712179582,560511,0,0,0.0,H2,True,28,41,59,0.0046502066989956145,0.0005478773628567452,1.325936630934584,3.9199999999999995,7
0.00764625199982875,1.605741654268307e-05,0.0014006515526818913,0.00044358482221472384,0.0007943282347242822,2.6777729336165073,560511,0,0,0.0,H2,True,26,122,141,0.00649728128557894,0.00013117495718157563,1.4639030631718961,3.9199999999999995,8
0.03341793116478503,1.7567531568909827e-05,0.004168224299382062,0.0005557909267934084,0.00039810717055349735,3.279268817475143,560511,0,0,0.0,H2,True,35,214,281,0.005448201995528516,0.0032922464493564435,1.1953884290029582,3.9199999999999995,2
0.023748562581353157,1.566552333747747e-05,0.003473663286015648,0.0005788814026764174,0.001,3.1806924204905993,560511,0,0,0.0,H2,True,38,248,324,0.006802226587425448,0.0013828636017143008,1.232436049064866,3.9199999999999995,4
0.0534893669062745,2.1716884159734715e-05,0.007384441230572007,0.0012696237983226908,0.001584893192461114,3.3914699428886603,720027,17724,177240,0.00011406251511141065,H2,True,50,159,212,0.003906557940364234,0.007767053438821859,1.155840996975243,3.9199999999999995,6
0.02414421231133852,2.4940683431397678e-05,0.005203280170029233,0.001801077913098642,0.006309573444801936,2.985904691441366,560511,0,0,0.0,H2,True,37,180,212,0.003233639937914728,0.00037116469067494817,1.3128349378451607,3.9199999999999995,9
0.015950043296929374,1.2108019416247932e-05,0.0014971938455467218,0.00016124351273188477,0.00019952623149688788,3.119688757588233,560511,0,0,0.0,H2,True,29,209,253,0.012379832646035894,0.001125939776804213,1.2565356048628615,3.9199999999999995,10
0.0008474014302079934,9.999999999999997e-06,0.00019850158955273632,8.69730447172416e-05,0.00012589254117941674,1.928089192649294,560511,0,0,0.0,H2,True,42,190,248,0.02548468094384797,3.960594180274929e-07,2.033100965943239,3.9199999999999995,11
0.0001421463719122378,1.0403936824005624e-05,5.420153866638089e-05,3.943991049593128e-05,5.011872336272725e-05,1.135538073048962,571266,1195,11950,0.0012122962341773581,H2,True,39,88,120,0.01965733231608057,1.2726324444250566e-14,3.4521079416339195,3.9199999999999995,14
0.0003184757269594965,1.0856267322420983e-05,8.480694905239922e-05,4.5478196298014275e-05,5.011872336272725e-05,1.4673958088571646,560511,0,0,0.0,H2,True,35,189,241,0.016098536398512435,1.884623080692443e-08,2.671399206907214,3.9199999999999995,13
0.0164353258339628,1.9809950514014183e-05,0.003006230922320478,0.0008517299435965226,0.001584893192461114,2.918894927830672,560511,0,0,0.0,H2,True,52,228,298,0.00452085991571344,0.0004249415531354434,1.3429740010934037,3.9199999999999995,12
0.005157933775201853,1.4582825388877245e-05,0.0010065525446493176,0.00031357374196197194,0.00039810717055349735,2.5486340860639176,560511,0,0,0.0,H2,True,33,205,273,0.007840960932639264,9.821169691355993e-05,1.5380787777401206,3.9199999999999995,18
0.0016490779180371464,1.1871077100403544e-05,0.00038898234414067257,0.00013751084508619414,0.00015848931924611142,2.142751050652541,560511,0,0,0.0,H2,True,34,209,282,0.012991582111309284,1.5935665998185866e-05,1.8294239075539016,3.9199999999999995,17
1.9837997968018323e-05,1.5937339208682068e-05,1.9949082983243783e-05,1.7781026484358365e-05,1.9952623149688786e-05,0.09508202522479443,891459,26840,357788,0.0001665110857963152,H2,True,45,209,291,3.1148572755210317e-226,0.0,41.22756105301999,3.9199999999999995,15
