D,chi2_h1_red,delta_chi2,log_likelihood,log_posterior,log_prior,neg2_delta_logpost,objective,observation_source,posterior_prob,sigma_h1_nL_s,tile_id,weight_mode
1e-05,1.0000000000009923,3.232436160076759,12978.833723936572,12976.466037352702,-2.3676865838692702,3.232436160076759,bayes_h1_marginal_boundary,measured_graph,0.1042051804259458,0.06051302750925781,23,h1_z
0.0001,1.0000000142760683,-0.0,12978.773850757554,12978.08225543274,-0.6915953248135883,-0.0,bayes_h1_marginal_boundary,measured_graph,0.5245705481402273,0.06044627279439769,23,h1_z
0.001,1.0000000012127528,0.6928988496110833,12977.751310073692,12977.735806007935,-0.015504065757907535,0.6928988496110833,bayes_h1_marginal_boundary,measured_graph,0.3709734510357056,0.06013744351332692,23,h1_z
0.01,1.0000000000182034,15.291196131220204,12970.776070173833,12970.43665736713,-0.3394128067022262,15.291196131220204,bayes_h1_marginal_boundary,measured_graph,0.0002508203981213516,0.06030041973016069,23,h1_z
0.1,1.0000000004160106,185.50196825185412,12886.99459285446,12885.331271306814,-1.663321547646544,185.50196825185412,bayes_h1_marginal_boundary,measured_graph,2.7451324691743654e-41,0.07307938775898061,23,h1_z
