D,chi2,delta_chi2,objective,observation_source,tile_id,weight_mode
1e-06,3661.7522138549143,38.63395803398089,weighted_least_squares,measured_graph,1,sigma
1.333521432163324e-06,3661.7430715891423,38.62481576820892,weighted_least_squares,measured_graph,1,sigma
1.778279410038923e-06,3661.7308813399177,38.61262551898426,weighted_least_squares,measured_graph,1,sigma
2.3713737056616552e-06,3661.714627877995,38.59637205706167,weighted_least_squares,measured_graph,1,sigma
3.162277660168379e-06,3661.6929571108362,38.574701289902805,weighted_least_squares,measured_graph,1,sigma
4.216965034285822e-06,3661.6640659530717,38.545810132138286,weighted_least_squares,measured_graph,1,sigma
5.623413251903491e-06,3661.625551472073,38.50729565113943,weighted_least_squares,measured_graph,1,sigma
7.498942093324558e-06,3661.574214263344,38.45595844241052,weighted_least_squares,measured_graph,1,sigma
1e-05,3661.5057947939267,38.3875389729933,weighted_least_squares,measured_graph,1,sigma
1.333521432163324e-05,3661.414627109802,38.29637128886861,weighted_least_squares,measured_graph,1,sigma
1.778279410038923e-05,3661.2931799063804,38.174924085446946,weighted_least_squares,measured_graph,1,sigma
2.3713737056616554e-05,3661.1314534434737,38.01319762254025,weighted_least_squares,measured_graph,1,sigma
3.1622776601683795e-05,3660.916190886304,37.79793506537044,weighted_least_squares,measured_graph,1,sigma
4.216965034285822e-05,3660.6298535386572,37.51159771772382,weighted_least_squares,measured_graph,1,sigma
5.623413251903491e-05,3660.249303848479,37.1310480275456,weighted_least_squares,measured_graph,1,sigma
7.498942093324559e-05,3659.744138663825,36.62588284289177,weighted_least_squares,measured_graph,1,sigma
0.0001,3659.074630329405,35.95637450847153,weighted_least_squares,measured_graph,1,sigma
0.0001333521432163324,3658.1892821219135,35.071026300980066,weighted_least_squares,measured_graph,1,sigma
0.00017782794100389227,3657.022126976215,33.90387115528165,weighted_least_squares,measured_graph,1,sigma
0.00023713737056616554,3655.4901709783094,32.37191515737595,weighted_least_squares,measured_graph,1,sigma
0.00031622776601683794,3653.4919612749977,30.373705454064293,weighted_least_squares,measured_graph,1,sigma
0.00042169650342858224,3650.909444552887,27.791188731953753,weighted_least_squares,measured_graph,1,sigma
0.0005623413251903491,3647.6176572886984,24.499401467764983,weighted_least_squares,measured_graph,1,sigma
0.0007498942093324559,3643.51138133213,20.39312551119656,weighted_least_squares,measured_graph,1,sigma
0.001,3638.566237781996,15.447981961062396,weighted_least_squares,measured_graph,1,sigma
0.001333521432163324,3632.9649102582316,9.846654437298184,weighted_least_squares,measured_graph,1,sigma
0.0017782794100389228,3627.3335280156302,4.215272194696809,weighted_least_squares,measured_graph,1,sigma
0.0023713737056616554,3623.126978828892,0.00872300795845149,weighted_least_squares,measured_graph,1,sigma
0.0031622776601683794,3623.1182558209334,0.0,weighted_least_squares,measured_graph,1,sigma
0.004216965034285823,3631.7390376733433,8.620781852409891,weighted_least_squares,measured_graph,1,sigma
0.005623413251903491,3654.88592619671,31.76767037577656,weighted_least_squares,measured_graph,1,sigma
0.007498942093324558,3699.2441796896605,76.12592386872711,weighted_least_squares,measured_graph,1,sigma
0.01,3771.6411967023537,148.52294088142025,weighted_least_squares,measured_graph,1,sigma
0.01333521432163324,3877.468147253218,254.3498914322845,weighted_least_squares,measured_graph,1,sigma
0.01778279410038923,4015.9112149724165,392.79295915148305,weighted_least_squares,measured_graph,1,sigma
0.023713737056616554,4174.514570891902,551.3963150709683,weighted_least_squares,measured_graph,1,sigma
0.03162277660168379,4331.418221079143,708.2999652582098,weighted_least_squares,measured_graph,1,sigma
0.042169650342858224,4466.9012346412865,843.782978820353,weighted_least_squares,measured_graph,1,sigma
0.05623413251903491,4573.644580566979,950.5263247460457,weighted_least_squares,measured_graph,1,sigma
0.07498942093324558,4657.510534560236,1034.3922787393026,weighted_least_squares,measured_graph,1,sigma
0.1,4731.684566025467,1108.5663102045332,weighted_least_squares,measured_graph,1,sigma
1e-06,6406.084042165877,90.53011938706913,weighted_least_squares,measured_graph,2,sigma
1.333521432163324e-06,6406.065196490285,90.51127371147777,weighted_least_squares,measured_graph,2,sigma
1.778279410038923e-06,6406.040065401848,90.48614262304,weighted_least_squares,measured_graph,2,sigma
2.3713737056616552e-06,6406.0065525262535,90.45262974744583,weighted_least_squares,measured_graph,2,sigma
3.162277660168379e-06,6405.9618620050815,90.40793922627381,weighted_least_squares,measured_graph,2,sigma
4.216965034285822e-06,6405.902266403338,90.34834362453057,weighted_least_squares,measured_graph,2,sigma
5.623413251903491e-06,6405.822794016548,90.26887123774031,weighted_least_squares,measured_graph,2,sigma
7.498942093324558e-06,6405.716815825719,90.16289304691145,weighted_least_squares,measured_graph,2,sigma
1e-05,6405.5754912810335,90.02156850222582,weighted_least_squares,measured_graph,2,sigma
1.333521432163324e-05,6405.387031904041,89.83310912523302,weighted_least_squares,measured_graph,2,sigma
1.778279410038923e-05,6405.135718106344,89.58179532753638,weighted_least_squares,measured_graph,2,sigma
2.3713737056616554e-05,6404.800589545976,89.24666676716879,weighted_least_squares,measured_graph,2,sigma
3.1622776601683795e-05,6404.353700694747,88.79977791593956,weighted_least_squares,measured_graph,2,sigma
4.216965034285822e-05,6403.757799823815,88.20387704500718,weighted_least_squares,measured_graph,2,sigma
5.623413251903491e-05,6402.963247125438,87.40932434663046,weighted_least_squares,measured_graph,2,sigma
7.498942093324559e-05,6401.903937066276,86.35001428746818,weighted_least_squares,measured_graph,2,sigma
0.0001,6400.491940013809,84.9380172350011,weighted_least_squares,measured_graph,2,sigma
0.0001333521432163324,6398.610551206032,83.0566284272245,weighted_least_squares,measured_graph,2,sigma
0.00017782794100389227,6396.105500828252,80.55157804944429,weighted_least_squares,measured_graph,2,sigma
0.00023713737056616554,6392.774418068761,77.22049528995376,weighted_least_squares,measured_graph,2,sigma
0.00031622776601683794,6388.355724680726,72.80180190191822,weighted_least_squares,measured_graph,2,sigma
0.00042169650342858224,6382.521144083082,66.96722130427406,weighted_least_squares,measured_graph,2,sigma
0.0005623413251903491,6374.883842110329,59.32991933152152,weighted_least_squares,measured_graph,2,sigma
0.0007498942093324559,6365.0534558067075,49.499533027899815,weighted_least_squares,measured_graph,2,sigma
0.001,6352.812746986131,37.258824207323414,weighted_least_squares,measured_graph,2,sigma
0.001333521432163324,6338.573594831821,23.019672053012982,weighted_least_squares,measured_graph,2,sigma
0.0017782794100389228,6324.369470232637,8.815547453828913,weighted_least_squares,measured_graph,2,sigma
0.0023713737056616554,6315.553922778808,0.0,weighted_least_squares,measured_graph,2,sigma
0.0031622776601683794,6322.554855472727,7.000932693918912,weighted_least_squares,measured_graph,2,sigma
0.004216965034285823,6360.244962461577,44.69103968276977,weighted_least_squares,measured_graph,2,sigma
0.005623413251903491,6441.964404393777,126.41048161496929,weighted_least_squares,measured_graph,2,sigma
0.007498942093324558,6569.827250860991,254.27332808218307,weighted_least_squares,measured_graph,2,sigma
0.01,6729.786369914976,414.23244713616805,weighted_least_squares,measured_graph,2,sigma
0.01333521432163324,6898.113635532139,582.559712753331,weighted_least_squares,measured_graph,2,sigma
0.01778279410038923,7053.69569214073,738.1417693619223,weighted_least_squares,measured_graph,2,sigma
0.023713737056616554,7185.191164343981,869.6372415651731,weighted_least_squares,measured_graph,2,sigma
0.03162277660168379,7291.026856416688,975.4729336378805,weighted_least_squares,measured_graph,2,sigma
0.042169650342858224,7376.483500241061,1060.9295774622533,weighted_least_squares,measured_graph,2,sigma
0.05623413251903491,7450.610791639776,1135.0568688609683,weighted_least_squares,measured_graph,2,sigma
0.07498942093324558,7523.234664221672,1207.680741442864,weighted_least_squares,measured_graph,2,sigma
0.1,7601.43469565798,1285.8807728791726,weighted_least_squares,measured_graph,2,sigma
1e-06,8114.213564953659,900.7113739289771,weighted_least_squares,measured_graph,3,sigma
1.333521432163324e-06,8114.120099057892,900.6179080332095,weighted_least_squares,measured_graph,3,sigma
1.778279410038923e-06,8113.995452615323,900.4932615906409,weighted_least_squares,measured_graph,3,sigma
2.3713737056616552e-06,8113.829223224582,900.3270321998998,weighted_least_squares,measured_graph,3,sigma
3.162277660168379e-06,8113.607530752233,900.1053397275509,weighted_least_squares,measured_graph,3,sigma
4.216965034285822e-06,8113.311862821517,899.8096717968347,weighted_least_squares,measured_graph,3,sigma
