D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,display_col,display_row,dist_heart_tile_px,dist_source_centroid_px,dof,graph_x,graph_y,h1_resid_rms,h2_resid_rms,harmonics,log10_D_hat,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,profile_flat,tile_id,width_decades_dchi1,width_decades_dchi384
0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,0.001,h1_free_boundary,1004.8308422955024,1.2150312482412362,0.41875117749652657,878.0078177894632,2470.4040725141667,1064.9761505382228,1081.4384356297264,827,878.0078177894632,452.5959274858333,1.810659023883071,nan,H1,-2.8333333333333335,1981.5619580642042,364,287.0,0.0,938.0,111,False,4,0.0,0.16666666666666652
0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,h1_free_boundary,16966365.371488873,40981.55886833061,1.1297389730125318,664.601695603337,742.3337773831499,1054.9264306390244,1054.8968036560407,414,664.601695603337,2180.66622261685,344.44788157251907,nan,H1,-1.833333333333334,327052.14546034485,173,143.0,0.0,459.0,45,False,8,0.0,0.0
0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,h1_free_boundary,264844.9472343515,428.5516945539668,0.6132588870866474,894.777627469188,484.79599785623725,1144.9532767203868,1139.6637905455773,618,894.777627469188,2438.204002143763,35.590648189629675,nan,H1,-1.833333333333334,25672.70608430938,281,209.0,0.0,699.0,81,False,10,0.0,0.0
0.006812920690579608,0.006812920690579608,0.006812920690579608,0.006812920690579608,0.006812920690579608,h1_free_boundary,6293.831456512942,7.926739869663655,0.6695923736093461,1381.157679623377,785.08544338093,741.185478542444,729.2819133428546,794,1381.157679623377,2137.91455661907,4.617690745572475,nan,H1,-2.166666666666667,422.6808084556469,338,288.0,0.0,914.0,120,False,12,0.0,0.0
0.1,0.1,0.1,0.1,0.1,h1_free_boundary,59423.96356633159,90.86232961212782,0.6098991466358638,1402.591144432894,2066.880286547129,541.6303316004212,552.8472436101205,654,1402.591144432894,856.1197134528711,16.19854212614696,nan,H1,-1.0,12693.096671807412,331,226.0,0.0,783.0,129,False,15,0.0,0.0
0.004641588833612777,0.004641588833612777,0.004641588833612777,0.004641588833612777,0.004641588833612777,h1_free_boundary,2330.9185152726573,3.4893989749590677,0.8700053735839636,1668.8074669595944,1079.0480623404987,537.4663732461664,520.4949465795706,668,1668.8074669595944,1843.9519376595013,3.0094305885315253,nan,H1,-2.3333333333333335,1125.1087314911115,311,231.0,0.0,773.0,105,False,22,0.0,0.0
1e-06,0.0001467799267622069,0.00046415888336127773,1e-06,1e-06,h1_free_boundary,709.5063464331741,1.0865334554872499,0.7517450506685921,1640.6374815093732,626.8420880303215,939.0199246573429,924.0279947090535,653,1640.6374815093732,2296.1579119696785,1.4771008481373145,nan,H1,-6.0,577.1761714973217,281,252.0,0.0,785.0,132,False,23,2.1666666666666665,2.6666666666666665
0.002154434690031882,0.0031622776601683794,0.0031622776601683794,0.0014677992676220691,0.0006812920690579609,h1_free_boundary,1111.6161734603156,1.649282156469311,0.6809116557866167,1913.5726997957936,647.8575834122662,1032.6179090957398,1015.7941034454932,674,1913.5726997957936,2275.142416587734,1.947592243531572,nan,H1,-2.666666666666667,592.7918618973822,295,257.0,0.0,809.0,135,False,26,0.3333333333333334,0.666666666666667
0.004641588833612777,0.004641588833612777,0.006812920690579608,0.004641588833612777,0.0031622776601683794,h1_free_boundary,1121.293691270949,1.9466904362342865,0.32292853360349383,2360.475382308723,2583.9914212285407,1448.7200386192087,1448.6668373800846,576,2360.475382308723,339.00857877145927,2.351992013211348,nan,H1,-2.3333333333333335,115.66524950983671,249,198.0,0.0,645.0,69,False,32,0.0,0.333333333333333
0.002154434690031882,0.002154434690031882,0.0031622776601683794,0.0014677992676220691,0.0006812920690579609,h1_free_boundary,1242.2312987373068,2.1986394667916933,0.6003177948504544,2240.3423001113933,375.91010341216156,1442.0862338293125,1424.886022012764,565,2240.3423001113933,2547.0898965878387,2.403856441144057,nan,H1,-2.666666666666667,876.8392356009915,240,200.0,0.0,640.0,75,False,37,0.16666666666666644,0.666666666666667
0.001,0.0014677992676220691,0.002154434690031882,1e-06,1e-06,h1_free_boundary,893.9460270177897,2.0043632892775554,0.4961325754618866,2677.4465722041664,438.7143754448911,1700.1381537186253,1682.6725670504115,446,2677.4465722041664,2484.285624555109,2.2818351563000077,nan,H1,-3.0,562.6068322932731,203,162.0,0.0,527.0,81,False,38,3.1666666666666665,3.333333333333333
1e-06,0.0001,0.00046415888336127773,1e-06,1e-06,h1_free_boundary,805.8661661500084,1.44939957940649,0.52080208913458,2711.687418676639,915.5253136584249,1473.580707868435,1456.9690502809729,556,2711.687418676639,2007.474686341575,1.8788443345995791,nan,H1,-6.0,759.6084232134881,238,210.0,0.0,658.0,102,False,39,2.0,2.6666666666666665
0.01,0.01,0.014677992676220676,0.01,0.01,h1_free_boundary,10818.46355794719,22.727864617536113,0.5511907792669193,2920.477492270185,562.020120089833,1825.3115038660947,1808.131249217002,476,2920.477492270185,2360.9798799101673,7.885396398743807,nan,H1,-2.0,735.9265108217187,202,173.0,0.0,548.0,72,False,48,0.0,0.16666666666666605
