D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,display_col,display_row,dist_heart_tile_px,dist_source_centroid_px,dof,graph_x,graph_y,h1_resid_rms,h2_resid_rms,harmonics,log10_D_hat,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,profile_flat,tile_id,width_decades_dchi1,width_decades_dchi384
0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,0.001,h1h2_free_boundary,1035.9103502905439,0.7080726932949719,0.41875117749652657,878.0078177894632,2470.4040725141667,1064.9761505382228,1081.4384356297264,1463,878.0078177894632,452.5959274858333,1.810659023883071,0.29588496049172136,H1+H2,-2.8333333333333335,1988.8086658691525,364,287.0,355.0,1648.0,185,False,4,0.0,0.16666666666666652
0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,h1h2_free_boundary,16966559.133805625,25247.85585387742,1.1297389730125318,664.601695603337,742.3337773831499,1054.9264306390244,1054.8968036560407,672,664.601695603337,2180.66622261685,344.44788157251907,1.1599877775705119,H1+H2,-1.833333333333334,327071.32791925594,173,143.0,144.0,747.0,75,False,8,0.0,0.0
0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,h1h2_free_boundary,264860.89943532203,242.9916508580936,0.6132588870866474,894.777627469188,484.79599785623725,1144.9532767203868,1139.6637905455773,1090,894.777627469188,2438.204002143763,35.590648189629675,0.24628186401373833,H1+H2,-1.833333333333334,25672.898993901676,281,209.0,263.0,1225.0,135,False,10,0.0,0.0
0.006812920690579608,0.006812920690579608,0.006812920690579608,0.006812920690579608,0.006812920690579608,h1h2_free_boundary,6347.494968900133,4.674149461634855,0.6695923736093461,1381.157679623377,785.08544338093,741.185478542444,729.2819133428546,1358,1381.157679623377,2137.91455661907,4.617690745572475,0.4082362928105177,H1+H2,-2.166666666666667,426.7352331228558,338,288.0,322.0,1558.0,200,False,12,0.0,0.0
0.1,0.1,0.1,0.1,0.1,h1h2_free_boundary,59446.144655927,48.64659955476841,0.6098991466358638,1402.591144432894,2066.880286547129,541.6303316004212,552.8472436101205,1222,1402.591144432894,856.1197134528711,16.19854212614696,0.26044592197498445,H1+H2,-1.0,12694.10284979995,331,226.0,327.0,1437.0,215,False,15,0.0,0.0
0.004641588833612777,0.004641588833612777,0.004641588833612777,0.004641588833612777,0.004641588833612777,h1h2_free_boundary,2371.2380536407245,1.9629454086429838,0.8700053735839636,1668.8074669595944,1079.0480623404987,537.4663732461664,520.4949465795706,1208,1668.8074669595944,1843.9519376595013,3.0094305885315253,0.363586589087324,H1+H2,-2.3333333333333335,1131.085636066688,311,231.0,305.0,1383.0,175,False,22,0.0,0.0
1e-06,0.0001,0.00046415888336127773,1e-06,1e-06,h1h2_free_boundary,718.1754693012047,0.6558680084942509,0.7517450506685921,1640.6374815093732,626.8420880303215,939.0199246573429,924.0279947090535,1095,1640.6374815093732,2296.1579119696785,1.4771008481373145,0.18086921020481977,H1+H2,-6.0,580.5787830055974,281,252.0,265.0,1315.0,220,False,23,2.0,2.6666666666666665
0.002154434690031882,0.0031622776601683794,0.0031622776601683794,0.0014677992676220691,0.00046415888336127773,h1h2_free_boundary,1134.203710365246,0.9727304548587016,0.6809116557866167,1913.5726997957936,647.8575834122662,1032.6179090957398,1015.7941034454932,1166,1913.5726997957936,2275.142416587734,1.947592243531572,0.2786043821176472,H1+H2,-2.666666666666667,602.061993944418,295,257.0,291.0,1391.0,225,False,26,0.3333333333333334,0.8333333333333335
0.004641588833612777,0.004641588833612777,0.006812920690579608,0.004641588833612777,0.0031622776601683794,h1h2_free_boundary,1123.2809743997277,1.1034194247541529,0.32292853360349383,2360.475382308723,2583.9914212285407,1448.7200386192087,1448.6668373800846,1018,2360.475382308723,339.00857877145927,2.351992013211348,0.09024745418458206,H1+H2,-2.3333333333333335,116.03892162358306,249,198.0,244.0,1133.0,115,False,32,0.0,0.333333333333333
0.002154434690031882,0.002154434690031882,0.0031622776601683794,0.0014677992676220691,0.0006812920690579609,h1h2_free_boundary,1264.3360285380513,1.2835898766883769,0.6003177948504544,2240.3423001113933,375.91010341216156,1442.0862338293125,1424.886022012764,985,2240.3423001113933,2547.0898965878387,2.403856441144057,0.30669639711474883,H1+H2,-2.666666666666667,893.1523300247909,240,200.0,235.0,1110.0,125,False,37,0.16666666666666644,0.666666666666667
