D,chi2,delta_chi2,objective,tile_group,weight_mode
1e-06,43.50926496274431,31.064997182964955,weighted_least_squares,interior,sigma
1.333521432163324e-06,43.489392388648604,31.045124608869248,weighted_least_squares,interior,sigma
1.778279410038923e-06,43.462900946456834,31.01863316667748,weighted_least_squares,interior,sigma
2.3713737056616552e-06,43.42759012057133,30.983322340791975,weighted_least_squares,interior,sigma
3.162277660168379e-06,43.38053094792599,30.936263168146635,weighted_least_squares,interior,sigma
4.216965034285822e-06,43.31782738749665,30.873559607717294,weighted_least_squares,interior,sigma
5.623413251903491e-06,43.23430133715283,30.790033557373473,weighted_least_squares,interior,sigma
7.498942093324558e-06,43.123078597380655,30.6788108176013,weighted_least_squares,interior,sigma
1e-05,42.97504737795797,30.530779598178615,weighted_least_squares,interior,sigma
1.333521432163324e-05,42.77815511457369,30.333887334794337,weighted_least_squares,interior,sigma
1.778279410038923e-05,42.516504671763755,30.0722368919844,weighted_least_squares,interior,sigma
2.3713737056616554e-05,42.16920983538713,29.724942055607773,weighted_least_squares,interior,sigma
3.1622776601683795e-05,41.708978119095924,29.26471033931657,weighted_least_squares,interior,sigma
4.216965034285822e-05,41.10041731527939,28.65614953550003,weighted_least_squares,interior,sigma
5.623413251903491e-05,40.2981322452441,27.853864465464742,weighted_least_squares,interior,sigma
7.498942093324559e-05,39.244831105433775,26.80056332565442,weighted_least_squares,interior,sigma
0.0001,37.86997489260946,25.425707112830107,weighted_least_squares,interior,sigma
0.0001333521432163324,36.090124881428316,23.64585710164896,weighted_least_squares,interior,sigma
0.00017782794100389227,33.81333535448255,21.36906757470319,weighted_least_squares,interior,sigma
0.00023713737056616554,30.952139584588824,18.50787180480947,weighted_least_squares,interior,sigma
0.00031622776601683794,27.453498235990825,15.00923045621147,weighted_least_squares,interior,sigma
0.00042169650342858224,23.36007818974681,10.915810409967456,weighted_least_squares,interior,sigma
0.0005623413251903491,18.925376957665605,6.48110917788625,weighted_least_squares,interior,sigma
0.0007498942093324559,14.815239262675096,2.3709714828957402,weighted_least_squares,interior,sigma
0.001,12.444267779779356,0.0,weighted_least_squares,interior,sigma
0.001333521432163324,14.525773552693382,2.081505772914026,weighted_least_squares,interior,sigma
0.0017782794100389228,25.921516252265583,13.477248472486227,weighted_least_squares,interior,sigma
0.0023713737056616554,54.717477908827895,42.273210129048536,weighted_least_squares,interior,sigma
0.0031622776601683794,113.00995766764551,100.56568988786616,weighted_least_squares,interior,sigma
0.004216965034285823,216.38840234966375,203.9441345698844,weighted_least_squares,interior,sigma
0.005623413251903491,381.26997995610253,368.8257121763232,weighted_least_squares,interior,sigma
0.007498942093324558,620.5851161951211,608.1408484153418,weighted_least_squares,interior,sigma
0.01,939.560679124968,927.1164113451887,weighted_least_squares,interior,sigma
0.01333521432163324,1332.8939285380045,1320.449660758225,weighted_least_squares,interior,sigma
0.01778279410038923,1784.0502495672001,1771.6059817874207,weighted_least_squares,interior,sigma
0.023713737056616554,2268.4908181244386,2256.0465503446594,weighted_least_squares,interior,sigma
0.03162277660168379,2761.589772995321,2749.1455052155416,weighted_least_squares,interior,sigma
0.042169650342858224,3246.7415258298597,3234.2972580500805,weighted_least_squares,interior,sigma
0.05623413251903491,3717.0969237977515,3704.6526560179723,weighted_least_squares,interior,sigma
0.07498942093324558,4170.14113176578,4157.696863986001,weighted_least_squares,interior,sigma
0.1,4601.949289938755,4589.505022158975,weighted_least_squares,interior,sigma
