D,chi2,delta_chi2,objective,tile_id,weight_mode
1e-06,0.1876686879114153,0.02803734622400511,weighted_least_squares,1,sigma
1.333521432163324e-06,0.18765299572809382,0.02802165404068363,weighted_least_squares,1,sigma
1.778279410038923e-06,0.18763207638217422,0.028000734694764023,weighted_least_squares,1,sigma
2.3713737056616552e-06,0.1876041916068478,0.027972849919437603,weighted_least_squares,1,sigma
3.162277660168379e-06,0.18756702727054905,0.02793568558313886,weighted_least_squares,1,sigma
4.216965034285822e-06,0.18751750449490412,0.027886162807493925,weighted_least_squares,1,sigma
5.623413251903491e-06,0.18745153002989104,0.027820188342480845,weighted_least_squares,1,sigma
7.498942093324558e-06,0.1873636676764803,0.027732325989070106,weighted_least_squares,1,sigma
1e-05,0.18724670772558474,0.02761536603817455,weighted_least_squares,1,sigma
1.333521432163324e-05,0.18709110629942124,0.02745976461201105,weighted_least_squares,1,sigma
1.778279410038923e-05,0.18688426183139983,0.02725292014398964,weighted_least_squares,1,sigma
2.3713737056616554e-05,0.18660959317831283,0.026978251490902633,weighted_least_squares,1,sigma
3.1622776601683795e-05,0.18624538694210271,0.02661404525469252,weighted_least_squares,1,sigma
4.216965034285822e-05,0.18576339724232377,0.026132055554913575,weighted_least_squares,1,sigma
5.623413251903491e-05,0.18512722332774073,0.025495881640330537,weighted_least_squares,1,sigma
7.498942093324559e-05,0.18429058450089672,0.024659242813486526,weighted_least_squares,1,sigma
0.0001,0.18319580608448174,0.02356446439707155,weighted_least_squares,1,sigma
0.0001333521432163324,0.18177321323523576,0.02214187154782557,weighted_least_squares,1,sigma
0.00017782794100389227,0.17994286411475274,0.02031152242734255,weighted_least_squares,1,sigma
0.00023713737056616554,0.1776214335294202,0.017990091842010003,weighted_least_squares,1,sigma
0.00031622776601683794,0.17473959724219904,0.01510825555478884,weighted_least_squares,1,sigma
0.00042169650342858224,0.17127981518998617,0.011648473502575973,weighted_least_squares,1,sigma
0.0005623413251903491,0.16735218735834465,0.007720845670934451,weighted_least_squares,1,sigma
0.0007498942093324559,0.16333814519073905,0.0037068035033288593,weighted_least_squares,1,sigma
0.001,0.16014654401641423,0.0005152023290040386,weighted_least_squares,1,sigma
0.001333521432163324,0.1596313416874102,0.0,weighted_least_squares,1,sigma
0.0017782794100389228,0.16516896172795825,0.005537620040548058,weighted_least_squares,1,sigma
0.0023713737056616554,0.1821800861770959,0.022548744489685718,weighted_least_squares,1,sigma
0.0031622776601683794,0.21789257039370685,0.05826122870629666,weighted_least_squares,1,sigma
0.004216965034285823,0.2791858938856718,0.11955455219826158,weighted_least_squares,1,sigma
0.005623413251903491,0.36837961409167713,0.20874827240426694,weighted_least_squares,1,sigma
0.007498942093324558,0.4802928074631769,0.3206614657757667,weighted_least_squares,1,sigma
0.01,0.6048788925621826,0.4452475508747724,weighted_least_squares,1,sigma
0.01333521432163324,0.7329497174815909,0.5733183757941807,weighted_least_squares,1,sigma
0.01778279410038923,0.8585233383637806,0.6988919966763704,weighted_least_squares,1,sigma
0.023713737056616554,0.9782124495847686,0.8185811078973584,weighted_least_squares,1,sigma
0.03162277660168379,1.0914964327044254,0.9318650910170152,weighted_least_squares,1,sigma
0.042169650342858224,1.2010352225334247,1.0414038808460144,weighted_least_squares,1,sigma
0.05623413251903491,1.3112766769964448,1.1516453353090346,weighted_least_squares,1,sigma
0.07498942093324558,1.4261933315425037,1.2665619898550935,weighted_least_squares,1,sigma
0.1,1.5470379158939782,1.387406574206568,weighted_least_squares,1,sigma
1e-06,0.6285105985989028,0.04983351005244707,weighted_least_squares,2,sigma
1.333521432163324e-06,0.6284897491767198,0.04981266063026413,weighted_least_squares,2,sigma
1.778279410038923e-06,0.628461952186131,0.04978486363967527,weighted_least_squares,2,sigma
2.3713737056616552e-06,0.628424895373009,0.04974780682655333,weighted_least_squares,2,sigma
3.162277660168379e-06,0.6283754989499084,0.049698410403452686,weighted_least_squares,2,sigma
4.216965034285822e-06,0.6283096626498456,0.04963257410338984,weighted_least_squares,2,sigma
5.623413251903491e-06,0.6282219306399233,0.049544842093467545,weighted_least_squares,2,sigma
7.498942093324558e-06,0.6281050485978384,0.049427960051382724,weighted_least_squares,2,sigma
1e-05,0.6279493805046892,0.04927229195823346,weighted_least_squares,2,sigma
1.333521432163324e-05,0.6277421437114815,0.049065055165025795,weighted_least_squares,2,sigma
1.778279410038923e-05,0.6274664120692381,0.048789323522782424,weighted_least_squares,2,sigma
2.3713737056616554e-05,0.6270998277852383,0.0484227392387826,weighted_least_squares,2,sigma
3.1622776601683795e-05,0.6266129574914173,0.0479358689449616,weighted_least_squares,2,sigma
4.216965034285822e-05,0.6259672323505964,0.04729014380414065,weighted_least_squares,2,sigma
5.623413251903491e-05,0.6251124389426687,0.04643535039621294,weighted_least_squares,2,sigma
7.498942093324559e-05,0.6239838017980894,0.04530671325163371,weighted_least_squares,2,sigma
