D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,dc_sigma_max,dc_sigma_max_nL_s,dc_sigma_min,dc_sigma_min_nL_s,dof,h1_resid_rms,h1_sigma_max,h1_sigma_max_nL_s,h1_sigma_min,h1_sigma_min_nL_s,h2_resid_rms,h2_sigma_max,h2_sigma_max_nL_s,h2_sigma_min,h2_sigma_min_nL_s,harmonics,location,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,objective,profile_flat,tile_id,weight_mode,width_decades_dchi1,width_decades_dchi384
0.001333521432163324,0.1,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.6150950522998848,0.0004677528914828021,0.04621816724875877,2.9021338963328177e-14,0.02902133896332818,2.9021338963328177e-14,0.02902133896332818,1315,0.0036341084914537003,2.9021338963328177e-14,0.02902133896332818,2.9021338963328177e-14,0.02902133896332818,0.0006260163574259473,2.9021338963328177e-14,0.02902133896332818,2.9021338963328177e-14,0.02902133896332818,H1+H2,periphery,0.24634287729499127,286,286,286,1430,115,ordinary_least_squares,True,1,constant_average_sigma,5.0,5.0
0.0017782794100389228,0.1,0.1,1e-06,1e-06,mosaic_flow_free_boundary,2.380076443679461,0.0011044438253732997,0.07161726087156924,2.9018244816694846e-14,0.029018244816694846,2.9018244816694846e-14,0.029018244816694846,2155,0.004097142980543099,2.9018244816694846e-14,0.029018244816694846,2.9018244816694846e-14,0.029018244816694846,0.0005074906612514968,2.9018244816694846e-14,0.029018244816694846,2.9018244816694846e-14,0.029018244816694846,H1+H2,periphery,0.1739692356951945,455,455,455,2275,120,ordinary_least_squares,True,2,constant_average_sigma,5.0,5.0
0.0007498942093324559,0.1,0.1,1e-06,1e-06,mosaic_flow_free_boundary,1.732654983814339,0.0010406336239125158,0.06872101235428409,2.903659053018475e-14,0.029036590530184755,2.903659053018475e-14,0.029036590530184755,1665,0.003793001700994885,2.903659053018475e-14,0.029036590530184755,2.903659053018475e-14,0.029036590530184755,0.000292522466503829,2.903659053018475e-14,0.029036590530184755,2.903659053018475e-14,0.029036590530184755,H1+H2,periphery,0.10156676035882706,364,364,364,1820,155,ordinary_least_squares,True,3,constant_average_sigma,5.0,5.0
0.0017782794100389228,0.1,0.1,1e-06,1e-06,mosaic_flow_free_boundary,3.0283334588324355,0.0014954733130036718,0.08332232133295184,2.904866679813958e-14,0.029048666798139583,2.904866679813958e-14,0.029048666798139583,2025,0.006487416936841064,2.904866679813958e-14,0.029048666798139583,2.904866679813958e-14,0.029048666798139583,0.0003030480540536961,2.904866679813958e-14,0.029048666798139583,2.904866679813958e-14,0.029048666798139583,H1+H2,periphery,0.46234857172090615,433,433,433,2165,140,ordinary_least_squares,True,4,constant_average_sigma,5.0,5.0
0.001,0.01,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.12577378339954692,7.787850365297023e-05,0.01821421223171773,2.9017168451859436e-14,0.029017168451859435,2.9017168451859436e-14,0.029017168451859435,1615,0.005064016601369507,2.9017168451859436e-14,0.029017168451859435,2.9017168451859436e-14,0.029017168451859435,0.0003040729973941931,2.9017168451859436e-14,0.029017168451859435,2.9017168451859436e-14,0.029017168451859435,H1+H2,periphery,3.172234906045535,351,351,351,1755,140,ordinary_least_squares,False,5,constant_average_sigma,4.0,5.0
0.001,0.007498942093324558,0.01778279410038923,1e-06,1e-06,mosaic_flow_free_boundary,0.02187667398081193,1.757162568739914e-05,0.006687706832054987,2.900702155481877e-14,0.029007021554818768,2.900702155481877e-14,0.029007021554818768,1245,0.00584907380771727,2.900702155481877e-14,0.029007021554818768,2.900702155481877e-14,0.029007021554818768,0.0004938263575074997,2.900702155481877e-14,0.029007021554818768,2.900702155481877e-14,0.029007021554818768,H1+H2,periphery,10.449771247835702,276,276,276,1380,135,ordinary_least_squares,False,6,constant_average_sigma,3.875,4.25
0.001,0.004216965034285823,0.01,1e-06,1e-06,mosaic_flow_free_boundary,0.05680945472842433,5.260134697076327e-05,0.007739706860153178,2.901140893535486e-14,0.029011408935354862,2.901140893535486e-14,0.029011408935354862,1080,0.013361077728782571,2.901140893535486e-14,0.029011408935354862,2.901140893535486e-14,0.029011408935354862,0.001124313189016468,2.901140893535486e-14,0.029011408935354862,2.901140893535486e-14,0.029011408935354862,H1+H2,periphery,45.6425671764068,237,237,237,1185,105,ordinary_least_squares,False,7,constant_average_sigma,3.625,4.0
0.001,0.0017782794100389228,0.0023713737056616554,0.00031622776601683794,1e-06,mosaic_flow_free_boundary,1.295426997357865,0.0008607488354537309,0.035928641402712964,2.9050571813755694e-14,0.029050571813755692,2.9050571813755694e-14,0.029050571813755692,1505,0.05120062430258174,2.9050571813755694e-14,0.029050571813755692,2.9050571813755694e-14,0.029050571813755692,0.006088673026091203,2.9050571813755694e-14,0.029050571813755692,2.9050571813755694e-14,0.029050571813755692,H1+H2,periphery,125.90143248610484,328,328,328,1640,135,ordinary_least_squares,False,8,constant_average_sigma,0.75,3.375
0.001,0.004216965034285823,0.007498942093324558,1e-06,1e-06,mosaic_flow_free_boundary,0.14478410812286086,6.927469288175161e-05,0.015149191477852235,2.901229558047421e-14,0.029012295580474207,2.901229558047421e-14,0.029012295580474207,2090,0.008840398360909659,2.901229558047421e-14,0.029012295580474207,2.901229558047421e-14,0.029012295580474207,0.0006542013941179992,2.901229558047421e-14,0.029012295580474207,2.901229558047421e-14,0.029012295580474207,H1+H2,interior,16.686600324468515,469,469,469,2345,255,ordinary_least_squares,False,9,constant_average_sigma,3.625,3.875
0.001,0.01333521432163324,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.9555410939279746,0.0006801004227245371,0.05508367558829373,2.9123326058588776e-14,0.029123326058588774,2.9123326058588776e-14,0.029123326058588774,1405,0.006756807919660771,2.9123326058588776e-14,0.029123326058588774,2.9123326058588776e-14,0.029123326058588774,0.00034849402320134517,2.9123326058588776e-14,0.029123326058588774,2.9123326058588776e-14,0.029123326058588774,H1+H2,interior,2.457336594647493,310,310,310,1550,145,ordinary_least_squares,False,10,constant_average_sigma,4.125,5.0
0.001333521432163324,0.042169650342858224,0.1,1e-06,1e-06,mosaic_flow_free_boundary,4.347551548098009,0.0023500278638367614,0.10327657388281934,2.9133439321286434e-14,0.029133439321286436,2.9133439321286434e-14,0.029133439321286436,1850,0.006375366965649733,2.9133439321286434e-14,0.029133439321286436,2.9133439321286434e-14,0.029133439321286436,0.00032571700275755194,2.9133439321286434e-14,0.029133439321286436,2.9133439321286434e-14,0.029133439321286436,H1+H2,interior,1.2227093590207279,406,406,406,2030,180,ordinary_least_squares,False,11,constant_average_sigma,4.625,5.0
0.001333521432163324,0.1,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.8524010661306952,0.0005412070261147272,0.04857987623906967,2.903343341978322e-14,0.029033433419783223,2.903343341978322e-14,0.029033433419783223,1575,0.0032392792206054686,2.903343341978322e-14,0.029033433419783223,2.903343341978322e-14,0.029033433419783223,0.000503683655132749,2.903343341978322e-14,0.029033433419783223,2.903343341978322e-14,0.029033433419783223,H1+H2,interior,0.3788468180684287,359,359,359,1795,220,ordinary_least_squares,True,12,constant_average_sigma,5.0,5.0
0.001,0.01778279410038923,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.5293052983466706,0.0002763996336013946,0.034706160554944465,2.9040986593957036e-14,0.029040986593957038,2.9040986593957036e-14,0.029040986593957038,1915,0.0052933779602957805,2.9040986593957036e-14,0.029040986593957038,2.9040986593957036e-14,0.029040986593957038,0.0014324576770310456,2.9040986593957036e-14,0.029040986593957038,2.9040986593957036e-14,0.029040986593957038,H1+H2,interior,2.465234518234987,423,423,423,2115,200,ordinary_least_squares,False,13,constant_average_sigma,4.25,5.0
0.001,0.004216965034285823,0.03162277660168379,1e-06,1e-06,mosaic_flow_free_boundary,0.2221925301052627,0.0001559245825300089,0.025890821814081297,2.9106370080963047e-14,0.029106370080963048,2.9106370080963047e-14,0.029106370080963048,1425,0.005843499056084841,2.9106370080963047e-14,0.029106370080963048,2.9106370080963047e-14,0.029106370080963048,0.0023143430583845667,2.9106370080963047e-14,0.029106370080963048,2.9106370080963047e-14,0.029106370080963048,H1+H2,periphery,4.793814840327927,313,313,313,1565,140,ordinary_least_squares,False,14,constant_average_sigma,3.625,4.5
0.001,0.0031622776601683794,0.005623413251903491,1e-06,1e-06,mosaic_flow_free_boundary,0.516092565427596,0.0003127833729864218,0.03542546315457475,2.9365685382561554e-14,0.029365685382561554,2.9365685382561554e-14,0.029365685382561554,1650,0.011559119172203211,2.9365685382561554e-14,0.029365685382561554,2.9365685382561554e-14,0.029365685382561554,0.004909385128338737,2.9365685382561554e-14,0.029365685382561554,2.9365685382561554e-14,0.029365685382561554,H1+H2,periphery,51.08948453630332,357,357,357,1785,135,ordinary_least_squares,False,15,constant_average_sigma,3.5,3.75
0.001,0.01,0.03162277660168379,1e-06,1e-06,mosaic_flow_free_boundary,0.5911945628504931,0.0003111550330792069,0.03670925053475697,2.908779226945598e-14,0.029087792269455983,2.908779226945598e-14,0.029087792269455983,1900,0.0060218170370505055,2.908779226945598e-14,0.029087792269455983,2.908779226945598e-14,0.029087792269455983,0.0018634210070528115,2.908779226945598e-14,0.029087792269455983,2.908779226945598e-14,0.029087792269455983,H1+H2,interior,5.248519485898601,426,426,426,2130,230,ordinary_least_squares,False,16,constant_average_sigma,4.0,4.5
