D,delta_chi2,log_likelihood,log_posterior,log_prior,neg2_delta_logpost,objective,observation_source,posterior_prob,tile_group,weight_mode
1e-05,1338.3587152920663,651333.402489751,651331.0348031671,-2.3676865838692702,1338.3587152920663,bayes_h1h2_marginal_boundary,measured_graph,1.4459237710591477e-291,periphery,h1:h1_z;h2:h2_z
1.2589254117941661e-05,1246.0719561818987,651379.3332601802,651377.1781827222,-2.155077457963703,1246.0719561818987,bayes_h1h2_marginal_boundary,measured_graph,1.5847491034404284e-271,periphery,h1:h1_z;h2:h2_z
1.584893192461114e-05,1131.1094123376533,651436.6119229763,651434.6594546443,-1.952468332058134,1131.1094123376533,bayes_h1h2_marginal_boundary,measured_graph,1.458007383513087e-246,periphery,h1:h1_z;h2:h2_z
1.9952623149688786e-05,997.5991447959095,651503.1744476213,651501.4145884152,-1.7598592061525666,997.5991447959095,bayes_h1h2_marginal_boundary,measured_graph,1.4293742652460328e-217,periphery,h1:h1_z;h2:h2_z
2.5118864315095822e-05,855.4747828312684,651574.0540194778,651572.4767693975,-1.5772500802469966,855.4747828312684,bayes_h1h2_marginal_boundary,measured_graph,1.0400615262522092e-186,periphery,h1:h1_z;h2:h2_z
3.1622776601683795e-05,716.7367268633097,651643.2504383358,651641.8457973815,-1.404640954341429,716.7367268633097,bayes_h1h2_marginal_boundary,measured_graph,1.3920187970086886e-156,periphery,h1:h1_z;h2:h2_z
3.9810717055349695e-05,589.9453765412327,651706.4835043709,651705.2414725425,-1.2420318284358616,589.9453765412327,bayes_h1h2_marginal_boundary,measured_graph,4.742823889623276e-129,periphery,h1:h1_z;h2:h2_z
5.011872336272725e-05,478.7791560119949,651761.9140055097,651760.8245828071,-1.089422702530293,478.7791560119949,bayes_h1h2_marginal_boundary,measured_graph,6.538454014995218e-105,periphery,h1:h1_z;h2:h2_z
6.309573444801929e-05,383.8330005921889,651809.2444740937,651808.297660517,-0.9468135766247254,383.8330005921889,bayes_h1h2_marginal_boundary,measured_graph,2.708761462208079e-84,periphery,h1:h1_z;h2:h2_z
7.943282347242822e-05,304.30244221002795,651848.8771441588,651848.0629397081,-0.8142044507191568,304.30244221002795,bayes_h1h2_marginal_boundary,measured_graph,5.042107329310736e-67,periphery,h1:h1_z;h2:h2_z
0.0001,238.54105955641717,651881.6352263597,651880.9436310349,-0.6915953248135883,238.54105955641717,bayes_h1h2_marginal_boundary,measured_graph,9.605387514418029e-53,periphery,h1:h1_z;h2:h2_z
0.00012589254117941674,184.45761583768763,651908.5643390932,651907.9853528943,-0.5789861989080206,184.45761583768763,bayes_h1h2_marginal_boundary,measured_graph,5.328260815590375e-41,periphery,h1:h1_z;h2:h2_z
0.00015848931924611142,140.16487671039067,651930.6080995309,651930.1317224579,-0.47637707300245236,140.16487671039067,bayes_h1h2_marginal_boundary,measured_graph,2.211218050169723e-31,periphery,h1:h1_z;h2:h2_z
0.00019952623149688788,104.36904836958274,651948.4134045754,651948.0296366283,-0.38376794709688455,104.36904836958274,bayes_h1h2_marginal_boundary,measured_graph,1.3109826153285358e-23,periphery,h1:h1_z;h2:h2_z
0.0002511886431509582,76.10775962285697,651962.4614398229,651962.1602810017,-0.30115882119131615,76.10775962285697,bayes_h1h2_marginal_boundary,measured_graph,1.7966265353676804e-17,periphery,h1:h1_z;h2:h2_z
0.00031622776601683794,54.23578122584149,651973.3248198956,651973.0962702002,-0.22854969528574837,54.23578122584149,bayes_h1h2_marginal_boundary,measured_graph,1.0090148845138638e-12,periphery,h1:h1_z;h2:h2_z
0.00039810717055349735,37.34714438812807,651981.7065291884,651981.5405886191,-0.16594056938017995,37.34714438812807,bayes_h1h2_marginal_boundary,measured_graph,4.6904927123828524e-09,periphery,h1:h1_z;h2:h2_z
0.0005011872336272725,24.10133638046682,651988.2768240664,651988.1634926229,-0.11333144347461188,24.10133638046682,bayes_h1h2_marginal_boundary,measured_graph,3.527842018248372e-06,periphery,h1:h1_z;h2:h2_z
0.000630957344480193,13.506143813254312,651993.5318112241,651993.4610889065,-0.07072231756904392,13.506143813254312,bayes_h1h2_marginal_boundary,measured_graph,0.0007050598136993474,periphery,h1:h1_z;h2:h2_z
0.0007943282347242822,5.186633102130145,651997.6589574537,651997.6208442621,-0.03811319166347554,5.186633102130145,bayes_h1h2_marginal_boundary,measured_graph,0.045163205509079075,periphery,h1:h1_z;h2:h2_z
0.001,-0.0,652000.2296648789,652000.2141608131,-0.015504065757907535,-0.0,bayes_h1h2_marginal_boundary,measured_graph,0.6040151431042173,periphery,h1:h1_z;h2:h2_z
0.0012589254117941675,1.0926253977231681,651999.6707430541,651999.6678481143,-0.0028949398523394052,1.0926253977231681,bayes_h1h2_marginal_boundary,measured_graph,0.3497737686207484,periphery,h1:h1_z;h2:h2_z
0.001584893192461114,14.968996250769123,651992.7299485017,651992.7296626878,-0.0002858139467712683,14.968996250769123,bayes_h1h2_marginal_boundary,measured_graph,0.0003392904151792854,periphery,h1:h1_z;h2:h2_z
0.0019952623149688807,51.71615861612372,651974.3637581931,651974.3560815051,-0.007676688041203171,51.71615861612372,bayes_h1h2_marginal_boundary,measured_graph,3.5565315913855025e-12,periphery,h1:h1_z;h2:h2_z
0.002511886431509582,123.60444796015508,651938.4370043952,651938.411936833,-0.025067562135635053,123.60444796015508,bayes_h1h2_marginal_boundary,measured_graph,8.723343678207756e-28,periphery,h1:h1_z;h2:h2_z
0.0031622776601683794,242.27144921850413,651879.1308946401,651879.0784362039,-0.05245843623006681,242.27144921850413,bayes_h1h2_marginal_boundary,measured_graph,1.4875482716423101e-53,periphery,h1:h1_z;h2:h2_z
0.003981071705534973,415.9252135336865,651792.3414033566,651792.2515540463,-0.08984931032449865,415.9252135336865,bayes_h1h2_marginal_boundary,measured_graph,2.910953485078877e-91,periphery,h1:h1_z;h2:h2_z
0.005011872336272725,647.9567253440619,651676.3730383256,651676.2357981411,-0.13724018441893068,647.9567253440619,bayes_h1h2_marginal_boundary,measured_graph,1.1995895182286499e-141,periphery,h1:h1_z;h2:h2_z
0.006309573444801936,937.1139259345364,651531.8518289044,651531.6571978459,-0.19463105851336257,937.1139259345364,bayes_h1h2_marginal_boundary,measured_graph,1.946903172510002e-204,periphery,h1:h1_z;h2:h2_z
