tile_id,boundary_node,is_pin,P_dc_Pa,P_h1_real_Pa,P_h1_imag_Pa,amp_P_h1_Pa,phase_P_h1_rad,P_h2_real_Pa,P_h2_imag_Pa,amp_P_h2_Pa,phase_P_h2_rad
4,16589,False,-0.7689937532818445,0.017654858122682977,0.012207474516961277,0.021464306404221964,0.6049655071584795,0.0017231453013527064,0.003189476197464205,0.0036251880149537944,1.0754620536652237
4,16614,False,-0.7278721996422138,0.01669362637118113,0.006907627035364977,0.01806633534174264,0.392336030633377,0.0019440014287041938,0.0019378493814708687,0.002744886478539864,0.78381334152161
4,16627,False,-0.7472347378109303,0.017204128494397012,0.009245055589966363,0.01953082410225671,0.4930980858921064,0.0018723588526808096,0.0024920446933604143,0.0031170522015067374,0.9264417621467299
4,17983,False,-0.7400913330299608,0.0167069318848954,0.012673740629035894,0.020970104304428475,0.6489771877174944,0.0016149940222009054,0.003328881779217753,0.0036999539985995244,1.1191022923508622
4,18012,False,-0.7309157244445494,0.016492872138115455,0.012281345709195332,0.020563226492770915,0.6400655168877372,0.0016380512986597033,0.003247888585916388,0.003637580559048376,1.1036800070450605
4,18117,False,-0.7219646413247481,0.01577065594053121,0.015347030510387352,0.02200556598411803,0.7717853498828371,0.0012908883585877051,0.004012351484871051,0.004214897055977072,1.2595261065926595
4,18139,False,-0.7206261944852792,0.015728535477666266,0.015323350773755483,0.0219588685320478,0.772350269737428,0.0012868867713881937,0.004009665793911287,0.004211115925884273,1.260235360648204
4,18451,False,-0.7420763880310409,0.015392960257926462,0.01891810004705239,0.024389295498074295,0.8877795634891033,0.0007303193416162047,0.004821688503555083,0.004876683951831817,1.4204734604066689
4,18465,False,-0.7415771199477441,0.015370191227889527,0.018979433638425306,0.02442256496802255,0.8900877234766391,0.0007202252555132396,0.004843090574958816,0.004896350757036716,1.423166361155477
4,18486,False,-0.6319350485332945,0.013498445559120538,0.01502356170268682,0.020196916565331922,0.838818845783044,0.0010443485392869457,0.004530312883172932,0.004649128809890453,1.344229758429836
4,18583,False,-0.5794895277721642,0.012328359824502236,0.014620618584603166,0.01912461617285022,0.8702531209254531,0.0008563647076668745,0.004895323205881252,0.004969662946576646,1.3976134634378503
4,18614,False,-0.5683060017397724,0.011934830104899295,0.014962312930973228,0.019139252281036977,0.8974841876365762,0.0006897681283598157,0.005100253840241879,0.005146685273630303,1.4363700152886254
4,19117,False,-0.7256309908632749,0.016624947818410535,0.006642775189646633,0.017902942556603872,0.3801327687858107,0.0019475505035433532,0.0018746450324443817,0.002703191994942343,0.7663262371465555
4,19200,False,-0.693671549071078,0.015585447311437555,0.004473536322267992,0.01621476780975439,0.2795183409771054,0.0019209978420515325,0.0013605826269832465,0.002354021621399276,0.6162538910083167
4,19358,False,-0.6697128474362629,0.014726592039859598,0.0029238535773665375,0.0150140411898441,0.19599367179544455,0.0018600528116707565,0.00099152432109921,0.002107822796521457,0.4897464123039686
4,19432,False,-0.6225649574258455,0.012883637526512464,-0.0005296776012604486,0.012894521095249611,-0.041089286818961304,0.001675517396528464,0.00016795945705460987,0.001683914761881848,0.09990957560138035
4,19438,False,-0.6180937239305934,0.01271678950163182,-0.0007229627284213484,0.01273732351538186,-0.056789911759428637,0.001657381516175273,0.000122841677885375,0.0016619276662915088,0.07398264853111186
4,19601,False,-0.7064199203103606,0.015910472047053162,0.011964087467640005,0.019906845799709222,0.6447562926979852,0.00166869413918979,0.003216584525142783,0.003623666118388169,1.0922392088349169
4,19791,False,-0.5827829402013355,0.011375338216964327,-0.002316397306192654,0.011608790463716094,-0.2008866342320369,0.001502091849614369,-0.00024775851630782955,0.0015223876664900346,-0.16347046817264668
4,19795,False,-0.5793290695990119,0.011232585919080815,-0.0025368795988879762,0.011515500185783794,-0.2221233430114331,0.0014826722132022909,-0.0002994317995233933,0.00151260579609097,-0.19927383761918258
4,19881,False,-0.5677566225264961,0.01081040551376294,-0.0029424811503565816,0.011203707542246895,-0.265751634799975,0.001433851698926176,-0.0003908884753097035,0.001486177813938637,-0.26614689336586045
4,19912,True,-0.5183120311241752,0.009176437148483478,-0.0037620676341144437,0.009917668658697922,-0.38907189290053534,0.0012739449461620445,-0.0005568595359105187,0.0013903338694667166,-0.41208664915510274
4,23502,False,-0.4969227707260015,0.010982814802729963,0.012586926897644271,0.016704878021635033,0.8533514857811942,0.0006386802960665615,0.005197843990497726,0.005236935618292151,1.4485350909895576
4,23530,False,-0.46922303833582546,0.01058823923069171,0.011736674001570642,0.015806970823832856,0.836794706082874,0.0005524142866929745,0.005265392499241803,0.005294291238231455,1.4662645634152909
4,23731,False,-0.3321976997524093,0.008897912199158923,0.002579687625903526,0.009264320253055857,0.28218413665414804,0.0012755695502906907,0.0036645304289136546,0.0038801882611624516,1.2358281791523855
4,23780,False,-0.3502158053062209,0.00871370393822806,0.0017753393364528494,0.008892719836059609,0.2009901379365651,0.0015582768222183196,0.0029298682772445216,0.0033184868203243786,1.0819875378190251
4,23790,False,-0.31269150628316084,0.007731553883660057,-0.0007597796480096296,0.007768795953651283,-0.0979554699476797,0.001655471879569104,0.0022982531688291678,0.00283241147647678,0.9465642315050768
4,26314,False,-0.2912749727538796,0.006887051930901471,-0.0023105391251054177,0.0072643014356217755,-0.32369056747206515,0.0016561533775427224,0.001793778878108448,0.002441410795727374,0.8252692549751603
4,26354,False,-0.29103595794483206,0.00559715835706987,-0.003624273732982762,0.0066680988119332705,-0.5746300557202837,0.0015468833092981344,0.0008339662099012878,0.0017573695148836133,0.49445693662922485
4,26382,False,-0.2836777292494417,0.004922602587274843,-0.004208390556360472,0.006476308154119057,-0.707338658010511,0.0014701009931683516,0.0004790839516888168,0.0015461948010779064,0.31503219801924254
4,26559,False,-0.26284951651467886,0.00382261081496756,-0.0048888194130433365,0.006205876948188415,-0.9071843750277767,0.0013133427263424668,0.0001168411036031342,0.0013185298480989582,0.08873106943072946
4,26569,False,-0.24880399901462447,0.003986823858886009,-0.005113844775508306,0.006484302034126443,-0.9086102043958595,0.0013853913814005753,0.00034493547374099954,0.001427686856668479,0.24401892750418425
4,26615,False,-0.23628238695215747,0.002600378155165752,-0.005360173399577736,0.005957635892147487,-1.1191157450912876,0.0011152397914884823,-0.00019022925545343194,0.0011313474100158804,-0.1689465379851914
4,27314,False,-0.2306840631151767,0.00239267544537556,-0.005412843578246243,0.0059180884911823285,-1.1545843939258635,0.0010820854471492447,-0.00022814250897878048,0.001105874278268246,-0.20779269739444245
4,27374,False,-0.18805882705946053,0.001093254052347102,-0.0055479514553417215,0.005654641436360195,-1.3762336647706463,0.0009032827556949166,-0.0003668488098532114,0.000974934759882178,-0.38577831885796776
4,27554,False,-0.14750737506434922,-3.6388634853937044e-05,-0.005537881977442087,0.005538001528423806,-1.577367090005165,0.0007486456658724859,-0.00045801998098589396,0.000877640379661269,-0.5490494246765449
4,27612,False,-0.03368623851469881,-0.0025997533743785752,-0.0056693834686788284,0.006237036677984311,-2.0007460367338408,0.0005661115998778647,-0.00041541158133558256,0.0007021745690524579,-0.6330509604452007
8,30,False,0.011601373039863114,0.010247172963619917,0.0151750082508221,0.018310800887969422,0.9768636788367582,0.0026006667166324827,0.0020706760175835037,0.003324329487399746,0.6724254952937679
8,162,False,0.011760418214593905,0.01024289443360953,0.015170179761367268,0.01830440494444619,0.9769097701913351,0.0025999654025536246,0.002070222444793448,0.003323498317346105,0.672450168775895
8,483,False,0.029783797587030172,0.010147748750035447,0.014258017306371116,0.01750051034120503,0.9522463012053498,0.002568539140483105,0.001836441442471652,0.0031575165063418196,0.6207058000468235
8,512,False,0.035780435633930734,0.01015195321495396,0.013925122663639744,0.01723285220954521,0.9408459738408765,0.0025658590204516787,0.0017439333507723992,0.00310240810416191,0.5969498874345174
8,807,False,-0.012006054963946964,0.008964325309924146,0.01748383162187251,0.01964798962856342,1.0970238904704246,0.0023693623130551823,0.0029486498658540176,0.0037826464019158758,0.8938997068228871
8,823,False,0.0062736464295184615,0.009633788281150142,0.015982354945209228,0.018661338275715374,1.0283377688930568,0.002503588551065266,0.002415127061140988,0.003478619604739872,0.7674154294540448
8,859,False,-0.01644122106136254,0.008765408321873067,0.017857063249308587,0.019892387763638858,1.1144833438535482,0.002319614956859054,0.003083217897774567,0.003858347593626273,0.9258020324283643
8,876,False,-0.04662953821561164,0.006886297032180912,0.020640786217144748,0.021759208222665093,1.2487826531903539,0.0017945249936709739,0.004128356469590368,0.004501516088266092,1.160753043435876
8,1513,False,-0.09095132239754239,0.006365843192461678,0.023225040197866982,0.02408166214661164,1.3032726508955377,0.001598240390619271,0.0048776084862424745,0.0051327806198269805,1.254152436041947
8,1718,False,-0.14592029812691226,0.002092455419484381,0.027540413121445978,0.02761978864116167,1.4949643850194931,-0.00010772182543908938,0.006352951710198145,0.00635386492017146,1.5877508871871222
8,1761,False,-0.14127498084246226,0.0015316798679542798,0.027498567361611964,0.027541191879782677,1.5151534722833047,-0.00031857894365193776,0.006393074569963724,0.006401007342634067,1.6205870233053632
8,1776,False,-0.15944277102342597,0.0010948806520389074,0.028410869942855833,0.02843195903472144,1.5322780018262254,-0.0005610743432150437,0.006595465956436011,0.00661928814912303,1.6556617058993213
8,5692,False,-0.18077653156288995,-0.0017833788503696301,0.030019154964194012,0.030072081818328437,1.63013461428012,-0.0018408615997289267,0.007059710093462391,0.007295771243199124,1.8258723633257328
8,5707,True,-0.1846148579267891,-0.001804881726776555,0.030166696827461363,0.030220641878153737,1.6305553626903742,-0.0018661097448334477,0.0070719174105402455,0.007313985332311285,1.8287915804785448
8,5930,False,-0.18854349642180804,-0.0016485499087615966,0.030230233097093273,0.03027515003936845,1.6252755173810942,-0.0018221523081604954,0.007028695601861371,0.007261046818314836,1.824456810654997
10,970,False,-0.13928139659543473,0.00630252760644085,0.02580044470737589,0.026559081334419487,1.3312085800808564,0.0015463461593018038,0.005570281765676379,0.0057809363768695984,1.300008536358199
10,1242,False,-0.15467160121781665,0.0054289286504709345,0.027040560945122777,0.027580159581097486,1.37266066166629,0.0012489307625036068,0.006006153197430489,0.006134631552141687,1.3657761408100486
10,1262,False,-0.16174917634884123,0.004125108802494863,0.02778564845602888,0.028090190151624832,1.4234110197137613,0.0007121389946851929,0.00628355240746547,0.006323778364642165,1.4579440424066454
10,1293,False,-0.16170940443247606,0.003864625698937821,0.027836615295486766,0.028103602667661997,1.4328456673729626,0.000598580160886185,0.006305727527502761,0.0063340743491146845,1.4761534998587322
10,1597,True,-0.1568683340835758,0.00419174740422477,0.027466009593198535,0.027784031911774417,1.4193491130368279,0.0007259924868012726,0.0061815038305301365,0.006223990255274396,1.453885966601833
10,1654,False,-0.16459457340061623,0.0031282500686586234,0.028194880886427978,0.02836789129794325,1.4602972725614658,0.00029623901602924933,0.006443547157569681,0.00645035328694811,1.524854152833265
10,1737,False,-0.15996645351919034,0.002133944392963172,0.028201427144581674,0.028282047515401126,1.495272290931181,-0.00011978963206333169,0.006498062922681092,0.006499166969933347,1.5892289068738759
10,1776,False,-0.15944277102342597,0.0010948806520389074,0.028410869942855833,0.02843195903472144,1.5322780018262254,-0.0005610743432150437,0.006595465956436011,0.00661928814912303,1.6556617058993213
10,1933,False,0.13212769647608322,0.009139357154080503,0.00934953836229429,0.013074468126002489,0.7967656436653693,0.0021818451959472233,0.0006246783513239225,0.002269509088259122,0.278847892678819
10,2319,False,0.1503184688760001,0.008717893372903586,0.00868750251410614,0.01230749222197263,0.7836521055593881,0.0020764590925308303,0.0005142627690144076,0.002139193436449431,0.24277823602924667
10,2392,False,0.17336059909267837,0.00823392847573061,0.007834414551979467,0.011365545720101391,0.7605398672759943,0.0019460766921004314,0.00035932892606980733,0.001978972402194391,0.18258630348239785
10,2443,False,0.16408368157298855,0.008215907410365991,0.008353877533374068,0.011717013459850545,0.7937245801257473,0.001977579293506616,0.0005141495041359991,0.002043323169425096,0.254358058745533
10,2463,False,0.1577776399519632,0.008075571100663113,0.008829578691536673,0.01196563029981721,0.8299708645311814,0.001977969492801274,0.0006781636055174492,0.002090997176062406,0.3302985475809444
10,2639,False,0.13646795407714066,0.007438851269354677,0.010557030585331705,0.012914619738389853,0.9569665182319295,0.0019315452700450074,0.0012925295571560563,0.002324112687964005,0.5897327520843062
