D0,log_likelihood_marginal,log_posterior,log_prior,posterior_prob,tile_id
1e-05,11797.34687131449,11793.226213752168,-4.120657562321899,0.0048668871549484355,1
1.2589254117941661e-05,11797.353067925189,11793.445019488772,-3.9080484364163315,0.006057276529175527,1
1.584893192461114e-05,11797.360904875748,11793.655465565238,-3.7054393105107626,0.007476063309335309,1
1.9952623149688786e-05,11797.370776022508,11793.857945837903,-3.5128301846051952,0.009153960531094822,1
2.5118864315095822e-05,11797.383108906275,11794.052887847576,-3.330221058699625,0.011124263684944262,1
3.1622776601683795e-05,11797.39829214748,11794.240680214685,-3.1576119327940577,0.013422347038510316,1
3.9810717055349695e-05,11797.416519518149,11794.42151671126,-2.99500280688849,0.01608291460607571,1
5.011872336272725e-05,11797.437521532833,11794.59512785185,-2.8423936809829216,0.019132120889642834,1
6.309573444801929e-05,11797.4602230721,11794.760438517022,-2.699784555077354,0.02257130275215341,1
7.943282347242822e-05,11797.48253105117,11794.915355621997,-2.5671754291717854,0.026353376696712796,1
0.0001,11797.501610575588,11795.057044272322,-2.444566303266217,0.03036483103853378,1
0.00012589254117941674,11797.514787213917,11795.182830036556,-2.3319571773606493,0.03443490841067082,1
0.00015848931924611142,11797.520471682012,11795.291123630557,-2.229348051455081,0.038373396622870044,1
0.00019952623149688788,11797.518084099233,11795.381345173682,-2.1367389255495133,0.04199648676554211,1
0.0002511886431509582,11797.506751051986,11795.452621252341,-2.0541297996439445,0.045099088921357555,1
0.00031622776601683794,11797.483784701748,11795.50226402801,-1.981520673738377,0.04739443518612005,1
0.00039810717055349735,11797.444454924631,11795.525543376798,-1.9189115478328085,0.04851068919634419,1
0.0005011872336272725,11797.384283364492,11795.517980942564,-1.8663024219272404,0.048145213982614884,1
0.000630957344480193,11797.30353536731,11795.479842071289,-1.8236932960216725,0.046343584303467605,1
0.0007943282347242822,11797.210366738434,11795.419282568319,-1.7910841701161042,0.04362033152232666,1
0.001,11797.11816493766,11795.349689893448,-1.7684750442105361,0.040687897361850724,1
0.0012589254117941675,11797.03847437637,11795.282608458065,-1.755865918304968,0.03804802778338891,1
0.001584893192461114,11796.97638231019,11795.22312551779,-1.7532567923993998,0.035850815360431366,1
0.0019952623149688807,11796.931184450485,11795.170536783991,-1.7606476664938318,0.03401418272655384,1
0.002511886431509582,11796.899027078343,11795.120988537756,-1.7780385405882637,0.03236991138661057,1
0.0031622776601683794,11796.874723333829,11795.069293919147,-1.8054294146826955,0.0307390770053675,1
0.003981071705534973,11796.853041069771,11795.010220780994,-1.8428202887771272,0.028975816655400635,1
0.005011872336272725,11796.83031398534,11794.940102822467,-1.8902111628715592,0.027013685693714276,1
0.006309573444801936,11796.805503671903,11794.857901634938,-1.9476020369659912,0.024881944690067288,1
0.00794328234724282,11796.77945340619,11794.76446049513,-2.014992911060423,0.022662266842852056,1
0.01,11796.753210069144,11794.660826283989,-2.092383785154855,0.020431280343728805,1
0.012589254117941675,11796.727151026791,11794.547376367542,-2.1797746592492864,0.01824000320218617,1
0.01584893192461114,11796.701231478895,11794.424065945552,-2.2771655333437186,0.016123966026117605,1
0.01995262314968881,11796.67558076872,11794.291024361282,-2.3845564074381507,0.014115382412143449,1
0.025118864315095822,11796.650719386858,11794.148772105325,-2.5019472815325825,0.012243716884098838,1
0.03162277660168379,11796.627280766746,11793.997942611119,-2.6293381556270137,0.010529526978126492,1
0.039810717055349734,11796.605607517266,11793.838878487544,-2.7667290297214455,0.008981072257089764,1
0.05011872336272725,11796.585510917828,11793.671391014012,-2.9141199038158776,0.007596076064630738,1
0.06309573444801936,11796.566216530584,11793.494705752673,-3.0715107779103095,0.006365842230042837,1
0.07943282347242822,11796.546474668146,11793.307573016142,-3.2389016520047416,0.005279407147822233,1
0.1,11796.524838787424,11793.108546261325,-3.4162925260991726,0.0043266218053348805,1
1e-05,12798.926405834109,12794.805748271787,-4.120657562321899,0.003927277229758717,3
1.2589254117941661e-05,12798.926173381595,12795.018124945178,-3.9080484364163315,0.004856524420720662,3
1.584893192461114e-05,12798.925882381021,12795.220443070511,-3.7054393105107626,0.005945538864353624,3
1.9952623149688786e-05,12798.925518776592,12795.412688591987,-3.5128301846051952,0.007205803111649268,3
2.5118864315095822e-05,12798.925065668398,12795.594844609699,-3.330221058699625,0.008645532442013793,3
3.1622776601683795e-05,12798.924503197206,12795.766891264411,-3.1576119327940577,0.01026858630447451,3
3.9810717055349695e-05,12798.92380892522,12795.92880611833,-2.99500280688849,0.012073394324031898,3
5.011872336272725e-05,12798.922959313084,12796.0805656321,-2.8423936809829216,0.014051985875327935,3
6.309573444801929e-05,12798.921933474534,12796.222148919456,-2.699784555077354,0.016189243117339443,3
7.943282347242822e-05,12798.920721460756,12796.353546031583,-2.5671754291717854,0.018462545802869452,3
0.0001,12798.919341146311,12796.474774843045,-2.444566303266217,0.020842057494941307,3
0.00012589254117941674,12798.917870388876,12796.585913211515,-2.3319571773606493,0.023292031553004654,3
0.00015848931924611142,12798.916503368058,12796.687155316604,-2.229348051455081,0.025773669627588407,3
0.00019952623149688788,12798.915637436434,12796.778898510884,-2.1367389255495133,0.02825008899955587,3
0.0002511886431509582,12798.915979605905,12796.86184980626,-2.0541297996439445,0.03069340784596068,3
0.00031622776601683794,12798.91861895433,12796.937098280592,-1.981520673738377,0.03309215938452137,3
0.00039810717055349735,12798.924949587115,12797.006038039282,-1.9189115478328085,0.03545400194363858,3
0.0005011872336272725,12798.936294537303,12797.069992115375,-1.8663024219272404,0.037795506220622554,3
0.000630957344480193,12798.953155681522,12797.129462385501,-1.8236932960216725,0.040111395966591,3
0.0007943282347242822,12798.97430072544,12797.183216555324,-1.7910841701161042,0.04232655439027696,3
0.001,12798.996374055489,12797.227899011277,-1.7684750442105361,0.04426069815322748,3
0.0012589254117941675,12799.014772494867,12797.258906576562,-1.755865918304968,0.045654613925815504,3
0.001584893192461114,12799.02543910044,12797.272182308041,-1.7532567923993998,0.04626475338371445,3
0.0019952623149688807,12799.026152877323,12797.26550521083,-1.7606476664938318,0.04595686816156335,3
0.002511886431509582,12799.016528430855,12797.238489890267,-1.7780385405882637,0.04473194892646351,3
0.0031622776601683794,12798.99725798673,12797.191828572048,-1.8054294146826955,0.042692645513318896,3
0.003981071705534973,12798.969507638578,12797.1266873498,-1.8428202887771272,0.0400002397134122,3
0.005011872336272725,12798.93490435379,12797.044693190917,-1.8902111628715592,0.036851314441294955,3
0.006309573444801936,12798.895945794995,12796.94834375803,-1.9476020369659912,0.03346639681164257,3
0.00794328234724282,12798.856453110047,12796.841460198986,-2.014992911060423,0.030073918349700694,3
0.01,12798.821830700794,12796.729446915639,-2.092383785154855,0.0268870568485917,3
0.012589254117941675,12798.798640830435,12796.618866171186,-2.1797746592492864,0.02407235937329698,3
0.01584893192461114,12798.792101399391,12796.514935866047,-2.2771655333437186,0.02169613129200504,3
0.01995262314968881,12798.800948558452,12796.416392151013,-2.3845564074381507,0.019660081263304555,3
0.025118864315095822,12798.81370771557,12796.311760434037,-2.5019472815325825,0.01770697325436415,3
0.03162277660168379,12798.813256856107,12796.183918700479,-2.6293381556270137,0.015582006165811266,3
0.039810717055349734,12798.78823059932,12796.0215015696,-2.7667290297214455,0.01324605360226238,3
0.05011872336272725,12798.73940267877,12795.825282774953,-2.9141199038158776,0.010886036055270169,3
0.06309573444801936,12798.676164076227,12795.604653298316,-3.0715107779103095,0.00873075103575219,3
0.07943282347242822,12798.609015797154,12795.37011414515,-3.2389016520047416,0.006905458889913107,3
0.1,12798.543523956085,12795.127231429986,-3.4162925260991726,0.005416389920034213,3
1e-05,3505.4292852461117,3501.30862768379,-4.120657562321899,0.004196072168216161,7
1.2589254117941661e-05,3505.4292981418034,3501.521249705387,-3.9080484364163315,0.00519019314474459,7
1.584893192461114e-05,3505.4293143515583,3501.7238750410474,-3.7054393105107626,0.00635598092095758,7
1.9952623149688786e-05,3505.429334718836,3501.9165045342306,-3.5128301846051952,0.007706204164789286,7
2.5118864315095822e-05,3505.429360296891,3502.0991392381916,-3.330221058699625,0.009250341262405069,7
3.1622776601683795e-05,3505.429392398033,3502.271780465239,-3.1576119327940577,0.01099347231919533,7
