C_dimensionless,conductance_m3_per_Pa_s,edge_u,edge_v,geometry_source,harmonic,length_m,radius_m
0.0012249289836404403,1.463525735608353e-16,6662,6627,radius_adapted_m+length_true,1,8.979354810472302e-05,3.289753925043034e-06
3.399978123419582e-05,6.144231108509896e-15,6662,6648,radius_adapted_m+length_true,1,2.860954824605645e-05,6.291390980963517e-06
0.0004727979131594812,3.798986214218487e-16,6665,6648,radius_adapted_m+length_true,1,6.542002072052268e-05,3.8578615558829034e-06
0.0005657057895599474,8.693369692303999e-17,6665,6718,radius_adapted_m+length_true,1,4.509837249130063e-05,2.431304165673211e-06
0.00039554934348118737,1.6971081170580075e-16,6665,6691,radius_adapted_m+length_true,1,4.440256101480776e-05,2.8627368094070893e-06
0.0002751980536564885,1.567170020712439e-16,15369,15347,radius_adapted_m+length_true,1,3.395001844517574e-05,2.6241645972513304e-06
0.00012352105921632927,3.389664138212483e-16,15369,15358,radius_adapted_m+length_true,1,2.5738543373807947e-05,2.9695264511096383e-06
0.002059632342459403,1.3471046995458336e-17,15369,15417,radius_adapted_m+length_true,1,5.7327718268917415e-05,1.6197334144444697e-06
0.003277002301422206,8.487892563425154e-18,4621,4587,radius_adapted_m+length_true,1,6.698160138147453e-05,1.5003441515150373e-06
0.00023083527444766482,1.879047883968832e-16,4621,5197,radius_adapted_m+length_true,1,3.207882630444231e-05,2.7073295218268695e-06
0.0023470478830635117,2.9272656178253417e-17,4621,4632,radius_adapted_m+length_true,1,8.101020814163121e-05,2.144136893265907e-06
0.0003010780774572258,9.772791394986291e-16,6671,6648,radius_adapted_m+length_true,1,6.634833617541201e-05,4.903026109442155e-06
0.0004117485643403873,1.7655935363269054e-16,5138,4799,radius_adapted_m+length_true,1,4.621213605422529e-05,2.920207641296816e-06
0.002618650818248534,3.215132889290703e-17,5138,4850,radius_adapted_m+length_true,1,8.991299024778568e-05,2.2529802363197593e-06
0.0016802373731080178,1.882648655397717e-16,5138,5149,radius_adapted_m+length_true,1,0.00012056130044876938,3.771345669290848e-06
0.0024444484628446234,4.093469452442566e-17,14871,5034,radius_adapted_m+length_true,1,9.307981518604818e-05,2.414008562401795e-06
8.233686227274525e-05,4.89183581266474e-16,14871,14896,radius_adapted_m+length_true,1,2.2195140745081564e-05,3.136421942521194e-06
0.00040394045767031553,8.667784561498451e-16,4632,4603,radius_adapted_m+length_true,1,7.754468016865179e-05,4.947286587753044e-06
9.076967275677584e-05,2.4868895523648852e-15,4632,6498,radius_adapted_m+length_true,1,4.072712465958903e-05,5.481344543664153e-06
0.001189007547091499,7.03117734423891e-17,15389,15406,radius_adapted_m+length_true,1,6.894511426363571e-05,2.5638046247466754e-06
0.00010615303779150469,8.862197349287686e-16,15389,16668,radius_adapted_m+length_true,1,3.205087037688372e-05,3.988846746730853e-06
0.0005854429002453838,1.8422480084042863e-16,5149,5072,radius_adapted_m+length_true,1,5.926661615826168e-05,3.1408095048269437e-06
8.59981441033573e-05,7.98488527661341e-16,5149,5158,radius_adapted_m+length_true,1,2.690213103575509e-05,3.7197682293870015e-06
0.0004908220070604473,8.691756213365124e-16,14880,4924,radius_adapted_m+length_true,1,8.83804620568678e-05,5.1152632710103374e-06
0.0028008621665454995,2.8669278807866406e-16,14880,15093,radius_adapted_m+length,1,0.00019500143996772923,4.7246069697973755e-06
0.000930389209819451,6.252797873521558e-17,15393,15358,radius_adapted_m+length_true,1,5.629964341581879e-05,2.3667209122611803e-06
0.0002140363442810882,2.6605807571276855e-16,15393,15449,radius_adapted_m+length_true,1,3.4252181434864315e-05,3.0020519961454707e-06
4.3678771057205597e-05,8.71933449536109e-16,15393,15406,radius_adapted_m+length_true,1,1.7635148622213487e-05,3.421508752803573e-06
0.0027229328459316385,5.202103676229436e-17,4131,4011,radius_adapted_m+length_true,1,0.00010833996536365998,2.6622201337907635e-06
0.006821324168522995,1.473029046359926e-17,4131,4072,radius_adapted_m+length_true,1,0.00013122622441340625,2.0373236457145223e-06
