ablation,D,chi2,delta_chi2
measured_free_boundary,1e-06,555.5624332259603,6.107941096016816
measured_free_boundary,1.3058823191183775e-06,555.5614795426225,6.106987412679018
measured_free_boundary,1.7053286313859887e-06,555.5602342198441,6.105742089900673
measured_free_boundary,2.2269585080133038e-06,555.5586081686581,6.104116038714665
measured_free_boundary,2.908145741024809e-06,555.556485001829,6.1019928718855
measured_free_boundary,3.7976961046237105e-06,555.553712885327,6.099220755383499
measured_free_boundary,4.959344196412829e-06,555.550093671187,6.095601541243582
measured_free_boundary,6.476319900517853e-06,555.5453688186442,6.090876688700746
measured_free_boundary,8.457311651040738e-06,555.5392011356789,6.084709005735476
measured_free_boundary,1.1044253752367952e-05,555.5311509918535,6.076658861910005
measured_free_boundary,1.4422495703074076e-05,555.5206454927402,6.06615336279674
measured_free_boundary,1.883408213620521e-05,555.5069385539005,6.052446423957008
measured_free_boundary,2.4595094858493616e-05,555.4890593804896,6.034567250546161
measured_free_boundary,3.211829951274613e-05,555.4657462230881,6.011254093144657
measured_free_boundary,4.194271945384357e-05,555.4353615868906,5.980869456947175
measured_free_boundary,5.477225575051662e-05,555.3957845321588,5.9412924022153675
measured_free_boundary,7.15261203628294e-05,555.3442751280604,5.889782998116971
measured_free_boundary,9.340469593695185e-05,555.2773061977863,5.822814067842842
measured_free_boundary,0.00012197554094669347,555.1903585670972,5.735866437153732
measured_free_boundary,0.00015928570228718652,555.0776793439472,5.623187214003792
measured_free_boundary,0.00020800838230519039,554.9320102562466,5.477518126303153
measured_free_boundary,0.00027163446868076383,554.7443084651766,5.289816335233127
measured_free_boundary,0.0003547226499133238,554.5035119118842,5.0490197819407285
measured_free_boundary,0.0004632260367126272,554.1964565191613,4.741964389217856
measured_free_boundary,0.0006049186910983003,553.8081530794725,4.353660949529058
measured_free_boundary,0.0007899526232095012,553.3228108385728,3.8683187086293174
measured_free_boundary,0.0010315851635904682,552.7263075179229,3.2718153879794727
measured_free_boundary,0.00134712882579763,552.0113356550721,2.55684352512867
measured_free_boundary,0.0017591917151838243,551.1873117830662,1.7328196531227604
measured_free_boundary,0.0022972973567980865,550.2983983984511,0.8439062685076806
measured_free_boundary,0.003000000000000001,549.4544921299434,0.0
measured_fixed_mosaic_pressure,1e-06,1700.8796464658478,24.423509410083398
measured_fixed_mosaic_pressure,1.3058823191183775e-06,1700.8777055932387,24.421568537474286
measured_fixed_mosaic_pressure,1.7053286313859887e-06,1700.8751708176433,24.419033761878836
measured_fixed_mosaic_pressure,2.2269585080133038e-06,1700.8718603164318,24.41572326066739
measured_fixed_mosaic_pressure,2.908145741024809e-06,1700.8675365390684,24.411399483303967
measured_fixed_mosaic_pressure,3.7976961046237105e-06,1700.8618890822972,24.40575202653281
measured_fixed_mosaic_pressure,4.959344196412829e-06,1700.8545122717348,24.398375215970418
measured_fixed_mosaic_pressure,6.476319900517853e-06,1700.844875791569,24.38873873580451
measured_fixed_mosaic_pressure,8.457311651040738e-06,1700.832286169623,24.376149113858673
measured_fixed_mosaic_pressure,1.1044253752367952e-05,1700.8158362071376,24.359699151373206
measured_fixed_mosaic_pressure,1.4422495703074076e-05,1700.794338473466,24.33820141770161
measured_fixed_mosaic_pressure,1.883408213620521e-05,1700.7662376637943,24.31010060802987
measured_fixed_mosaic_pressure,2.4595094858493616e-05,1700.7294947977482,24.273357741983773
measured_fixed_mosaic_pressure,3.211829951274613e-05,1700.6814337012117,24.225296645447315
measured_fixed_mosaic_pressure,4.194271945384357e-05,1700.6185366334212,24.162399577656743
measured_fixed_mosaic_pressure,5.477225575051662e-05,1700.5361707967334,24.08003374096893
measured_fixed_mosaic_pressure,7.15261203628294e-05,1700.428220022383,23.972082966618473
measured_fixed_mosaic_pressure,9.340469593695185e-05,1700.2865849588864,23.83044790312192
measured_fixed_mosaic_pressure,0.00012197554094669347,1700.1004987309439,23.644361675179425
measured_fixed_mosaic_pressure,0.00015928570228718652,1699.85558039192,23.399443336155628
measured_fixed_mosaic_pressure,0.00020800838230519039,1699.532511176906,23.076374121141498
measured_fixed_mosaic_pressure,0.00027163446868076383,1699.1051621627234,22.649025106959016
measured_fixed_mosaic_pressure,0.0003547226499133238,1698.537917814779,22.081780759014464
measured_fixed_mosaic_pressure,0.0004632260367126272,1697.7818184604023,21.325681404637862
measured_fixed_mosaic_pressure,0.0006049186910983003,1696.7689816742525,20.312844618488043
measured_fixed_mosaic_pressure,0.0007899526232095012,1695.4045792211755,18.948442165411052
measured_fixed_mosaic_pressure,0.0010315851635904682,1693.5555468833502,17.09940982758576
measured_fixed_mosaic_pressure,0.00134712882579763,1691.0355224831662,14.579385427401803
measured_fixed_mosaic_pressure,0.0017591917151838243,1687.5871325735357,11.130995517771225
measured_fixed_mosaic_pressure,0.0022972973567980865,1682.8676965223829,6.411559466618428
measured_fixed_mosaic_pressure,0.003000000000000001,1676.4561370557644,0.0
mosaic_flow_free_boundary,1e-06,0.014728547371241366,0.012661081731814142
mosaic_flow_free_boundary,1.3058823191183775e-06,0.014722424466919841,0.012654958827492617
mosaic_flow_free_boundary,1.7053286313859887e-06,0.014714430864803767,0.012646965225376543
mosaic_flow_free_boundary,2.2269585080133038e-06,0.014703995939524733,0.01263653030009751
mosaic_flow_free_boundary,2.908145741024809e-06,0.014690375528709767,0.012622909889282543
mosaic_flow_free_boundary,3.7976961046237105e-06,0.014672599785740923,0.0126051341463137
mosaic_flow_free_boundary,4.959344196412829e-06,0.01464940538063979,0.012581939741212566
mosaic_flow_free_boundary,6.476319900517853e-06,0.01461914793015147,0.012551682290724247
mosaic_flow_free_boundary,8.457311651040738e-06,0.014579689381447011,0.012512223742019787
mosaic_flow_free_boundary,1.1044253752367952e-05,0.014528253435618367,0.012460787796191143
mosaic_flow_free_boundary,1.4422495703074076e-05,0.014461241543906156,0.012393775904478932
mosaic_flow_free_boundary,1.883408213620521e-05,0.014374000343837262,0.012306534704410038
mosaic_flow_free_boundary,2.4595094858493616e-05,0.01426053148242101,0.012193065842993785
mosaic_flow_free_boundary,3.211829951274613e-05,0.014113135541357753,0.012045669901930529
mosaic_flow_free_boundary,4.194271945384357e-05,0.013921986147653507,0.011854520508226283
mosaic_flow_free_boundary,5.477225575051662e-05,0.013674640602553497,0.011607174963126273
mosaic_flow_free_boundary,7.15261203628294e-05,0.013355514856795734,0.01128804921736851
mosaic_flow_free_boundary,9.340469593695185e-05,0.01294539273660609,0.010877927097178866
mosaic_flow_free_boundary,0.00012197554094669347,0.012421118127045563,0.01035365248761834
mosaic_flow_free_boundary,0.00015928570228718652,0.011755762522819856,0.009688296883392632
mosaic_flow_free_boundary,0.00020800838230519039,0.010919817978589194,0.00885235233916197
mosaic_flow_free_boundary,0.00027163446868076383,0.00988442115990037,0.007816955520473146
mosaic_flow_free_boundary,0.0003547226499133238,0.008628411583255237,0.006560945943828013
mosaic_flow_free_boundary,0.0004632260367126272,0.007152407327784919,0.005084941688357696
mosaic_flow_free_boundary,0.0006049186910983003,0.005505437642526021,0.0034379720030987978
mosaic_flow_free_boundary,0.0007899526232095012,0.003833609145529961,0.0017661435061027374
mosaic_flow_free_boundary,0.0010315851635904682,0.0024666222177391487,0.00039915657831192516
mosaic_flow_free_boundary,0.00134712882579763,0.0020674656394272235,0.0
mosaic_flow_free_boundary,0.0017591917151838243,0.0038828541543766844,0.001815388514949461
mosaic_flow_free_boundary,0.0022972973567980865,0.010141769654844316,0.008074304015417092
mosaic_flow_free_boundary,0.003000000000000001,0.02463873226915596,0.022571266629728737
mosaic_flow_fixed_mosaic_pressure,1e-06,0.4779648537974431,0.47361245789287953
mosaic_flow_fixed_mosaic_pressure,1.3058823191183775e-06,0.47773946821328334,0.4733870723087198
mosaic_flow_fixed_mosaic_pressure,1.7053286313859887e-06,0.47744522032847203,0.4730928244239085
mosaic_flow_fixed_mosaic_pressure,2.2269585080133038e-06,0.4770611022246316,0.47270870632006806
mosaic_flow_fixed_mosaic_pressure,2.908145741024809e-06,0.4765597194239854,0.47220732351942185
mosaic_flow_fixed_mosaic_pressure,3.7976961046237105e-06,0.47590536514531184,0.4715529692407483
mosaic_flow_fixed_mosaic_pressure,4.959344196412829e-06,0.4750515251184108,0.47069912921384727
mosaic_flow_fixed_mosaic_pressure,6.476319900517853e-06,0.47393765261430315,0.4695852567097396
mosaic_flow_fixed_mosaic_pressure,8.457311651040738e-06,0.4724850140841534,0.46813261817958984
mosaic_flow_fixed_mosaic_pressure,1.1044253752367952e-05,0.47059136141471364,0.4662389655101501
mosaic_flow_fixed_mosaic_pressure,1.4422495703074076e-05,0.46812414067086483,0.4637717447663013
mosaic_flow_fixed_mosaic_pressure,1.883408213620521e-05,0.46491190708247815,0.4605595111779146
mosaic_flow_fixed_mosaic_pressure,2.4595094858493616e-05,0.46073359812798687,0.4563812022234233
mosaic_flow_fixed_mosaic_pressure,3.211829951274613e-05,0.45530535213319867,0.4509529562286351
mosaic_flow_fixed_mosaic_pressure,4.194271945384357e-05,0.44826470716299693,0.4439123112584334
mosaic_flow_fixed_mosaic_pressure,5.477225575051662e-05,0.4391523803466372,0.43479998444207363
mosaic_flow_fixed_mosaic_pressure,7.15261203628294e-05,0.42739260147921027,0.4230402055746467
mosaic_flow_fixed_mosaic_pressure,9.340469593695185e-05,0.41227449426305407,0.4079220983584905
mosaic_flow_fixed_mosaic_pressure,0.00012197554094669347,0.39293985764960965,0.3885874617450461
mosaic_flow_fixed_mosaic_pressure,0.00015928570228718652,0.3683879362648728,0.3640355403603093
mosaic_flow_fixed_mosaic_pressure,0.00020800838230519039,0.33751718554220084,0.3331647896376373
mosaic_flow_fixed_mosaic_pressure,0.00027163446868076383,0.29924073767390347,0.2948883417693399
mosaic_flow_fixed_mosaic_pressure,0.0003547226499133238,0.25274152656104737,0.24838913065648383
mosaic_flow_fixed_mosaic_pressure,0.0004632260367126272,0.19798354021677458,0.19363114431221104
mosaic_flow_fixed_mosaic_pressure,0.0006049186910983003,0.13668109431504433,0.13232869841048078
mosaic_flow_fixed_mosaic_pressure,0.0007899526232095012,0.07406745671615825,0.06971506081159472
mosaic_flow_fixed_mosaic_pressure,0.0010315851635904682,0.02201678762598472,0.017664391721421188
mosaic_flow_fixed_mosaic_pressure,0.00134712882579763,0.004352395904563532,0.0
mosaic_flow_fixed_mosaic_pressure,0.0017591917151838243,0.06540137758407304,0.061048981679509506
mosaic_flow_fixed_mosaic_pressure,0.0022972973567980865,0.28257794349269616,0.2782255475881326
mosaic_flow_fixed_mosaic_pressure,0.003000000000000001,0.7817792214872221,0.7774268255826586
