ablation,D,chi2,delta_chi2
measured_free_boundary,1e-06,822.762619165066,0.0
measured_free_boundary,1.3058823191183775e-06,822.764977430088,0.002358265022053274
measured_free_boundary,1.7053286313859887e-06,822.7680573267212,0.005438161655206386
measured_free_boundary,2.2269585080133038e-06,822.7720798545978,0.009460689531806565
measured_free_boundary,2.908145741024809e-06,822.777333691658,0.014714526592001675
measured_free_boundary,3.7976961046237105e-06,822.7841960957941,0.021576930728087973
measured_free_boundary,4.959344196412829e-06,822.7931601478782,0.030540982812226503
measured_free_boundary,6.476319900517853e-06,822.80487057701,0.042251411943993844
measured_free_boundary,8.457311651040738e-06,822.8201705255362,0.05755136047025644
measured_free_boundary,1.1044253752367952e-05,822.840163280274,0.07754411520807025
measured_free_boundary,1.4422495703074076e-05,822.8662933120959,0.10367414702989208
measured_free_boundary,1.883408213620521e-05,822.9004533207369,0.13783415567093016
measured_free_boundary,2.4595094858493616e-05,822.9451258002752,0.18250663520916532
measured_free_boundary,3.211829951274613e-05,823.0035711104433,0.24095194537733278
measured_free_boundary,4.194271945384357e-05,823.0800784416463,0.31745927658027995
measured_free_boundary,5.477225575051662e-05,823.1803027206946,0.4176835556286278
measured_free_boundary,7.15261203628294e-05,823.3117201815683,0.5491010165022772
measured_free_boundary,9.340469593695185e-05,823.4842498100994,0.7216306450334287
measured_free_boundary,0.00012197554094669347,823.7111099806498,0.9484908155837957
measured_free_boundary,0.00015928570228718652,824.010013639864,1.2473944747980568
measured_free_boundary,0.00020800838230519039,824.4048586972561,1.6422395321901604
measured_free_boundary,0.00027163446868076383,824.9281545186986,2.165535353632663
measured_free_boundary,0.0003547226499133238,825.6245594439389,2.8619402788729076
measured_free_boundary,0.0004632260367126272,826.5561180914267,3.793498926360712
measured_free_boundary,0.0006049186910983003,827.8101271463692,5.04750798130317
measured_free_boundary,0.0007899526232095012,829.5110921884217,6.7484730233557
measured_free_boundary,0.0010315851635904682,831.8390544546704,9.076435289604433
measured_free_boundary,0.00134712882579763,835.0577499068403,12.295130741774301
measured_free_boundary,0.0017591917151838243,839.557595040023,16.794975874957004
measured_free_boundary,0.0022972973567980865,845.9199554759266,23.157336310860615
measured_free_boundary,0.003000000000000001,855.0089686086359,32.2463494435699
measured_fixed_mosaic_pressure,1e-06,2443.2730069575346,1.7657517479678972
measured_fixed_mosaic_pressure,1.3058823191183775e-06,2443.272554047659,1.7652988380923489
measured_fixed_mosaic_pressure,1.7053286313859887e-06,2443.2719626859,1.7647074763331148
measured_fixed_mosaic_pressure,2.2269585080133038e-06,2443.271190582395,1.7639353728282003
measured_fixed_mosaic_pressure,2.908145741024809e-06,2443.270182553981,1.7629273444144928
measured_fixed_mosaic_pressure,3.7976961046237105e-06,2443.2688666102763,1.7616114007096257
measured_fixed_mosaic_pressure,4.959344196412829e-06,2443.2671488636925,1.75989365412579
measured_fixed_mosaic_pressure,6.476319900517853e-06,2443.2649069185286,1.7576517089619301
