D,chi2_h1_red,chi2_h2_red,delta_chi2,harmonics,log_likelihood,log_posterior,log_prior,n_h1,n_h2,neg2_delta_logpost,objective,observation_source,posterior_prob,sigma_h1_nL_s,sigma_h2_nL_s,tile_id,weight_mode
1e-05,1.0000000000009923,0.9999991511593949,14.087053392941016,H1+H2,28002.89300059933,28000.525314015464,-2.3676865838692702,217,242,14.087053392941016,bayes_h1h2_marginal_boundary,measured_graph,0.0008596563272127272,0.06051302750925781,0.017759813407467188,23,h1:h1_z;h2:h2_z
0.0001,1.0000000142760683,0.9999999999671179,-0.0,H1+H2,28008.260436036748,28007.568840711934,-0.6915953248135883,217,242,-0.0,bayes_h1h2_marginal_boundary,measured_graph,0.9846675852857336,0.06044627279439769,0.017468246523017903,23,h1:h1_z;h2:h2_z
0.001,1.0000000012127528,0.9999999999999653,8.440071913755673,H1+H2,28003.364308820815,28003.348804755056,-0.015504065757907535,217,242,8.440071913755673,bayes_h1h2_marginal_boundary,measured_graph,0.014472758387053763,0.06013744351332692,0.017454863649431974,23,h1:h1_z;h2:h2_z
0.01,1.0000000000182034,0.999999999999992,167.4029569456834,H1+H2,27924.206775045794,27923.867362239092,-0.3394128067022262,217,242,167.4029569456834,bayes_h1h2_marginal_boundary,measured_graph,4.3873210266029455e-37,0.06030041973016069,0.020253268331865994,23,h1:h1_z;h2:h2_z
0.1,1.0000000004160106,0.999999999999992,583.9234026536942,H1+H2,27717.270460932734,27715.607139385087,-1.663321547646544,217,242,583.9234026536942,bayes_h1h2_marginal_boundary,measured_graph,1.5701235519308412e-127,0.07307938775898061,0.026347768645912317,23,h1:h1_z;h2:h2_z
