epoch,train_loss,val_loss
1,0.7099403341611227,0.3085486888885498
2,0.3026640746328566,0.2528662085533142
3,0.2650970104667876,0.22396135330200195
4,0.24054318997595045,0.20286870002746582
5,0.22188914318879446,0.18514221906661987
6,0.20608908931414285,0.17017999291419983
7,0.1920471125178867,0.15545347332954407
8,0.1789151264561547,0.14289817214012146
9,0.1672939790619744,0.13134083151817322
10,0.1575351225005256,0.12086080014705658
11,0.14826290557781854,0.11225004494190216
12,0.1400929937760035,0.10379394143819809
13,0.13287013438012865,0.0969773456454277
14,0.12607797814740074,0.09011336416006088
15,0.12053575780656603,0.0853012278676033
16,0.11681063804361555,0.07764938473701477
17,0.11094242168797387,0.07305026054382324
18,0.10824073023266262,0.0687851756811142
19,0.10440711345937517,0.06689838320016861
20,0.10068908996052212,0.06323375552892685
21,0.09719720151689318,0.05913626775145531
22,0.0944467472533385,0.05696623772382736
23,0.09116506079832713,0.05461018159985542
24,0.08871674330698119,0.052284106612205505
25,0.08748905195130242,0.04846763610839844
26,0.08402674810753928,0.04876716062426567
27,0.08188570539156596,0.04617480933666229
28,0.07957522405518426,0.04980545863509178
29,0.07726726763778263,0.04571755602955818
30,0.07658246407906215,0.04163680970668793
31,0.07926031947135925,0.04111418128013611
32,0.07385171701510747,0.05474763363599777
33,0.08635539437333743,0.035122085362672806
34,0.07984160921639866,0.03188018500804901
35,0.07537231470147769,0.03219740465283394
36,0.07425939126147164,0.032927256077528
37,0.07368815110789405,0.03106803447008133
38,0.0710176130135854,0.03138996660709381
39,0.06928756377763218,0.030610404908657074
40,0.06944496267371708,0.028568610548973083
41,0.0688380677666929,0.0322628915309906
42,0.06746162039538224,0.02940758317708969
43,0.0664433083600468,0.026442062109708786
44,0.06459193945758873,0.026162270456552505
45,0.06217943338884248,0.02554476447403431
46,0.06024614307615492,0.027215266600251198
47,0.05892991109026803,0.03190094605088234
48,0.06957978341314527,0.031185220927000046
49,0.06280208751559258,0.02985209971666336
50,0.06025772624545627,0.028704967349767685
