D,chi2,delta_chi2,objective,tile_group,weight_mode
1e-06,2.594145381284654,2.0925707158446816,ordinary_least_squares,periphery,constant_average_sigma
1.333521432163324e-06,2.592755876879039,2.0911812114390664,ordinary_least_squares,periphery,constant_average_sigma
1.778279410038923e-06,2.590903614467065,2.0893289490270925,ordinary_least_squares,periphery,constant_average_sigma
2.3713737056616552e-06,2.5884347802077605,2.086860114767788,ordinary_least_squares,periphery,constant_average_sigma
3.162277660168379e-06,2.5851446687146944,2.0835700032747217,ordinary_least_squares,periphery,constant_average_sigma
4.216965034285822e-06,2.580761023361914,2.0791863579219414,ordinary_least_squares,periphery,constant_average_sigma
5.623413251903491e-06,2.574922082501203,2.0733474170612305,ordinary_least_squares,periphery,constant_average_sigma
7.498942093324558e-06,2.5671477275895236,2.065573062149551,ordinary_least_squares,periphery,constant_average_sigma
1e-05,2.556801811658979,2.055227146219006,ordinary_least_squares,periphery,constant_average_sigma
1.333521432163324e-05,2.543043320618887,2.0414686551789143,ordinary_least_squares,periphery,constant_average_sigma
1.778279410038923e-05,2.5247637625513244,2.0231890971113518,ordinary_least_squares,periphery,constant_average_sigma
2.3713737056616554e-05,2.500508156548318,1.9989334911083452,ordinary_least_squares,periphery,constant_average_sigma
3.1622776601683795e-05,2.4683777121792008,1.9668030467392281,ordinary_least_squares,periphery,constant_average_sigma
4.216965034285822e-05,2.425914458963874,1.9243397935239015,ordinary_least_squares,periphery,constant_average_sigma
5.623413251903491e-05,2.3699733186920637,1.868398653252091,ordinary_least_squares,periphery,constant_average_sigma
7.498942093324559e-05,2.2965982360419583,1.7950235706019857,ordinary_least_squares,periphery,constant_average_sigma
0.0001,2.2009414784987675,1.699366813058795,ordinary_least_squares,periphery,constant_average_sigma
0.0001333521432163324,2.077309136864507,1.5757344714245343,ordinary_least_squares,periphery,constant_average_sigma
0.00017782794100389227,1.9194996004628473,1.4179249350228749,ordinary_least_squares,periphery,constant_average_sigma
0.00023713737056616554,1.7217577073144716,1.220183041874499,ordinary_least_squares,periphery,constant_average_sigma
0.00031622776601683794,1.4809481015547792,0.9793734361148067,ordinary_least_squares,periphery,constant_average_sigma
0.00042169650342858224,1.2010279331404743,0.6994532677005018,ordinary_least_squares,periphery,constant_average_sigma
0.0005623413251903491,0.9016132272312926,0.40003856179132,ordinary_least_squares,periphery,constant_average_sigma
0.0007498942093324559,0.6332052062785668,0.13163054083859427,ordinary_least_squares,periphery,constant_average_sigma
0.001,0.5015746654399725,0.0,ordinary_least_squares,periphery,constant_average_sigma
0.001333521432163324,0.700690474371273,0.19911580893130043,ordinary_least_squares,periphery,constant_average_sigma
0.0017782794100389228,1.5452341848222557,1.0436595193822833,ordinary_least_squares,periphery,constant_average_sigma
0.0023713737056616554,3.4841045462789846,2.982529880839012,ordinary_least_squares,periphery,constant_average_sigma
0.0031622776601683794,7.0768756818771745,6.575301016437202,ordinary_least_squares,periphery,constant_average_sigma
0.004216965034285823,12.92549289484388,12.423918229403906,ordinary_least_squares,periphery,constant_average_sigma
0.005623413251903491,21.566891090238467,21.065316424798496,ordinary_least_squares,periphery,constant_average_sigma
0.007498942093324558,33.356448073370466,32.85487340793049,ordinary_least_squares,periphery,constant_average_sigma
0.01,48.363099717390064,47.86152505195009,ordinary_least_squares,periphery,constant_average_sigma
0.01333521432163324,66.2830445863686,65.78146992092863,ordinary_least_squares,periphery,constant_average_sigma
0.01778279410038923,86.49426352757203,85.99268886213206,ordinary_least_squares,periphery,constant_average_sigma
0.023713737056616554,108.36755159150665,107.86597692606668,ordinary_least_squares,periphery,constant_average_sigma
0.03162277660168379,131.5996180901955,131.09804342475553,ordinary_least_squares,periphery,constant_average_sigma
0.042169650342858224,156.25772115741324,155.75614649197328,ordinary_least_squares,periphery,constant_average_sigma
0.05623413251903491,182.64948558037486,182.1479109149349,ordinary_least_squares,periphery,constant_average_sigma
0.07498942093324558,211.22274899170998,210.72117432627002,ordinary_least_squares,periphery,constant_average_sigma
0.1,242.42061047775383,241.91903581231387,ordinary_least_squares,periphery,constant_average_sigma
