run_name,model_family,lambda_q,lambda_k,lambda_b,lambda_delta,message_passing_layers,weighting_regime,flow_rmse_nl_s,flow_mae_nl_s,flow_nrmse_median,kirchhoff_rms_per_internal_node_nl_s,kirchhoff_mae_per_internal_node_nl_s,kirchhoff_p95_abs_nl_s,kirchhoff_max_abs_nl_s,kirchhoff_rms_normalized_median,pressure_min_pa,pressure_max_pa,pressure_mean_pa,arterial_pressure_mean_pa,venous_pressure_mean_pa,arterial_pressure_spread_pa,venous_pressure_spread_pa,arterial_equality_residual_pa,venous_equality_residual_pa,boundary_residual_rms_pa,boundary_residual_max_pa,delta_mean,delta_std,delta_mean_abs,delta_rms,delta_min_observed,delta_max_observed,delta_saturation_fraction,conductance_ratio_mean,conductance_ratio_median,conductance_ratio_min,conductance_ratio_max,conductance_ratio_p05,conductance_ratio_p95,convergence_status,solver_success,runtime_seconds,graph_path,output_dir,boundary_role_constraint_count,pressure_range_pa,K,selected_step2_run_name,selection_category,selection_rank_within_regime,best_epoch,best_val_total,pressure_constraint_labels,pressure_solver_constraint_residual_l2,pressure_solver_constraint_residual_max,sign_flip_fraction
q_10__k_10__delta_0p1__K_0,gnn,10.0,10.0,100.0,0.1,0,balanced,0.3852380514109011,0.07402614780662699,10.15430165829868,0.5963440923144016,0.10076322286880726,0.27599773188462606,16.359932505927155,15.718742692543369,-1.4813334941864014,6.199437141418457,2.7746638363206464,5.4895830154418945,-0.009723554365336895,0.019761085510253906,0.01944710873067379,,,0.019604654000046934,0.019760943949222565,0.012948587247552117,0.33209241033010206,0.2980854012342889,0.33234475309618605,-0.5,0.4975832402706146,0.02702282927930355,1.0686068579931773,1.059736967086792,0.6065306663513184,1.6447415351867676,0.6143151998519898,1.581189966201782,True,True,597.3361472609977,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/04_message_passing_sensitivity_q10_k10_delta0p1/q_10__k_10__delta_0p1__K_0,2,7.680770635604858,0,q_10__k_10__delta_0p1,balanced,1,100.0,4050.9581842293687,equal-a-equal-v,0.02772516757249832,0.019760943949222565,0.2864804882559645
q_10__k_10__delta_0p1__K_1,gnn,10.0,10.0,100.0,0.1,1,balanced,0.4234686010817265,0.07800152591362274,11.162002046405117,0.5234772040183274,0.09165964932678741,0.2502685721422068,14.612771062627594,13.798079969974753,-1.546715497970581,5.263492584228516,2.3971179319260725,4.9199299812316895,-0.009450600482523441,0.018819808959960938,0.018901200965046883,,,0.01886071470862508,0.018901200965046883,0.05487574811815225,0.37554975769792825,0.35940315911757764,0.37953783505534894,-0.48485758900642395,0.464443564414978,0.0,1.1289486797779016,1.2406096458435059,0.6157848834991455,1.5911285877227783,0.6219229280948639,1.5741733074188233,True,True,589.8683760639979,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/04_message_passing_sensitivity_q10_k10_delta0p1/q_10__k_10__delta_0p1__K_1,2,6.810208082199097,1,q_10__k_10__delta_0p1,balanced,1,97.0,3122.7915373093897,equal-a-equal-v,0.026673078536987305,0.018901200965046883,0.2848159792861106
q_10__k_10__delta_0p1__K_2,gnn,10.0,10.0,100.0,0.1,2,balanced,0.4551431941202698,0.07942485759498893,11.996897175376052,0.4624358959710283,0.08078621350392531,0.23354879770572218,12.926259021495135,12.189121941920854,-2.045788288116455,6.702146530151367,3.23595460855989,6.524211406707764,-0.005991505458950996,0.014011383056640625,0.011983010917901993,,,0.013036597129408516,0.014011180959641933,-0.01572750576423517,0.4408362701677565,0.427640782381084,0.44111673232035253,-0.4926239550113678,0.48638665676116943,0.0,1.0825378810383737,0.9123300909996033,0.6110210418701172,1.6264288425445557,0.6121380686759949,1.6226974844932556,True,True,588.4563005899836,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/04_message_passing_sensitivity_q10_k10_delta0p1/q_10__k_10__delta_0p1__K_2,2,8.747934818267822,2,q_10__k_10__delta_0p1,balanced,1,79.0,2438.586069275325,equal-a-equal-v,0.018436532467603683,0.014011180959641933,0.25947845385611246
q_10__k_10__delta_0p1__K_3,gnn,10.0,10.0,100.0,0.1,3,balanced,0.4030286842783088,0.07558655556790711,10.623236261633114,0.566287083167336,0.09849226847918241,0.26734622951855513,15.609333270383274,14.92648466738789,-1.171064019203186,5.0206708908081055,2.4258321035735237,4.867136240005493,-0.010279776528477669,0.018695354461669922,0.020559553056955338,,,0.019649467953815156,0.020559553056955338,0.06323490616390628,0.41530474875290524,0.40909778832088395,0.42009128495396425,-0.48577484488487244,0.44997724890708923,0.0,1.1540566100376626,1.4332377910614014,0.615220308303833,1.5682765245437622,0.6179898738861084,1.5620016932487488,True,True,588.6144054260221,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/04_message_passing_sensitivity_q10_k10_delta0p1/q_10__k_10__delta_0p1__K_3,2,6.1917349100112915,3,q_10__k_10__delta_0p1,balanced,1,78.0,3653.385610377131,equal-a-equal-v,0.027788544073700905,0.020559553056955338,0.2848159792861106
q_10__k_10__delta_0p1__K_4,gnn,10.0,10.0,100.0,0.1,4,balanced,0.44616944401110814,0.07819316674546412,11.760362478762124,0.477150282844601,0.08246782538027013,0.2411943556121168,13.304010670900368,12.576971279451117,-1.9786015748977661,6.8209004402160645,3.2766413740037352,6.6200079917907715,-0.006897056009620428,0.01610088348388672,0.013794112019240856,,,0.014991956702133918,0.0161009319126606,-0.05807361998742105,0.44228462426809695,0.4349142959830138,0.44608097269713076,-0.4958922564983368,0.4628561735153198,0.14738312363624573,1.0397902595587705,0.7472849488258362,0.6090272665023804,1.5886048078536987,0.6092201232910156,1.5863351106643677,True,True,587.6739917020022,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets_upload/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/dc/04_message_passing_sensitivity_q10_k10_delta0p1/q_10__k_10__delta_0p1__K_4,2,8.79950201511383,4,q_10__k_10__delta_0p1,balanced,1,98.0,2595.824639366358,equal-a-equal-v,0.021201828494668007,0.0161009319126606,0.26021823562049196
