D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,dof,h1_resid_rms,h2_resid_rms,harmonics,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,profile_flat,tile_id,width_decades_dchi1,width_decades_dchi384
1e-06,0.1,0.1,1e-06,1e-06,dc_only,63.905331374743255,0.19542914793499466,0.41875117749652657,327,nan,nan,DC,0.0,364,0,0,364,37,True,4,5.0,5.0
0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,0.001,h1_free_boundary,1004.8308422955024,1.2150312482412362,0.41875117749652657,827,1.810659023883071,nan,H1,1981.5619580642042,364,287,0,938,111,False,4,0.0,0.16666666666666652
0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,h1_fixed_boundary_phase,1004.8308422955023,1.1629986600642388,0.41875117749652657,864,1.8106590238830709,nan,H1,2349.354145860639,364,287,0,938,74,False,4,0.0,0.0
0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,h1_fixed_boundary_complex,1004.8308422955024,1.115239558596562,0.41875117749652657,901,1.810659023883071,nan,H1,8305.245180948194,364,287,0,938,37,False,4,0.0,0.0
1e-06,0.0006812920690579609,0.002154434690031882,1e-06,1e-06,h1_single_global_ac_pressure,4349.444882997831,4.838092194658321,0.41875117749652657,899,3.86421965727394,nan,H1,124.81437540917796,364,287,0,938,39,False,4,2.833333333333333,3.333333333333333
0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,0.001,h1h2_free_boundary,1035.9103502905439,0.7080726932949719,0.41875117749652657,1463,1.810659023883071,0.29588496049172136,H1+H2,1988.8086658691525,364,287,355,1648,185,False,4,0.0,0.16666666666666652
0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,h1h2_fixed_boundary_phase,1035.9103502905439,0.6739820105989225,0.41875117749652657,1537,1.8106590238830709,0.29588496049172136,H1+H2,2361.0953762725712,364,287,355,1648,111,False,4,0.0,0.0
0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,0.0014677992676220691,h1h2_fixed_boundary_complex,1035.9103502905439,0.6430231845378919,0.41875117749652657,1611,1.810659023883071,0.29588496049172136,H1+H2,8394.50580489511,364,287,355,1648,37,False,4,0.0,0.0
1e-06,0.0006812920690579609,0.002154434690031882,1e-06,1e-06,h1h2_single_global_ac_pressure,4390.194393022012,2.731919348489118,0.41875117749652657,1607,3.86421965727394,0.3388028219787923,H1+H2,127.98958452173883,364,287,355,1648,41,False,4,2.833333333333333,3.333333333333333
1e-06,0.1,0.1,1e-06,1e-06,dc_only,224.30535803051106,1.41965416475007,1.1297389730125318,158,nan,nan,DC,0.0,173,0,0,173,15,True,8,5.0,5.0
0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,h1_free_boundary,16966365.371488873,40981.55886833061,1.1297389730125318,414,344.44788157251907,nan,H1,327052.14546034485,173,143,0,459,45,False,8,0.0,0.0
0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,h1_fixed_boundary_phase,16966365.37148887,39548.637229577784,1.1297389730125318,429,344.447881572519,nan,H1,1207132.2159451693,173,143,0,459,30,False,8,0.0,0.0
0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,h1_fixed_boundary_complex,16966365.371488873,38212.53462047043,1.1297389730125318,444,344.44788157251907,nan,H1,1577648.893937286,173,143,0,459,15,False,8,0.0,0.0
0.01,0.01,0.01,0.01,0.01,h1_single_global_ac_pressure,17301847.92070239,39144.45230928143,1.1297389730125318,442,347.83670728156056,nan,H1,504666.8426131606,173,143,0,459,17,False,8,0.0,0.0
0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,0.014677992676220676,h1h2_free_boundary,16966559.133805625,25247.85585387742,1.1297389730125318,672,344.44788157251907,1.1599877775705119,H1+H2,327071.32791925594,173,143,144,747,75,False,8,0.0,0.0
