harmonic_number_dir,lambda_b_dir,graph_path,b1_run_dir,b1_artifact_mode,model_name,model_label,harmonic_number,f0_hz,omega0_rad_s,omega_n_rad_s,D0,alpha,viscosity_pa_s,boundary_amplitude_scale,pressure_solver_mode,lambda_q,lambda_k,lambda_b,lstsq_backend,n_nodes,n_edges,complex_flow_rmse_nl_s,flow_amplitude_rmse_nl_s,flow_phase_rmse_deg,phase_eval_edge_count,phase_eval_amplitude_threshold_nl_s,kirchhoff_rms_per_internal_node_nl_s,common_arterial_pressure_phase_residual_deg,arterial_pressure_amplitude_difference_pa,arterial_pressure_phase_difference_deg,arterial_pressure_amplitude_min_pa,arterial_pressure_amplitude_max_pa,arterial_pressure_amplitude_mean_pa,global_pressure_amplitude_max_pa,pressure_amplitude_min_pa,pressure_amplitude_max_pa,pressure_amplitude_range_pa,pressure_phase_min_deg,pressure_phase_max_deg,pressure_phase_range_deg,harmonic_matrix_full_rank,harmonic_matrix_rank,harmonic_matrix_condition_number,harmonic_matrix_ones_residual_norm,gauge_applied,gauge_reason,direct_system_residual_norm,max_abs_kirchhoff_residual_m3_s,rms_kirchhoff_residual_m3_s,relative_direct_residual,relative_pressure_difference,matrix_rows,matrix_cols,min_singular_value,max_singular_value,net_boundary_injection_abs_nl_s,net_boundary_injection_abs_m3_s,runtime_seconds,solver_success,pressure_solver_backend,phase_iterations_used,phase_iteration_relative_change,phase_constraint_kind,arterial_antiphase_count,common_arterial_phase_deg,phase_constraint_amplitude_floor_pa,run_dir,abs_kL_mean,abs_kL_median,abs_kL_max,abs_kL_p05,abs_kL_p25,abs_kL_p75,abs_kL_p95,abs_kL_fraction_lt_0p01,abs_kL_fraction_lt_0p1,abs_kL_fraction_lt_1,rel_error_Ys_mean,rel_error_Ys_median,rel_error_Ys_max,rel_error_Yt_mean,rel_error_Yt_median,rel_error_Yt_max
2,0.1,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_1__k_1__delta_1,loaded_from_b1_run_dir,full_ideal,Full ideal admittance,2,2.7733447429741864,17.425438940799154,34.85087788159831,0.001,0.0,0.0035,1.0,constrained_least_squares,1.0,1.0,0.1,numpy,4388,6443,0.1407281873336632,0.1311666189675335,76.51100809841756,5411,4.131397240613581e-06,0.4452516958127013,10.8748325653266,0.6532868147327651,21.7496651306532,1.0009208606300166,1.6542076753627817,1.327564267996399,2.26612246891292,0.8908176498175456,2.26612246891292,1.375304819095374,-39.910925998345256,62.8089115576328,102.71983755597806,True,8776,,,False,,,,,,,19600,8776,,1346.3150999626037,0.9775439880469284,9.775439880469281e-13,280.7359557499876,True,numpy_linalg_lstsq_real_mixed,2.0,0.0010660309813624,normalized_phase_only_real_rows,0,-42.42200906006422,0.0013276619714063,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/01_boundary_parameter_calibration/H2/lambda_b_0p1,0.0865558620796308,0.0732129376370474,0.5832822312399212,0.0234919637934525,0.0433575998542487,0.1146903542685972,0.1963022356919215,0.0001552072016141,0.6746857054167313,1.0,8.227969829983705e-06,6.384660159077744e-07,0.0025478898911011,7.207721710689886e-06,5.586590975526825e-07,0.0022507454094475
2,1.0,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_1__k_1__delta_1,loaded_from_b1_run_dir,full_ideal,Full ideal admittance,2,2.7733447429741864,17.425438940799154,34.85087788159831,0.001,0.0,0.0035,1.0,constrained_least_squares,1.0,1.0,1.0,numpy,4388,6443,0.1407365518166056,0.1311700004822275,76.82169255527235,5411,4.131397240613581e-06,0.4452476035705228,6.077130532728972,0.6700552503400611,12.154261065457945,0.9736156912770898,1.6436709416171509,1.3086433164471205,2.3111287323097818,0.8857827962523093,2.3111287323097818,1.4253459360574725,-40.09982213593814,62.26191812526149,102.36174026119964,True,8776,,,False,,,,,,,19600,8776,,1346.3150999626037,0.9775439880469284,9.775439880469281e-13,746.2082689109957,True,numpy_linalg_lstsq_real_mixed,7.0,0.0014214298953617,normalized_phase_only_real_rows,0,-39.52314564247674,0.0013087615859591,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/01_boundary_parameter_calibration/H2/lambda_b_1,0.0865558620796308,0.0732129376370474,0.5832822312399212,0.0234919637934525,0.0433575998542487,0.1146903542685972,0.1963022356919215,0.0001552072016141,0.6746857054167313,1.0,8.227969829983705e-06,6.384660159077744e-07,0.0025478898911011,7.207721710689886e-06,5.586590975526825e-07,0.0022507454094475
2,10.0,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_1__k_1__delta_1,loaded_from_b1_run_dir,full_ideal,Full ideal admittance,2,2.7733447429741864,17.425438940799154,34.85087788159831,0.001,0.0,0.0035,1.0,constrained_least_squares,1.0,1.0,10.0,numpy,4388,6443,0.1407525009372492,0.1311789388837375,77.56041471618305,5411,4.131397240613581e-06,0.4452455089930333,1.1902292597720752,0.6671600200102447,2.3804585195441508,0.9639880126671376,1.6311480326773824,1.29756802267226,2.3228751810590254,0.8820097504049433,2.3228751810590254,1.440865430654082,-39.37128845006932,63.00202219413733,102.37331064420664,True,8776,,,False,,,,,,,19600,8776,,1346.315099962604,0.9775439880469284,9.775439880469281e-13,1615.572994375019,True,numpy_linalg_lstsq_real_mixed,15.0,0.0019198890475539,normalized_phase_only_real_rows,0,-39.406569398148704,0.0012975868813405,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/01_boundary_parameter_calibration/H2/lambda_b_10,0.0865558620796308,0.0732129376370474,0.5832822312399212,0.0234919637934525,0.0433575998542487,0.1146903542685972,0.1963022356919215,0.0001552072016141,0.6746857054167313,1.0,8.227969829983705e-06,6.384660159077744e-07,0.0025478898911011,7.207721710689886e-06,5.586590975526825e-07,0.0022507454094475
2,100.0,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_1__k_1__delta_1,loaded_from_b1_run_dir,full_ideal,Full ideal admittance,2,2.7733447429741864,17.425438940799154,34.85087788159831,0.001,0.0,0.0035,1.0,constrained_least_squares,1.0,1.0,100.0,numpy,4388,6443,0.1407605875135404,0.1311863391850783,77.74230821502277,5411,4.131397240613581e-06,0.4452459881892634,0.1435865311645185,0.6370022366737802,0.287173062329037,0.975796131410726,1.6127983680845062,1.2942972497476162,2.284338675883281,0.8825544596329916,2.284338675883281,1.4017842162502894,-38.02460363206611,64.78894616685926,102.81354979892537,True,8776,,,False,,,,,,,19600,8776,,1346.315099962604,0.9775439880469284,9.775439880469281e-13,319.20170475999475,True,numpy_linalg_lstsq_real_mixed,2.0,0.0004061815584237,normalized_phase_only_real_rows,0,-42.898917054193845,0.001294252212105,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/01_boundary_parameter_calibration/H2/lambda_b_100,0.0865558620796308,0.0732129376370474,0.5832822312399212,0.0234919637934525,0.0433575998542487,0.1146903542685972,0.1963022356919215,0.0001552072016141,0.6746857054167313,1.0,8.227969829983705e-06,6.384660159077744e-07,0.0025478898911011,7.207721710689886e-06,5.586590975526825e-07,0.0022507454094475
2,0.1,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_1__k_1__delta_1,loaded_from_b1_run_dir,taylor_dc_transferred,Taylor-expanded + transferred DC conductance,2,2.7733447429741864,17.425438940799154,34.85087788159831,0.001,0.0,0.0035,1.0,constrained_least_squares,1.0,1.0,0.1,numpy,4388,6443,0.247836385599024,0.2300087350790298,85.68371183220069,5411,4.131397240613581e-06,0.2648913341909952,17.685813313891398,0.8252811838986338,35.3716266277828,0.4233819299669414,1.2486631138655753,0.8360225219162584,1.867659107503183,0.067956425896189,1.867659107503183,1.799702681606994,-79.06296943998412,113.28200796676995,192.34497740675408,True,8776,,,False,,,,,,,19600,8776,,828.6360279753725,0.9775439880469284,9.775439880469281e-13,561.3220145670348,True,numpy_linalg_lstsq_real_mixed,5.0,0.0017418859154415,normalized_phase_only_real_rows,0,-43.44717221591706,0.0008367736229726,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/01_boundary_parameter_calibration/H2/lambda_b_0p1,0.0865558620796308,0.0732129376370474,0.5832822312399212,0.0234919637934525,0.0433575998542487,0.1146903542685972,0.1963022356919215,0.0001552072016141,0.6746857054167313,1.0,8.227969829983705e-06,6.384660159077744e-07,0.0025478898911011,7.207721710689886e-06,5.586590975526825e-07,0.0022507454094475
2,1.0,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_1__k_1__delta_1,loaded_from_b1_run_dir,taylor_dc_transferred,Taylor-expanded + transferred DC conductance,2,2.7733447429741864,17.425438940799154,34.85087788159831,0.001,0.0,0.0035,1.0,constrained_least_squares,1.0,1.0,1.0,numpy,4388,6443,0.2478572247051837,0.2300146704787006,86.17022854253304,5411,4.131397240613581e-06,0.2648788560103498,3.1523000152251224,0.9272562073528172,6.304600030450244,0.3255448400691875,1.2528010474220048,0.7891729437455961,1.9001514481812,0.0797165446240646,1.9001514481812,1.8204349035571352,-82.2176328882049,111.0099321120556,193.2275650002605,True,8776,,,False,,,,,,,19600,8776,,828.6360279753726,0.9775439880469284,9.775439880469281e-13,1680.6716729179898,True,numpy_linalg_lstsq_real_mixed,17.0,0.0019585511753175,normalized_phase_only_real_rows,0,-30.096952690547308,0.000789939787632,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/01_boundary_parameter_calibration/H2/lambda_b_1,0.0865558620796308,0.0732129376370474,0.5832822312399212,0.0234919637934525,0.0433575998542487,0.1146903542685972,0.1963022356919215,0.0001552072016141,0.6746857054167313,1.0,8.227969829983705e-06,6.384660159077744e-07,0.0025478898911011,7.207721710689886e-06,5.586590975526825e-07,0.0022507454094475
2,10.0,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_1__k_1__delta_1,loaded_from_b1_run_dir,taylor_dc_transferred,Taylor-expanded + transferred DC conductance,2,2.7733447429741864,17.425438940799154,34.85087788159831,0.001,0.0,0.0035,1.0,constrained_least_squares,1.0,1.0,10.0,numpy,4388,6443,0.2478619532169267,0.2300233240509097,86.71078166149482,5411,4.131397240613581e-06,0.2648965083404884,0.7051035420338477,0.7868225155163601,1.4102070840676957,0.3998735344519911,1.1866960499683512,0.7932847922101711,1.871489030113082,0.0652982397468851,1.871489030113082,1.806190790366197,-75.71402949832593,117.19334020242734,192.9073697007533,True,8776,,,False,,,,,,,19600,8776,,828.6360279753725,0.9775439880469284,9.775439880469281e-13,1963.0999592469889,False,numpy_linalg_lstsq_real_mixed,20.0,0.0026590430045696,normalized_phase_only_real_rows,0,-43.32962629642716,0.0007928411179006,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/01_boundary_parameter_calibration/H2/lambda_b_10,0.0865558620796308,0.0732129376370474,0.5832822312399212,0.0234919637934525,0.0433575998542487,0.1146903542685972,0.1963022356919215,0.0001552072016141,0.6746857054167313,1.0,8.227969829983705e-06,6.384660159077744e-07,0.0025478898911011,7.207721710689886e-06,5.586590975526825e-07,0.0022507454094475
2,100.0,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_1__k_1__delta_1,loaded_from_b1_run_dir,taylor_dc_transferred,Taylor-expanded + transferred DC conductance,2,2.7733447429741864,17.425438940799154,34.85087788159831,0.001,0.0,0.0035,1.0,constrained_least_squares,1.0,1.0,100.0,numpy,4388,6443,0.2478725168410042,0.2300340443121709,86.79725033013983,5411,4.131397240613581e-06,0.2649031515225076,0.0863842381381347,0.6790683767144107,0.1727684762762694,0.4358657832506641,1.1149341599650748,0.7753999716078694,1.8668623631536183,0.0705100391455529,1.8668623631536183,1.7963523240080654,-72.3149218090265,126.53311789841818,198.84803970744468,True,8776,,,False,,,,,,,19600,8776,,828.6360279753726,0.9775439880469284,9.775439880469281e-13,318.55397900997195,True,numpy_linalg_lstsq_real_mixed,2.0,0.0003182958758091,normalized_phase_only_real_rows,0,-51.528934408099424,0.0007751986490598,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/01_boundary_parameter_calibration/H2/lambda_b_100,0.0865558620796308,0.0732129376370474,0.5832822312399212,0.0234919637934525,0.0433575998542487,0.1146903542685972,0.1963022356919215,0.0001552072016141,0.6746857054167313,1.0,8.227969829983705e-06,6.384660159077744e-07,0.0025478898911011,7.207721710689886e-06,5.586590975526825e-07,0.0022507454094475
2,0.1,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_1__k_1__delta_1,loaded_from_b1_run_dir,taylor_ideal,Taylor-expanded ideal admittance,2,2.7733447429741864,17.425438940799154,34.85087788159831,0.001,0.0,0.0035,1.0,constrained_least_squares,1.0,1.0,0.1,numpy,4388,6443,0.1407278774552201,0.1311662884229038,76.51396637209918,5411,4.131397240613581e-06,0.4452512379606892,10.88979233018678,0.6503746112049205,21.77958466037356,1.0011039233334236,1.651478534538344,1.326291228935884,2.265249627253859,0.8913988161966265,2.265249627253859,1.3738508110572325,-39.876490171171874,62.8364998064643,102.71298997763618,True,8776,,,False,,,,,,,19600,8776,,1346.314876145775,0.9775439880469284,9.775439880469281e-13,280.66799870098475,True,numpy_linalg_lstsq_real_mixed,2.0,0.0010640737908815,normalized_phase_only_real_rows,0,-42.47768079362429,0.0013263890850625,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/01_boundary_parameter_calibration/H2/lambda_b_0p1,0.0865558620796308,0.0732129376370474,0.5832822312399212,0.0234919637934525,0.0433575998542487,0.1146903542685972,0.1963022356919215,0.0001552072016141,0.6746857054167313,1.0,8.227969829983705e-06,6.384660159077744e-07,0.0025478898911011,7.207721710689886e-06,5.586590975526825e-07,0.0022507454094475
2,1.0,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/datasets/harmonized_scaled_dataset.gpickle,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/dc/02_physics_weight_sweep/gnn/q_1__k_1__delta_1,loaded_from_b1_run_dir,taylor_ideal,Taylor-expanded ideal admittance,2,2.7733447429741864,17.425438940799154,34.85087788159831,0.001,0.0,0.0035,1.0,constrained_least_squares,1.0,1.0,1.0,numpy,4388,6443,0.1407362577705106,0.1311696643564753,76.8245817949186,5411,4.131397240613581e-06,0.4452471409776751,6.087438256810891,0.6671584197207232,12.174876513621784,0.973752249853834,1.6409106695745572,1.3073314597141956,2.3103088937655523,0.8863209891157308,2.3103088937655523,1.4239879046498216,-40.06453017230873,62.290082195740574,102.3546123680493,True,8776,,,False,,,,,,,19600,8776,,1346.314876145775,0.9775439880469284,9.775439880469281e-13,746.1281715220248,True,numpy_linalg_lstsq_real_mixed,7.0,0.0014194587585232,normalized_phase_only_real_rows,0,-39.58097278881698,0.0013074496933658,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/01_boundary_parameter_calibration/H2/lambda_b_1,0.0865558620796308,0.0732129376370474,0.5832822312399212,0.0234919637934525,0.0433575998542487,0.1146903542685972,0.1963022356919215,0.0001552072016141,0.6746857054167313,1.0,8.227969829983705e-06,6.384660159077744e-07,0.0025478898911011,7.207721710689886e-06,5.586590975526825e-07,0.0022507454094475
