model_family,model_key,representative_label,constraint_left,constraint_right,pressure_pearson_aligned,pressure_spearman_aligned,pressure_rmse_aligned_pa,pressure_mae_aligned_pa
gnn,q_0p1__k_0p1__delta_10,C1,equal_av,equal_drop,0.9299551438594083,0.9178384640235295,1.1638451586848242,0.8405435276639747
gnn,q_0p1__k_0p1__delta_10,C1,equal_av,fixed_drop_10pa,0.9194177352195737,0.933627231329222,1.2399552042617974,0.9307962260676411
gnn,q_0p1__k_0p1__delta_10,C1,equal_av,gauge_only,0.8947919483459478,0.8594180761659681,1.2785696080486055,0.9648290232467084
gnn,q_0p1__k_0p1__delta_10,C1,equal_drop,fixed_drop_10pa,0.8869728413162721,0.8737856382796518,1.3882772864376791,1.2101558815450772
gnn,q_0p1__k_0p1__delta_10,C1,equal_drop,gauge_only,0.9897506412670555,0.9782458848481252,0.5181250152399939,0.44137496908762697
gnn,q_0p1__k_0p1__delta_10,C1,fixed_drop_10pa,gauge_only,0.8129540936857882,0.781728260647205,1.804274324256298,1.6093755086766566
gnn,q_100__k_0p1__delta_10,F1,equal_av,equal_drop,0.893749094742469,0.9275833678658036,2.1967571809063346,1.912491082178739
gnn,q_100__k_0p1__delta_10,F1,equal_av,fixed_drop_10pa,0.8997527734826755,0.889547268954984,1.6333369825697155,1.2221365907826767
gnn,q_100__k_0p1__delta_10,F1,equal_av,gauge_only,0.8929624425399456,0.891450014760078,2.098664280841298,1.6298242169091053
gnn,q_100__k_0p1__delta_10,F1,equal_drop,fixed_drop_10pa,0.825606604270907,0.8027689831186886,1.9587338769080893,1.6417509446301333
gnn,q_100__k_0p1__delta_10,F1,equal_drop,gauge_only,0.9880681390729354,0.96996866638708,0.5599256742463852,0.48626477315410166
gnn,q_100__k_0p1__delta_10,F1,fixed_drop_10pa,gauge_only,0.8784545086550127,0.8321710542908088,1.7222270966711768,1.3015218822117611
gnn,q_10__k_100__delta_10,K1,equal_av,equal_drop,0.9375679724340799,0.9307980424267605,1.233394029495896,0.9213585657522567
gnn,q_10__k_100__delta_10,K1,equal_av,fixed_drop_10pa,0.894644145696588,0.9157900675576498,1.4405508719914906,1.0538562514522638
gnn,q_10__k_100__delta_10,K1,equal_av,gauge_only,0.9149225773618258,0.8867580120816234,1.142234347726025,0.8205327068631537
gnn,q_10__k_100__delta_10,K1,equal_drop,fixed_drop_10pa,0.881871681913731,0.8781327524483932,1.429602484256809,1.2754057302967543
