D,chi2,delta_chi2,objective,observation_source,tile_id,weight_mode
1e-06,6723.19792125596,246.15681884657533,weighted_least_squares,measured_graph,1,sigma
1.333521432163324e-06,6723.142324239845,246.10122183046042,weighted_least_squares,measured_graph,1,sigma
1.778279410038923e-06,6723.06819100367,246.0270885942855,weighted_least_squares,measured_graph,1,sigma
2.3713737056616552e-06,6722.96934371264,245.92824130325516,weighted_least_squares,measured_graph,1,sigma
3.162277660168379e-06,6722.837548557556,245.79644614817153,weighted_least_squares,measured_graph,1,sigma
4.216965034285822e-06,6722.661832036917,245.62072962753246,weighted_least_squares,measured_graph,1,sigma
5.623413251903491e-06,6722.427572919829,245.38647051044427,weighted_least_squares,measured_graph,1,sigma
7.498942093324558e-06,6722.115294977899,245.07419256851426,weighted_least_squares,measured_graph,1,sigma
1e-05,6721.699064430582,244.65796202119782,weighted_least_squares,measured_graph,1,sigma
1.333521432163324e-05,6721.144366536856,244.10326412747145,weighted_least_squares,measured_graph,1,sigma
1.778279410038923e-05,6720.405297485216,243.36419507583105,weighted_least_squares,measured_graph,1,sigma
2.3713737056616554e-05,6719.420862965713,242.37976055632862,weighted_least_squares,measured_graph,1,sigma
3.1622776601683795e-05,6718.110119926816,241.06901751743135,weighted_least_squares,measured_graph,1,sigma
4.216965034285822e-05,6716.365839711285,239.3247373019003,weighted_least_squares,measured_graph,1,sigma
5.623413251903491e-05,6714.04631690866,237.0052144992751,weighted_least_squares,measured_graph,1,sigma
7.498942093324559e-05,6710.964925146073,233.92382273668863,weighted_least_squares,measured_graph,1,sigma
0.0001,6706.877081853188,229.8359794438038,weighted_least_squares,measured_graph,1,sigma
0.0001333521432163324,6701.464547645921,224.42344523653628,weighted_least_squares,measured_graph,1,sigma
0.00017782794100389227,6694.317698396857,217.27659598747232,weighted_least_squares,measured_graph,1,sigma
0.00023713737056616554,6684.918082978546,207.8769805691618,weighted_least_squares,measured_graph,1,sigma
0.00031622776601683794,6672.627264031506,195.58616162212093,weighted_least_squares,measured_graph,1,sigma
0.00042169650342858224,6656.695713375281,179.6546109658966,weighted_least_squares,measured_graph,1,sigma
0.0005623413251903491,6636.321291472578,159.28018906319357,weighted_least_squares,measured_graph,1,sigma
0.0007498942093324559,6610.816971501576,133.775869092191,weighted_least_squares,measured_graph,1,sigma
0.001,6579.999108050089,102.95800564070396,weighted_least_squares,measured_graph,1,sigma
0.001333521432163324,6544.975830048437,67.93472763905265,weighted_least_squares,measured_graph,1,sigma
0.0017782794100389228,6509.536948956313,32.49584654692808,weighted_least_squares,measured_graph,1,sigma
0.0023713737056616554,6482.0893932327,5.048290823315256,weighted_least_squares,measured_graph,1,sigma
0.0031622776601683794,6477.041102409385,0.0,weighted_least_squares,measured_graph,1,sigma
0.004216965034285823,6512.510212875614,35.46911046622972,weighted_least_squares,measured_graph,1,sigma
0.005623413251903491,6600.88185141613,123.84074900674568,weighted_least_squares,measured_graph,1,sigma
0.007498942093324558,6736.009893300361,258.9687908909764,weighted_least_squares,measured_graph,1,sigma
0.01,6891.027696763603,413.98659435421814,weighted_least_squares,measured_graph,1,sigma
0.01333521432163324,7033.216930456239,556.1758280468548,weighted_least_squares,measured_graph,1,sigma
0.01778279410038923,7141.998027892217,664.956925482832,weighted_least_squares,measured_graph,1,sigma
0.023713737056616554,7214.141147509536,737.100045100151,weighted_least_squares,measured_graph,1,sigma
0.03162277660168379,7256.737842515868,779.696740106483,weighted_least_squares,measured_graph,1,sigma
0.042169650342858224,7279.055944365246,802.0148419558618,weighted_least_squares,measured_graph,1,sigma
