model_family,model_key,representative_label,constraint_left,constraint_right,pressure_pearson_aligned,pressure_spearman_aligned,pressure_rmse_aligned_pa,pressure_mae_aligned_pa
gnn,q_0p1__k_0p1__delta_0p1,B1,equal_av,equal_drop,0.917677414747194,0.9029366741862485,1.1396073305264043,0.9241088501080007
gnn,q_0p1__k_0p1__delta_0p1,B1,equal_av,fixed_drop_10pa,0.9269083052921533,0.9414756581135121,1.136738974155788,0.8626548195064908
gnn,q_0p1__k_0p1__delta_0p1,B1,equal_av,gauge_only,0.9041139074123912,0.8928332917724583,1.320547520991217,0.9784175490912714
gnn,q_0p1__k_0p1__delta_0p1,B1,equal_drop,fixed_drop_10pa,0.8841256508549594,0.8656843102508887,1.4393054824816898,1.25764591263626
gnn,q_0p1__k_0p1__delta_0p1,B1,equal_drop,gauge_only,0.9926876202174589,0.9878384318082255,0.4760379960792392,0.3928806519096224
gnn,q_0p1__k_0p1__delta_0p1,B1,fixed_drop_10pa,gauge_only,0.8308571646682856,0.8215955409439168,1.7401907445855898,1.547662518955324
gnn,q_0p1__k_100__delta_10,K3,equal_av,equal_drop,0.9330960604480538,0.9229372325848496,0.9344383155681175,0.7132988603396608
gnn,q_0p1__k_100__delta_10,K3,equal_av,fixed_drop_10pa,0.9093243756627046,0.9270071132319272,1.3416967702271794,1.009016750612584
gnn,q_0p1__k_100__delta_10,K3,equal_av,gauge_only,0.8936787865789717,0.8569267513542349,1.3209470703086952,1.0001330895765608
gnn,q_0p1__k_100__delta_10,K3,equal_drop,fixed_drop_10pa,0.8856729370450414,0.8733823167340355,1.4439826363583956,1.294391299629534
gnn,q_0p1__k_100__delta_10,K3,equal_drop,gauge_only,0.9855996351968188,0.9718374909789316,0.5705948011898342,0.4689145428565957
gnn,q_0p1__k_100__delta_10,K3,fixed_drop_10pa,gauge_only,0.7982576477151411,0.7669091416874765,1.9268844147014537,1.729986818344635
gnn,q_0p1__k_10__delta_1,K1,equal_av,equal_drop,0.9298509614660553,0.9184436705213773,1.062333801001146,0.812161961017123
gnn,q_0p1__k_10__delta_1,K1,equal_av,fixed_drop_10pa,0.9213130410096355,0.9351791172891653,1.1846994410179077,0.9128870529885491
gnn,q_0p1__k_10__delta_1,K1,equal_av,gauge_only,0.891891952357907,0.8607595776767917,1.324355320667912,1.0389789891226033
gnn,q_0p1__k_10__delta_1,K1,equal_drop,fixed_drop_10pa,0.8894365528088444,0.8780695022138522,1.382880542304194,1.2233583761325522
gnn,q_0p1__k_10__delta_1,K1,equal_drop,gauge_only,0.9881128806741474,0.9767894349457911,0.48339243301397966,0.4237720867274908
gnn,q_0p1__k_10__delta_1,K1,fixed_drop_10pa,gauge_only,0.8092050787991222,0.7834291600477891,1.8506375739105894,1.6453946291603208
gnn,q_0p1__k_10__delta_100,C3,equal_av,equal_drop,0.9080695573714159,0.8992543050113871,1.3337607234779068,1.017207269684546
gnn,q_0p1__k_10__delta_100,C3,equal_av,fixed_drop_10pa,0.9074356980544384,0.9258762256463341,1.3115388156814352,0.9914240767342736
gnn,q_0p1__k_10__delta_100,C3,equal_av,gauge_only,0.8926756349570903,0.8613740206526247,1.353308583630159,1.019295864426776
gnn,q_0p1__k_10__delta_100,C3,equal_drop,fixed_drop_10pa,0.8570159000337316,0.8417689015491142,1.639464072517768,1.4583765218222944
gnn,q_0p1__k_10__delta_100,C3,equal_drop,gauge_only,0.9918398421324905,0.9875418541883617,0.41829617444449607,0.2789806079044318
gnn,q_0p1__k_10__delta_100,C3,fixed_drop_10pa,gauge_only,0.7987391501855635,0.7727770476116955,1.9188428516658218,1.7125816034239343
