ablation,D,chi2,delta_chi2
measured_free_boundary,1e-06,18490.750386943822,49.743728231125715
measured_free_boundary,1.3058823191183775e-06,18490.745639284665,49.73898057196857
measured_free_boundary,1.7053286313859887e-06,18490.739439239464,49.732780526766874
measured_free_boundary,2.2269585080133038e-06,18490.7313424928,49.72468378010308
measured_free_boundary,2.908145741024809e-06,18490.720768710882,49.71410999818545
measured_free_boundary,3.7976961046237105e-06,18490.706959929907,49.700301217209926
measured_free_boundary,4.959344196412829e-06,18490.688926177274,49.68226746457731
measured_free_boundary,6.476319900517853e-06,18490.665374277272,49.65871556457569
measured_free_boundary,8.457311651040738e-06,18490.63461499518,49.627956282482046
measured_free_boundary,1.1044253752367952e-05,18490.594441402,49.58778268930473
measured_free_boundary,1.4422495703074076e-05,18490.54196989557,49.535311182873556
measured_free_boundary,1.883408213620521e-05,18490.47343204085,49.46677332815307
measured_free_boundary,2.4595094858493616e-05,18490.383901983205,49.37724327050819
measured_free_boundary,3.211829951274613e-05,18490.26693909049,49.26028037779179
measured_free_boundary,4.194271945384357e-05,18490.11411894196,49.10746022926469
measured_free_boundary,5.477225575051662e-05,18489.914416903262,48.9077581905658
measured_free_boundary,7.15261203628294e-05,18489.65339644025,48.646737727554864
measured_free_boundary,9.340469593695185e-05,18489.312137764144,48.30547905144704
measured_free_boundary,0.00012197554094669347,18488.8658196038,47.85916089110469
measured_free_boundary,0.00015928570228718652,18488.281834959278,47.275176246581395
measured_free_boundary,0.00020800838230519039,18487.517276840634,46.51061812793705
measured_free_boundary,0.00027163446868076383,18486.51556649925,45.5089077865523
measured_free_boundary,0.0003547226499133238,18485.201907343187,44.19524863049082
measured_free_boundary,0.0004632260367126272,18483.47712458772,42.470465875023365
measured_free_boundary,0.0006049186910983003,18481.209291123192,40.202632410495426
measured_free_boundary,0.0007899526232095012,18478.22236460821,37.215705895512656
measured_free_boundary,0.0010315851635904682,18474.280962173234,33.27430346053734
measured_free_boundary,0.00134712882579763,18469.07064928727,28.063990574573836
measured_free_boundary,0.0017591917151838243,18462.174325551146,21.167666838449804
measured_free_boundary,0.0022972973567980865,18453.04833551596,12.041676803262817
measured_free_boundary,0.003000000000000001,18441.006658712697,0.0
measured_fixed_mosaic_pressure,1e-06,22855.679119580363,2.814211361041089
measured_fixed_mosaic_pressure,1.3058823191183775e-06,22855.678363289906,2.8134550705835863
measured_fixed_mosaic_pressure,1.7053286313859887e-06,22855.67737580939,2.812467590068991
measured_fixed_mosaic_pressure,2.2269585080133038e-06,22855.676086524723,2.811178305400972
measured_fixed_mosaic_pressure,2.908145741024809e-06,22855.674403294805,2.8094950754821184
measured_fixed_mosaic_pressure,3.7976961046237105e-06,22855.67220591793,2.8072976986077265
measured_fixed_mosaic_pressure,4.959344196412829e-06,22855.669337636005,2.8044294166829786
measured_fixed_mosaic_pressure,6.476319900517853e-06,22855.665594101538,2.8006858822154754
measured_fixed_mosaic_pressure,8.457311651040738e-06,22855.660709075175,2.795800855852576
measured_fixed_mosaic_pressure,1.1044253752367952e-05,22855.654335927986,2.7894277086634247
measured_fixed_mosaic_pressure,1.4422495703074076e-05,22855.646023792335,2.7811155730123573
measured_fixed_mosaic_pressure,1.883408213620521e-05,22855.635186941417,2.7702787220950995
measured_fixed_mosaic_pressure,2.4595094858493616e-05,22855.621065697767,2.7561574784449476
measured_fixed_mosaic_pressure,3.211829951274613e-05,22855.60267691417,2.7377686948493647
measured_fixed_mosaic_pressure,4.194271945384357e-05,22855.57875192571,2.7138437063877063
measured_fixed_mosaic_pressure,5.477225575051662e-05,22855.54766000482,2.6827517854981124
measured_fixed_mosaic_pressure,7.15261203628294e-05,22855.507316087544,2.6424078682211984
measured_fixed_mosaic_pressure,9.340469593695185e-05,22855.45507346638,2.590165247056575
measured_fixed_mosaic_pressure,0.00012197554094669347,22855.38760634115,2.5226981218293076
measured_fixed_mosaic_pressure,0.00015928570228718652,22855.300795510957,2.4358872916345717
measured_fixed_mosaic_pressure,0.00020800838230519039,22855.18964651683,2.3247382975059736
measured_fixed_mosaic_pressure,0.00027163446868076383,22855.048299270533,2.183391051210492
measured_fixed_mosaic_pressure,0.0003547226499133238,22854.87024220436,2.0053339850383054
measured_fixed_mosaic_pressure,0.0004632260367126272,22854.648940253825,1.784032034502161
measured_fixed_mosaic_pressure,0.0006049186910983003,22854.379253839506,1.5143456201840308
measured_fixed_mosaic_pressure,0.0007899526232095012,22854.060308647542,1.1954004282197275
measured_fixed_mosaic_pressure,0.0010315851635904682,22853.700922182506,0.8360139631840866
measured_fixed_mosaic_pressure,0.00134712882579763,22853.329305140873,0.4643969215503603
measured_fixed_mosaic_pressure,0.0017591917151838243,22853.009301265804,0.14439304648112739
measured_fixed_mosaic_pressure,0.0022972973567980865,22852.864908219322,0.0
measured_fixed_mosaic_pressure,0.003000000000000001,22853.110342739692,0.24543452036959934
