parent_step2_run_name,representative_label,constraint_left,constraint_right,delta_pearson,delta_spearman,delta_rmse,delta_mae,conductance_ratio_pearson,hotspot_jaccard_top5,hotspot_jaccard_top10
q_10__k_10__delta_0p1,B1,equal_av,equal_drop,0.9829511793801925,0.972765804056456,0.09474227612739149,0.05389656071537503,0.9848312595457602,0.0,0.0
q_10__k_10__delta_0p1,B1,equal_av,fixed_drop_10pa,0.9879425991627392,0.9803253697232132,0.06993224370846086,0.03813521132143974,0.9892984700672762,0.2529182879377432,0.5170789163722026
q_10__k_10__delta_0p1,B1,equal_av,gauge_only,0.9821852333171255,0.9741932272832834,0.1017468663928102,0.05952025526280913,0.9844241850643551,0.0,0.0
q_10__k_10__delta_0p1,B1,equal_drop,fixed_drop_10pa,0.9806921769221979,0.9821417259723378,0.08973029144339131,0.04406712955039333,0.982447152999595,0.0,0.0
q_10__k_10__delta_0p1,B1,equal_drop,gauge_only,0.9816121133618585,0.9463744599303807,0.07928267249080063,0.04211009749703718,0.9813762693791928,0.05228758169934641,0.20825515947467166
q_10__k_10__delta_0p1,B1,fixed_drop_10pa,gauge_only,0.9873107702587794,0.9557173222553657,0.08051801524432725,0.05410712880997642,0.9869516458415175,0.0,0.0
