model_name,model_label,representative_label,selection_display_label,selection_category,harmonic_number,alpha,representative_D0,lambda_q,lambda_k,lambda_b,complex_flow_rmse_nl_s,kirchhoff_rms_per_internal_node_nl_s,arterial_pressure_phase_difference_deg,folded_arterial_phase_difference_deg,selection_score,selection_score_formula,pareto_selection_strategy,profile_run_dir
full_ideal,Full ideal admittance,F1,Flow-Prioritized,flow_prioritized,2,0.0,0.1,1.0,0.1,100.0,0.0331532496607932,0.7178887813131903,0.0012325990939221,0.0012325990939221,0.2043371325738925,0.75*complex_flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,min_kirchhoff_rms,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H2/F1/alpha_0/D0_0p1
full_ideal,Full ideal admittance,F1,Flow-Prioritized,flow_prioritized,2,1.0,0.1,1.0,0.1,100.0,0.0339966471710258,0.7067199074556955,0.0001050417729425,0.0001050417729425,0.2021774622421932,0.75*complex_flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,min_kirchhoff_rms,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H2/F1/alpha_1/D0_0p1
full_ideal,Full ideal admittance,F1,Flow-Prioritized,flow_prioritized,2,2.0,0.1,1.0,0.1,100.0,0.0352022644035819,0.6911480853285308,0.0001001122558846,0.0001001122558846,0.19918871963481913,0.75*complex_flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,min_kirchhoff_rms,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H2/F1/alpha_2/D0_0p1
full_ideal,Full ideal admittance,B1,Balanced,balanced,2,0.0,0.1,0.1,0.1,100.0,0.1542997801222041,0.4793676341238317,0.0002773999555061,0.0002773999555061,0.3168337071230179,0.5*complex_flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,min_distance_to_origin,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H2/B1/alpha_0/D0_0p1
full_ideal,Full ideal admittance,B1,Balanced,balanced,2,1.0,0.1,0.1,0.1,100.0,0.1525189092519276,0.4718964306835846,0.0001819793477464,0.0001819793477464,0.3122076699677561,0.5*complex_flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,min_distance_to_origin,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H2/B1/alpha_1/D0_0p1
full_ideal,Full ideal admittance,B1,Balanced,balanced,2,2.0,0.1,0.1,0.1,100.0,0.1489219304429158,0.4628366366100929,0.000187067867237,0.000187067867237,0.30587928352650434,0.5*complex_flow_rmse_nl_s + 0.5*kirchhoff_rms_per_internal_node_nl_s,min_distance_to_origin,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H2/B1/alpha_2/D0_0p1
full_ideal,Full ideal admittance,K1,Kirchhoff-Prioritized,conservation_prioritized,2,0.0,0.000794328234724,0.1,100.0,100.0,0.4857554071346642,0.004707157943449,0.0763645106026998,0.0763645106026998,0.1249692202412528,0.25*complex_flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,min_flow_rmse,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H2/K1/alpha_0/D0_0p000794328234724
full_ideal,Full ideal admittance,K1,Kirchhoff-Prioritized,conservation_prioritized,2,1.0,0.00063095734448,0.1,100.0,100.0,0.484744511586343,0.0049743079175146,0.0633689342231159,0.0633689342231159,0.1249168588347217,0.25*complex_flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,min_flow_rmse,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H2/K1/alpha_1/D0_0p00063095734448
full_ideal,Full ideal admittance,K1,Kirchhoff-Prioritized,conservation_prioritized,2,2.0,0.000316227766017,0.1,100.0,100.0,0.4834677607109033,0.0052541207634721,0.0586201761985747,0.0586201761985747,0.1248075307503299,0.25*complex_flow_rmse_nl_s + 0.75*kirchhoff_rms_per_internal_node_nl_s,min_flow_rmse,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H2/K1/alpha_2/D0_0p000316227766017
taylor_dc_transferred,Taylor-expanded + transferred DC conductance,F1,Flow-Prioritized,flow_prioritized,2,0.0,0.1,1.0,0.1,100.0,0.033131558762281,0.7170141073180846,0.0103338355924945,0.0103338355924945,0.2041021959012319,0.75*complex_flow_rmse_nl_s + 0.25*kirchhoff_rms_per_internal_node_nl_s,min_kirchhoff_rms,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/03_distensibility_alpha_profiles/H2/F1/alpha_0/D0_0p1
