run_name,source_summary_path,model_name,model_label,harmonic_number,D0,alpha,complex_flow_rmse_nl_s,kirchhoff_rms_per_internal_node_nl_s,arterial_pressure_phase_difference_deg
D0_1em6,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1em6/summary.csv,taylor_ideal,Taylor-expanded ideal admittance,1,1e-06,0.0,0.4402723049033968,3.585358715897692e-13,2.079815512245358
D0_1em6,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1em6/summary.csv,taylor_dc_transferred,Taylor-expanded + transferred DC conductance,1,1e-06,0.0,0.4393824627754369,2.545505199057012e-13,2.31582472697031
D0_1p25892541179em2,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p25892541179em2/summary.csv,full_ideal,Full ideal admittance,1,0.0125892541179,0.0,0.4364332699695686,1.3144603256662102e-16,4.436796341987647
D0_1p25892541179em2,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p25892541179em2/summary.csv,taylor_ideal,Taylor-expanded ideal admittance,1,0.0125892541179,0.0,0.4364501285537968,1.949182804483595e-16,3.780324486928651
D0_1p25892541179em2,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p25892541179em2/summary.csv,taylor_dc_transferred,Taylor-expanded + transferred DC conductance,1,0.0125892541179,0.0,0.4363337235536078,1.344067772129454e-16,5.2725119045663495
D0_1p25892541179em3,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p25892541179em3/summary.csv,full_ideal,Full ideal admittance,1,0.00125892541179,0.0,0.4367580110565185,9.150697264459532e-16,1.564420717386908
D0_1p25892541179em3,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p25892541179em3/summary.csv,taylor_ideal,Taylor-expanded ideal admittance,1,0.00125892541179,0.0,0.4367583115433874,1.0207945551333778e-15,1.567199622876035
D0_1p25892541179em3,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p25892541179em3/summary.csv,taylor_dc_transferred,Taylor-expanded + transferred DC conductance,1,0.00125892541179,0.0,0.4366188466047118,5.904833117051298e-16,1.7087750868099694
D0_1p25892541179em4,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p25892541179em4/summary.csv,full_ideal,Full ideal admittance,1,0.000125892541179,0.0,0.4374093114185662,4.1957304071065126e-15,36.07264446747433
D0_1p25892541179em4,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p25892541179em4/summary.csv,taylor_ideal,Taylor-expanded ideal admittance,1,0.000125892541179,0.0,0.4374093092603255,3.6506591424276975e-15,36.07626415547863
D0_1p25892541179em4,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p25892541179em4/summary.csv,taylor_dc_transferred,Taylor-expanded + transferred DC conductance,1,0.000125892541179,0.0,0.4371110555721479,2.477196981227238e-15,36.925077687661386
D0_1p25892541179em5,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p25892541179em5/summary.csv,full_ideal,Full ideal admittance,1,1.25892541179e-05,0.0,0.4401190296197221,4.0861279706766983e-14,29.9305717199776
D0_1p25892541179em5,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p25892541179em5/summary.csv,taylor_ideal,Taylor-expanded ideal admittance,1,1.25892541179e-05,0.0,0.4401190338314348,3.7110751076390346e-14,29.93063027317741
D0_1p25892541179em5,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p25892541179em5/summary.csv,taylor_dc_transferred,Taylor-expanded + transferred DC conductance,1,1.25892541179e-05,0.0,0.4392701335110183,2.359507441180396e-14,32.9606751618547
D0_1p25892541179em6,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p25892541179em6/summary.csv,full_ideal,Full ideal admittance,1,1.25892541179e-06,0.0,0.4402712551521948,3.648106299169784e-13,2.635505634041853
D0_1p25892541179em6,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p25892541179em6/summary.csv,taylor_ideal,Taylor-expanded ideal admittance,1,1.25892541179e-06,0.0,0.4402712550609246,2.971753088263137e-13,2.635505064628413
D0_1p25892541179em6,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p25892541179em6/summary.csv,taylor_dc_transferred,Taylor-expanded + transferred DC conductance,1,1.25892541179e-06,0.0,0.4393824123722205,2.0519675712537875e-13,2.9363245359806265
D0_1p58489319246em2,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p58489319246em2/summary.csv,full_ideal,Full ideal admittance,1,0.0158489319246,0.0,0.4364117194578599,1.2240411516143644e-16,2.5160394097034136
D0_1p58489319246em2,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p58489319246em2/summary.csv,taylor_ideal,Taylor-expanded ideal admittance,1,0.0158489319246,0.0,0.4364383828244503,1.0737724092847607e-16,1.216590239768662
D0_1p58489319246em2,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p58489319246em2/summary.csv,taylor_dc_transferred,Taylor-expanded + transferred DC conductance,1,0.0158489319246,0.0,0.4363082634889708,1.2006120382653536e-16,2.5967177934900865
D0_1p58489319246em3,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p58489319246em3/summary.csv,full_ideal,Full ideal admittance,1,0.00158489319246,0.0,0.4367148267555649,7.119446674081535e-16,0.0245001342448835
D0_1p58489319246em3,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p58489319246em3/summary.csv,taylor_ideal,Taylor-expanded ideal admittance,1,0.00158489319246,0.0,0.4367152123297913,8.030155767879955e-16,0.0206796380180087
D0_1p58489319246em3,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p58489319246em3/summary.csv,taylor_dc_transferred,Taylor-expanded + transferred DC conductance,1,0.00158489319246,0.0,0.4365829812798909,4.146935753800102e-16,0.090997486293725
D0_1p58489319246em4,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p58489319246em4/summary.csv,full_ideal,Full ideal admittance,1,0.000158489319246,0.0,0.4371893969806645,3.303627472434125e-15,34.311955162018066
D0_1p58489319246em4,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p58489319246em4/summary.csv,taylor_ideal,Taylor-expanded ideal admittance,1,0.000158489319246,0.0,0.4371893871448686,3.869392503595439e-15,34.315462724594376
D0_1p58489319246em4,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p58489319246em4/summary.csv,taylor_dc_transferred,Taylor-expanded + transferred DC conductance,1,0.000158489319246,0.0,0.4369598179389503,2.0204917217801687e-15,33.83531480006502
D0_1p58489319246em5,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p58489319246em5/summary.csv,full_ideal,Full ideal admittance,1,1.58489319246e-05,0.0,0.4400410549095995,3.2119563486747225e-14,36.92197262003054
D0_1p58489319246em5,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p58489319246em5/summary.csv,taylor_ideal,Taylor-expanded ideal admittance,1,1.58489319246e-05,0.0,0.4400410616533728,2.9067817770247686e-14,36.92210666569879
D0_1p58489319246em5,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p58489319246em5/summary.csv,taylor_dc_transferred,Taylor-expanded + transferred DC conductance,1,1.58489319246e-05,0.0,0.4392029351173276,1.7510062364066288e-14,40.12938886987063
D0_1p58489319246em6,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p58489319246em6/summary.csv,full_ideal,Full ideal admittance,1,1.58489319246e-06,0.0,0.4402697714233474,2.3798720946598293e-13,3.344645776368618
D0_1p58489319246em6,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p58489319246em6/summary.csv,taylor_ideal,Taylor-expanded ideal admittance,1,1.58489319246e-06,0.0,0.4402697713288703,2.595619412187862e-13,3.344644916925461
D0_1p58489319246em6,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p58489319246em6/summary.csv,taylor_dc_transferred,Taylor-expanded + transferred DC conductance,1,1.58489319246e-06,0.0,0.4393821811860359,1.370331069153503e-13,3.729015849109409
D0_1p99526231497em2,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs/ac/00_ideal_models/distensibility_sweep/_raw_runs/H1/alpha_0/D0_1p99526231497em2/summary.csv,full_ideal,Full ideal admittance,1,0.0199526231497,0.0,0.4363809047980022,9.427919180169203e-17,0.3452000849367697
