D,delta_chi2,log_likelihood,log_posterior,log_prior,neg2_delta_logpost,objective,observation_source,posterior_prob,tile_group,weight_mode
1e-05,607.3073341604322,621640.914158808,621638.546472224,-2.3676865838692702,607.3073341604322,bayes_h1_marginal_boundary,measured_graph,6.5134845493077836e-133,all,h1_z
1.2589254117941661e-05,593.9842508409638,621647.3630913418,621645.2080138838,-2.155077457963703,593.9842508409638,bayes_h1_marginal_boundary,measured_graph,5.091950475992081e-130,all,h1_z
1.584893192461114e-05,575.2761137459893,621656.5145507633,621654.5620824313,-1.952468332058134,575.2761137459893,bayes_h1_marginal_boundary,measured_graph,5.879014408816458e-126,all,h1_z
1.9952623149688786e-05,550.0235829877201,621668.9482070166,621667.1883478104,-1.7598592061525666,550.0235829877201,bayes_h1_marginal_boundary,measured_graph,1.7898717182156135e-120,all,h1_z
2.5118864315095822e-05,517.3737520619761,621685.0905133536,621683.5132632733,-1.5772500802469966,517.3737520619761,bayes_h1_marginal_boundary,measured_graph,2.2011143688078607e-113,all,h1_z
3.1622776601683795e-05,476.67904282105155,621705.2652588481,621703.8606178937,-1.404640954341429,476.67904282105155,bayes_h1_marginal_boundary,measured_graph,1.5114244445358354e-104,all,h1_z
3.9810717055349695e-05,427.2869625866879,621729.7986898393,621728.5566580109,-1.2420318284358616,427.2869625866879,bayes_h1_marginal_boundary,measured_graph,8.030459378889324e-94,all,h1_z
5.011872336272725e-05,368.97246786928736,621758.8033280722,621757.7139053696,-1.089422702530293,368.97246786928736,bayes_h1_marginal_boundary,measured_graph,3.694639125243183e-81,all,h1_z
6.309573444801929e-05,303.5526530141942,621791.3706263738,621790.4238127972,-0.9468135766247254,303.5526530141942,bayes_h1_marginal_boundary,measured_graph,5.933409523351344e-67,all,h1_z
7.943282347242822e-05,236.24018188845366,621824.8942528107,621824.08004836,-0.8142044507191568,236.24018188845366,bayes_h1_marginal_boundary,measured_graph,2.4548316327284897e-52,all,h1_z
0.0001,173.78796573006548,621855.997751764,621855.3061564392,-0.6915953248135883,173.78796573006548,bayes_h1_marginal_boundary,measured_graph,8.940218662624456e-39,all,h1_z
0.00012589254117941674,120.9999797611963,621882.2791356225,621881.7001494237,-0.5789861989080206,120.9999797611963,bayes_h1_marginal_boundary,measured_graph,2.5948583160403207e-27,all,h1_z
0.00015848931924611142,79.52514348505065,621902.9139446347,621902.4375675617,-0.47637707300245236,79.52514348505065,bayes_h1_marginal_boundary,measured_graph,2.6318426215339485e-18,all,h1_z
0.00019952623149688788,48.74483569525182,621918.2114894037,621917.8277214566,-0.38376794709688455,48.74483569525182,bayes_h1_marginal_boundary,measured_graph,1.2709217967071725e-11,all,h1_z
0.0002511886431509582,27.014259635005146,621928.994168308,621928.6930094868,-0.30115882119131615,27.014259635005146,bayes_h1_marginal_boundary,measured_graph,6.650487229072663e-07,all,h1_z
0.00031622776601683794,12.539243320701644,621936.1590673393,621935.9305176439,-0.22854969528574837,12.539243320701644,bayes_h1_marginal_boundary,measured_graph,0.0009248330027733692,all,h1_z
0.00039810717055349735,3.858878860482946,621940.4366404434,621940.270699874,-0.16594056938017995,3.858878860482946,bayes_h1_marginal_boundary,measured_graph,0.07095459282675003,all,h1_z
0.0005011872336272725,-0.0,621942.3134707478,621942.2001393043,-0.11333144347461188,-0.0,bayes_h1_marginal_boundary,measured_graph,0.4885684404965703,all,h1_z
0.000630957344480193,0.41676767892204225,621942.0624777824,621941.9917554648,-0.07072231756904392,0.41676767892204225,bayes_h1_marginal_boundary,measured_graph,0.39666643982950917,all,h1_z
0.0007943282347242822,4.892077318392694,621939.7922138367,621939.7541006451,-0.03811319166347554,4.892077318392694,bayes_h1_marginal_boundary,measured_graph,0.04232766562035419,all,h1_z
0.001,13.554444662062451,621935.438421039,621935.4229169732,-0.015504065757907535,13.554444662062451,bayes_h1_marginal_boundary,measured_graph,0.0005566922161644527,all,h1_z
0.0012589254117941675,26.996715529821813,621928.7046764792,621928.7017815394,-0.0028949398523394052,26.996715529821813,bayes_h1_marginal_boundary,measured_graph,6.709082276490154e-07,all,h1_z
0.001584893192461114,46.54283771594055,621918.9290062602,621918.9287204463,-0.0002858139467712683,46.54283771594055,bayes_h1_marginal_boundary,measured_graph,3.82187618909493e-11,all,h1_z
0.0019952623149688807,74.6818503534887,621904.8668908156,621904.8592141275,-0.007676688041203171,74.6818503534887,bayes_h1_marginal_boundary,measured_graph,2.9646105958391105e-17,all,h1_z
0.002511886431509582,115.63215855648741,621884.4091275882,621884.384060026,-0.025067562135635053,115.63215855648741,bayes_h1_marginal_boundary,measured_graph,3.799454203122764e-26,all,h1_z
0.0031622776601683794,175.88851704704575,621854.308339217,621854.2558807808,-0.05245843623006681,175.88851704704575,bayes_h1_marginal_boundary,measured_graph,3.127657711115511e-39,all,h1_z
0.003981071705534973,264.4230697178282,621810.0784537557,621809.9886044454,-0.08984931032449865,264.4230697178282,bayes_h1_marginal_boundary,measured_graph,1.8628821301892116e-58,all,h1_z
0.005011872336272725,391.89930862141773,621746.387725178,621746.2504849936,-0.13724018441893068,391.89930862141773,bayes_h1_marginal_boundary,measured_graph,3.882145531493407e-86,all,h1_z
0.006309573444801936,568.5259261082392,621658.1318073086,621657.9371762502,-0.19463105851336257,568.5259261082392,bayes_h1_marginal_boundary,measured_graph,1.7182610521293168e-124,all,h1_z
0.00794328234724282,801.2704867473803,621541.8269178632,621541.5648959306,-0.26202193260779433,801.2704867473803,bayes_h1_marginal_boundary,measured_graph,4.9573542760020245e-175,all,h1_z
0.01,1091.973683172837,621396.5527105245,621396.2132977179,-0.3394128067022262,1091.973683172837,bayes_h1_marginal_boundary,measured_graph,3.714094222744604e-238,all,h1_z
0.012589254117941675,1437.1947837318294,621224.0295511192,621223.6027474384,-0.42680368079665804,1437.1947837318294,bayes_h1_marginal_boundary,measured_graph,4.0368574375e-313,all,h1_z
0.01584893192461114,1829.1713565161917,621028.1386556011,621027.6144610462,-0.5241945548910899,1829.1713565161917,bayes_h1_marginal_boundary,measured_graph,0.0,all,h1_z
0.01995262314968881,2257.1462355607655,620814.2586069528,620813.6270215239,-0.6315854289855218,2257.1462355607655,bayes_h1_marginal_boundary,measured_graph,0.0,all,h1_z
0.025118864315095822,2709.0366387099493,620588.4307962523,620587.6818199493,-0.7489763030799538,2709.0366387099493,bayes_h1_marginal_boundary,measured_graph,0.0,all,h1_z
0.03162277660168379,3173.5232795968186,620356.3148666831,620355.4384995059,-0.8763671771743852,3173.5232795968186,bayes_h1_marginal_boundary,measured_graph,0.0,all,h1_z
0.039810717055349734,3642.0867229206488,620122.1705358953,620121.156777844,-1.0137580512688171,3642.0867229206488,bayes_h1_marginal_boundary,measured_graph,0.0,all,h1_z
0.05011872336272725,4109.9717341871,619888.375421136,619887.2142722107,-1.1611489253632492,4109.9717341871,bayes_h1_marginal_boundary,measured_graph,0.0,all,h1_z
0.06309573444801936,4575.103114785859,619655.9671217108,619654.6485819113,-1.3185397994576809,4575.103114785859,bayes_h1_marginal_boundary,measured_graph,0.0,all,h1_z
0.07943282347242822,5035.193677019561,619426.089231468,619424.6033007945,-1.4859306735521132,5035.193677019561,bayes_h1_marginal_boundary,measured_graph,0.0,all,h1_z
