D,delta_chi2,log_likelihood,log_posterior,log_prior,neg2_delta_logpost,objective,observation_source,posterior_prob,tile_group,weight_mode
1e-05,120.57252348028123,349479.99820412113,349477.63051753724,-2.3676865838692702,120.57252348028123,bayes_h1_marginal_boundary,measured_graph,2.8437061345445606e-27,interior,h1_z
1.2589254117941661e-05,119.85389762895647,349480.14490792085,349477.9898304629,-2.155077457963703,119.85389762895647,bayes_h1_marginal_boundary,measured_graph,4.0731681180888565e-27,interior,h1_z
1.584893192461114e-05,119.00106913771015,349480.3687130406,349478.4162447085,-1.952468332058134,119.00106913771015,bayes_h1_marginal_boundary,measured_graph,6.239096309316077e-27,interior,h1_z
1.9952623149688786e-05,117.93363727128599,349480.7098198479,349478.94996064174,-1.7598592061525666,117.93363727128599,bayes_h1_marginal_boundary,measured_graph,1.0639263726486515e-26,interior,h1_z
2.5118864315095822e-05,116.53431395650841,349481.22687237937,349479.6496222991,-1.5772500802469966,116.53431395650841,bayes_h1_marginal_boundary,measured_graph,2.1417598422492694e-26,interior,h1_z
3.1622776601683795e-05,114.63879471318796,349482.0020228751,349480.5973819208,-1.404640954341429,114.63879471318796,bayes_h1_marginal_boundary,measured_graph,5.525575853971017e-26,interior,h1_z
3.9810717055349695e-05,112.03405183309224,349483.1417851893,349481.89975336083,-1.2420318284358616,112.03405183309224,bayes_h1_marginal_boundary,measured_graph,2.0323115015810447e-25,interior,h1_z
5.011872336272725e-05,108.47371299972292,349484.7693454801,349483.6799227775,-1.089422702530293,108.47371299972292,bayes_h1_marginal_boundary,measured_graph,1.2053357269086445e-24,interior,h1_z
6.309573444801929e-05,103.72608839115128,349487.0005486584,349486.0537350818,-0.9468135766247254,103.72608839115128,bayes_h1_marginal_boundary,measured_graph,1.2943198579573242e-23,interior,h1_z
7.943282347242822e-05,97.64437705290038,349489.9087952016,349489.09459075093,-0.8142044507191568,97.64437705290038,bayes_h1_marginal_boundary,measured_graph,2.708123411932175e-22,interior,h1_z
0.0001,90.2143707391806,349493.50118923263,349492.8095939078,-0.6915953248135883,90.2143707391806,bayes_h1_marginal_boundary,measured_graph,1.1119207196133837e-20,interior,h1_z
0.00012589254117941674,81.53380615473725,349497.72886239894,349497.1498762,-0.5789861989080206,81.53380615473725,bayes_h1_marginal_boundary,measured_graph,8.53167832060064e-19,interior,h1_z
0.00015848931924611142,71.75914685300086,349502.51358292386,349502.0372058509,-0.47637707300245236,71.75914685300086,bayes_h1_marginal_boundary,measured_graph,1.131292143305417e-16,interior,h1_z
0.00019952623149688788,61.098538268357515,349507.7512780903,349507.3675101432,-0.38376794709688455,61.098538268357515,bayes_h1_marginal_boundary,measured_graph,2.3361273398966537e-14,interior,h1_z
0.0002511886431509582,49.85182019509375,349513.29202800104,349512.99086917983,-0.30115882119131615,49.85182019509375,bayes_h1_marginal_boundary,measured_graph,6.466813129691852e-12,interior,h1_z
0.00031622776601683794,38.44365503254812,349518.9235014564,349518.6949517611,-0.22854969528574837,38.44365503254812,bayes_h1_marginal_boundary,measured_graph,1.940626246302923e-09,interior,h1_z
0.00039810717055349735,27.436607809737325,349524.3644159419,349524.1984753725,-0.16594056938017995,27.436607809737325,bayes_h1_marginal_boundary,measured_graph,4.765317438995931e-07,interior,h1_z
0.0005011872336272725,17.48632627655752,349529.28694758256,349529.1736161391,-0.11333144347461188,17.48632627655752,bayes_h1_marginal_boundary,measured_graph,6.89871204735103e-05,interior,h1_z
0.000630957344480193,9.237097853794694,349533.36895266804,349533.2982303505,-0.07072231756904392,9.237097853794694,bayes_h1_marginal_boundary,measured_graph,0.004266435750299141,interior,h1_z
0.0007943282347242822,3.2418299046112224,349536.33397751674,349536.2958643251,-0.03811319166347554,3.2418299046112224,bayes_h1_marginal_boundary,measured_graph,0.08549113910394684,interior,h1_z
0.001,-0.0,349537.93228334317,349537.9167792774,-0.015504065757907535,-0.0,bayes_h1_marginal_boundary,measured_graph,0.43238988234819026,interior,h1_z
0.0012589254117941675,0.04979343980085105,349537.89477749733,349537.8918825575,-0.0028949398523394052,0.04979343980085105,bayes_h1_marginal_boundary,measured_graph,0.4217576950423742,interior,h1_z
0.001584893192461114,4.107767132809386,349535.8631815249,349535.862895711,-0.0002858139467712683,4.107767132809386,bayes_h1_marginal_boundary,measured_graph,0.05544791547769482,interior,h1_z
0.0019952623149688807,13.237613392877392,349531.30564926896,349531.29797258094,-0.007676688041203171,13.237613392877392,bayes_h1_marginal_boundary,measured_graph,0.0005772504739082503,interior,h1_z
0.002511886431509582,29.017238221596926,349523.4332277287,349523.4081601666,-0.025067562135635053,29.017238221596926,bayes_h1_marginal_boundary,measured_graph,2.1620329245428708e-07,interior,h1_z
0.0031622776601683794,53.66665598365944,349511.1359097218,349511.08345128555,-0.05245843623006681,53.66665598365944,bayes_h1_marginal_boundary,measured_graph,9.600840289286977e-13,interior,h1_z
0.003981071705534973,90.14580036932603,349492.93372840306,349492.8438790927,-0.08984931032449865,90.14580036932603,bayes_h1_marginal_boundary,measured_graph,1.1507041771119422e-20,interior,h1_z
0.005011872336272725,142.1774416496046,349466.965298637,349466.8280584526,-0.13724018441893068,142.1774416496046,bayes_h1_marginal_boundary,measured_graph,5.786771626916416e-32,interior,h1_z
0.006309573444801936,214.18715102935676,349431.0178348212,349430.8232037627,-0.19463105851336257,214.18715102935676,bayes_h1_marginal_boundary,measured_graph,1.3357544505533856e-47,interior,h1_z
0.00794328234724282,311.062297965982,349382.647652227,349382.3856302944,-0.26202193260779433,311.062297965982,bayes_h1_marginal_boundary,measured_graph,1.2290109599078802e-68,interior,h1_z
0.01,437.3727662585443,349319.56980895484,349319.2303961481,-0.3394128067022262,437.3727662585443,bayes_h1_marginal_boundary,measured_graph,4.587605479122812e-96,interior,h1_z
0.012589254117941675,595.874225430889,349240.4064702427,349239.97966656194,-0.42680368079665804,595.874225430889,bayes_h1_marginal_boundary,measured_graph,1.7515862071164386e-130,interior,h1_z
0.01584893192461114,785.7707232326502,349145.55561221595,349145.03141766106,-0.5241945548910899,785.7707232326502,bayes_h1_marginal_boundary,measured_graph,1.018429457727596e-171,interior,h1_z
0.01995262314968881,1001.7902123455424,349037.65325853357,349037.0216731046,-0.6315854289855218,1001.7902123455424,bayes_h1_marginal_boundary,measured_graph,1.2586207865856229e-218,interior,h1_z
