D,delta_chi2,log_likelihood,log_posterior,log_prior,neg2_delta_logpost,objective,observation_source,posterior_prob,tile_group,weight_mode
1e-05,516.917496169568,272160.9159546867,272158.5482681028,-2.3676865838692702,516.917496169568,bayes_h1_marginal_boundary,measured_graph,3.648601404582207e-113,periphery,h1_z
1.2589254117941661e-05,503.8878204493085,272167.2181834209,272165.06310596294,-2.155077457963703,503.8878204493085,bayes_h1_marginal_boundary,measured_graph,2.4631142349778658e-110,periphery,h1_z
1.584893192461114e-05,485.6272935945308,272176.1458377224,272174.1933693903,-1.952468332058134,485.6272935945308,bayes_h1_marginal_boundary,measured_graph,2.273566067992353e-106,periphery,h1_z
1.9952623149688786e-05,461.0569764506072,272188.23838716844,272186.4785279623,-1.7598592061525666,461.0569764506072,bayes_h1_marginal_boundary,measured_graph,4.9213489063702866e-101,periphery,h1_z
2.5118864315095822e-05,429.44125058699865,272203.86364097433,272202.2863908941,-1.5772500802469966,429.44125058699865,bayes_h1_marginal_boundary,measured_graph,3.608708462586214e-94,periphery,h1_z
3.1622776601683795e-05,390.29684233746957,272223.2632359732,272221.85859501886,-1.404640954341429,390.29684233746957,bayes_h1_marginal_boundary,measured_graph,1.1414372678115929e-85,periphery,h1_z
3.9810717055349695e-05,343.18428673164453,272246.6569046502,272245.41487282177,-1.2420318284358616,343.18428673164453,bayes_h1_marginal_boundary,measured_graph,1.9400526318457472e-75,periphery,h1_z
5.011872336272725e-05,288.12491259665694,272274.0339825918,272272.94455988926,-1.089422702530293,288.12491259665694,bayes_h1_marginal_boundary,measured_graph,1.7530919440194362e-63,periphery,h1_z
6.309573444801929e-05,227.16750409745146,272304.3700777155,272303.42326413887,-0.9468135766247254,227.16750409745146,bayes_h1_marginal_boundary,measured_graph,3.023693492167695e-50,periphery,h1_z
7.943282347242822e-05,165.67152605846059,272334.98545760906,272334.17125315836,-0.8142044507191568,165.67152605846059,bayes_h1_marginal_boundary,measured_graph,6.82684002414655e-37,periphery,h1_z
0.0001,110.4040979623096,272362.4965625313,272361.80496720644,-0.6915953248135883,110.4040979623096,bayes_h1_marginal_boundary,measured_graph,6.8452490170690305e-25,periphery,h1_z
0.00012589254117941674,66.07145832618698,272384.55027322343,272383.9712870245,-0.5789861989080206,66.07145832618698,bayes_h1_marginal_boundary,measured_graph,2.8980083512138962e-15,periphery,h1_z
0.00015848931924611142,34.16606309951749,272400.4003617108,272399.92398463783,-0.47637707300245236,34.16606309951749,bayes_h1_marginal_boundary,measured_graph,2.4562251707579943e-08,periphery,h1_z
0.00019952623149688788,13.861145642469637,272410.46021131345,272410.07644336636,-0.38376794709688455,13.861145642469637,bayes_h1_marginal_boundary,measured_graph,0.0006301224909229402,periphery,h1_z
0.0002511886431509582,3.212069403496571,272415.70214030705,272415.40098148584,-0.30115882119131615,3.212069403496571,bayes_h1_marginal_boundary,measured_graph,0.12937265924029487,periphery,h1_z
0.00031622776601683794,-0.0,272417.2355658829,272417.0070161876,-0.22854969528574837,-0.0,bayes_h1_marginal_boundary,measured_graph,0.6446656258083518,periphery,h1_z
