D,chi2_h1_red,delta_chi2,log_likelihood,log_posterior,log_prior,neg2_delta_logpost,objective,observation_source,posterior_prob,sigma_h1_nL_s,tile_id,weight_mode
1e-05,1.0000000018522617,8.492358153998794,8782.38345368156,8780.01576709769,-2.3676865838692702,8.492358153998794,bayes_h1_marginal_boundary,measured_graph,0.0013663873337239007,0.08456399170104258,1,h1_z
1.2589254117941661e-05,1.0000000051938447,8.077628278675547,8782.378209493316,8780.223132035351,-2.155077457963703,8.077628278675547,bayes_h1_marginal_boundary,measured_graph,0.0016812460448424528,0.08456035697150675,1,h1_z
1.584893192461114e-05,1.000000014419284,7.6807060928949795,8782.3740614603,8780.421593128242,-1.952468332058134,7.6807060928949795,bayes_h1_marginal_boundary,measured_graph,0.002050320873879638,0.08455332908931715,1,h1_z
1.9952623149688786e-05,1.000000038540899,7.298189958619332,8782.372710401532,8780.61285119538,-1.7598592061525666,7.298189958619332,bayes_h1_marginal_boundary,measured_graph,0.0024824708430749107,0.08454069691041316,1,h1_z
2.5118864315095822e-05,1.0000000971413934,6.924300730304822,8782.377045889783,8780.799795809537,-1.5772500802469966,6.924300730304822,bayes_h1_marginal_boundary,measured_graph,0.0029927688211383225,0.08451907883267178,1,h1_z
3.1622776601683795e-05,1.0000002271416202,6.5497180563543225,8782.391728100853,8780.987087146512,-1.404640954341429,6.5497180563543225,bayes_h1_marginal_boundary,measured_graph,0.003609215093264135,0.08448354673533126,1,h1_z
3.9810717055349695e-05,1.0000004833887148,6.160306616737216,8782.423824694757,8781.18179286632,-1.2420318284358616,6.160306616737216,bayes_h1_marginal_boundary,measured_graph,0.0043850281386361555,0.08442745924433782,1,h1_z
5.011872336272725e-05,1.0000009087087085,5.736421152760158,8782.48315830084,8781.393735598309,-1.089422702530293,5.736421152760158,bayes_h1_marginal_boundary,measured_graph,0.005420232844739747,0.08434302698223874,1,h1_z
6.309573444801929e-05,1.000001442013996,5.254410779627506,8782.5815543615,8781.634740784875,-0.9468135766247254,5.254410779627506,bayes_h1_marginal_boundary,measured_graph,0.006897396084909392,0.08422344685912596,1,h1_z
7.943282347242822e-05,1.000001820100086,4.692908929315308,8782.72969616075,8781.915491710031,-0.8142044507191568,4.692908929315308,bayes_h1_marginal_boundary,measured_graph,0.009133006017057625,0.08406716368126083,1,h1_z
0.0001,1.0000017144453515,4.045623189264006,8782.93072990487,8782.239134580057,-0.6915953248135883,4.045623189264006,bayes_h1_marginal_boundary,measured_graph,0.012623217241051353,0.08388282600725393,1,h1_z
0.00012589254117941674,1.0000011473286259,3.336561092746706,8783.172651827224,8782.593665628316,-0.5789861989080206,3.336561092746706,bayes_h1_marginal_boundary,measured_graph,0.01799454767056354,0.08369016963253155,1,h1_z
