D_hat,D_hi_lr3,D_lo_lr3,D_p025,D_p500,D_p975,ablation,chi2_h1_red_at_mode,harmonics,location,log_likelihood_at_mode,log_posterior_at_mode,log_prior_at_mode,max_neg2_delta_logpost,mode_at_grid_boundary,n_boundary,n_h1,n_obs,n_params_marginalized,objective,observation_source,sigma_h1_nL_s_at_mode,tile_id,weight_mode,width_decades_lr3
0.0019952623149688807,0.003981071705534973,5.011872336272725e-05,5.202335774318154e-05,0.0008015369277086718,0.003107328058775276,bayes_h1_marginal_boundary,1.000000050522325,H1,periphery,8784.26962286273,8784.261946174689,-0.007676688041203171,57.30319929580219,False,15,148,296,30,bayes_h1_marginal_boundary,measured_graph,0.08234037809048599,1,h1_z,1.9
0.00019952623149688788,0.00039810717055349735,3.9810717055349695e-05,2.594240108115989e-05,0.00016367014194946416,0.00034213542651999877,bayes_h1_marginal_boundary,1.0000001561636576,H1,periphery,14415.021718123518,14414.637950176422,-0.38376794709688455,257.3312462269896,False,29,238,476,58,bayes_h1_marginal_boundary,measured_graph,0.03761298020631997,2,h1_z,1.0000000000000004
0.000630957344480193,0.002511886431509582,0.0002511886431509582,0.0002543464119042975,0.0006707134007069786,0.0019002780170560198,bayes_h1_marginal_boundary,1.000000010242753,H1,periphery,11279.157308487022,11279.086586169453,-0.07072231756904392,274.7359474939112,False,24,186,372,48,bayes_h1_marginal_boundary,measured_graph,0.03210141162451905,3,h1_z,1.0
0.001584893192461114,0.002511886431509582,0.0007943282347242822,0.0007122965012146009,0.0014466227983010514,0.0021997695988201964,bayes_h1_marginal_boundary,1.0000000000012248,H1,periphery,17644.190372106823,17644.190086292878,-0.0002858139467712683,623.8748172840351,False,37,287,574,74,bayes_h1_marginal_boundary,measured_graph,0.02131454004377698,4,h1_z,0.49999999999999994
0.0031622776601683794,0.006309573444801936,0.001,0.0010179942968903755,0.0024873832550922517,0.005380682632892506,bayes_h1_marginal_boundary,1.0000006624552882,H1,interior,20806.906839773197,20806.85438133697,-0.05245843623006681,87.41760495518247,False,45,375,750,90,bayes_h1_marginal_boundary,measured_graph,0.6513316785116828,5,h1_z,0.8000000000000003
0.002511886431509582,0.00794328234724282,0.000630957344480193,0.0003196914351245811,0.0023844463315528083,0.00648131980055899,bayes_h1_marginal_boundary,1.0000000440455261,H1,interior,11689.83798121307,11689.812913650934,-0.025067562135635053,54.93922112134533,False,32,213,426,64,bayes_h1_marginal_boundary,measured_graph,0.8708795602673964,6,h1_z,1.1000000000000005
0.001,0.012589254117941675,1e-05,1.7276566978697206e-05,0.0005382218811713147,0.006024486784135435,bayes_h1_marginal_boundary,1.0000002395057386,H1,interior,4165.573195903474,4165.5576918377155,-0.015504065757907535,25.012325959314694,False,23,79,158,46,bayes_h1_marginal_boundary,measured_graph,1.8015222632568157,7,h1_z,3.1
0.0012589254117941675,0.01,1.9952623149688786e-05,2.712514037285981e-05,0.0008366202511131922,0.005767936417268367,bayes_h1_marginal_boundary,1.0000000089397925,H1,periphery,7540.238861244904,7540.235966305052,-0.0028949398523394052,19.3440113210454,False,15,143,286,30,bayes_h1_marginal_boundary,measured_graph,2.6875181201750964,8,h1_z,2.7
0.00039810717055349735,0.0031622776601683794,1e-05,1.3626123239435146e-05,0.00023838323695375078,0.001948070789438942,bayes_h1_marginal_boundary,1.000000034709952,H1,interior,11813.19645346573,11813.03051289635,-0.16594056938017995,39.593925491451955,False,29,215,430,58,bayes_h1_marginal_boundary,measured_graph,0.7741637869441835,9,h1_z,2.5
0.00019952623149688788,0.002511886431509582,1e-05,1.2061512688489089e-05,0.0001457991256170361,0.0015128013427644306,bayes_h1_marginal_boundary,1.0000000004571825,H1,periphery,12059.386598369245,12059.002830422149,-0.38376794709688455,33.24824309371252,False,27,209,418,54,bayes_h1_marginal_boundary,measured_graph,0.1621795901244224,10,h1_z,2.4000000000000004
6.309573444801929e-05,0.00031622776601683794,1e-05,1.3715926231218952e-05,5.40604787588118e-05,0.00020683524106579156,bayes_h1_marginal_boundary,1.0000001253893138,H1,periphery,15693.576928951476,15692.63011537485,-0.9468135766247254,286.0566237971507,False,34,254,508,68,bayes_h1_marginal_boundary,measured_graph,0.014641451808434522,11,h1_z,1.5
0.00012589254117941674,0.005011872336272725,1e-05,1.122482969738757e-05,0.00010842976707747188,0.0021925655286510392,bayes_h1_marginal_boundary,1.000000000066567,H1,interior,17062.993181329304,17062.414195130397,-0.5789861989080206,63.253184199631505,False,40,288,576,80,bayes_h1_marginal_boundary,measured_graph,0.0645431033226644,12,h1_z,2.7
0.0012589254117941675,0.01,1.2589254117941661e-05,2.1965172538930463e-05,0.0007363603975672297,0.005975381780579479,bayes_h1_marginal_boundary,1.0000000061971546,H1,interior,11990.303888772405,11990.300993832552,-0.0028949398523394052,25.579619129559433,False,29,214,428,58,bayes_h1_marginal_boundary,measured_graph,0.42537362950978197,13,h1_z,2.9000000000000004
0.1,0.1,0.07943282347242822,0.06365688738859047,0.08784735685719941,0.09939236784285999,bayes_h1_marginal_boundary,1.000000283965048,H1,interior,6034.931789817879,6033.268468270232,-1.663321547646544,52.19388757621891,True,37,109,218,74,bayes_h1_marginal_boundary,measured_graph,0.36959774305155574,14,h1_z,0.09999999999999964
0.1,0.1,0.1,0.07991067888878112,0.08969778404552878,0.09948488920227644,bayes_h1_marginal_boundary,1.0000000005517982,H1,interior,12893.671648264284,12892.008326716637,-1.663321547646544,91.69964479060945,True,43,226,452,86,bayes_h1_marginal_boundary,measured_graph,0.2064046625424598,15,h1_z,0.0
0.0005011872336272725,0.005011872336272725,1e-05,1.9169029278551225e-05,0.0003582287126251062,0.003056574063843031,bayes_h1_marginal_boundary,1.0000000002452327,H1,periphery,15164.623593076127,15164.510261632653,-0.11333144347461188,91.34771993605682,False,44,259,518,88,bayes_h1_marginal_boundary,measured_graph,0.08455363574835605,16,h1_z,2.7
0.0001,0.0012589254117941675,1e-05,1.0614958616485488e-05,8.515440342179534e-05,0.000760435113378406,bayes_h1_marginal_boundary,1.0000000002108687,H1,periphery,14137.778617007863,14137.08702168305,-0.6915953248135883,35.51845340278305,False,29,240,480,58,bayes_h1_marginal_boundary,measured_graph,0.08539911636312694,17,h1_z,2.1
0.00012589254117941674,0.00794328234724282,1e-05,1.164565423353867e-05,0.00013172913925922318,0.004333184598138887,bayes_h1_marginal_boundary,1.000000001341337,H1,periphery,14155.536326885398,14154.95734068649,-0.5789861989080206,40.80723673516695,False,29,240,480,58,bayes_h1_marginal_boundary,measured_graph,0.07997184893453815,18,h1_z,2.9000000000000004
0.001584893192461114,0.003981071705534973,0.0007943282347242822,0.0007455935826740924,0.0015774896052146183,0.0036242709911472066,bayes_h1_marginal_boundary,1.0000000003131488,H1,interior,13609.63250254577,13609.632216731823,-0.0002858139467712683,286.7812201714005,False,42,236,472,84,bayes_h1_marginal_boundary,measured_graph,0.1421049316597424,19,h1_z,0.6999999999999997
