D_hat,D_hi_lr3,D_lo_lr3,D_p025,D_p500,D_p975,ablation,chi2_h1_red_at_mode,chi2_h2_red_at_mode,cluster,harmonics,location,location_cluster,log_likelihood_at_mode,log_posterior_at_mode,log_prior_at_mode,max_neg2_delta_logpost,mode_at_grid_boundary,n_boundary,n_h1,n_h2,n_obs,n_params_marginalized,objective,observation_source,sigma_h1_nL_s_at_mode,sigma_h2_nL_s_at_mode,tile_id,weight_mode,width_decades_lr3
0.001,0.01,0.001,0.00012386410451871088,0.0005797982582657409,0.006384185179676117,bayes_h1_marginal_boundary,1.0000003194247553,nan,proximal,H1,interior,interior_proximal,8403.736787407506,8403.721283341749,-0.015504065757907535,65.02464473111104,False,37,147,0,294,74,bayes_h1_marginal_boundary,measured_graph,0.15136746889006467,nan,14,h1_z,1.0
0.01,0.01,0.001,0.0002689295245187564,0.004808541199181335,0.009740427059959068,bayes_h1_marginal_boundary,1.0000000000001836,nan,proximal,H1,interior,interior_proximal,18434.070504705913,18433.73109189921,-0.3394128067022262,117.21159053907468,False,35,305,0,610,70,bayes_h1_marginal_boundary,measured_graph,0.036560097166398825,nan,22,h1_z,1.0
0.001,0.001,0.0001,3.3668111674762364e-05,0.0005027271642230097,0.0009751363582111506,bayes_h1_marginal_boundary,1.0000000023636704,nan,venous_end,H1,periphery,periphery_venous_end,11905.661284134363,11905.645780068606,-0.015504065757907535,246.81150498407806,False,15,195,0,390,30,bayes_h1_marginal_boundary,measured_graph,0.034999496114937675,nan,1,h1_z,1.0
0.001,0.001,0.0001,1.523231863631778e-05,0.00021049907925621374,0.0009605249539628108,bayes_h1_marginal_boundary,1.000000000000596,nan,arterial_end,H1,periphery,periphery_arterial_end,20425.186993566385,20425.171489500626,-0.015504065757907535,433.0429089126337,False,44,331,0,662,88,bayes_h1_marginal_boundary,measured_graph,0.016007795732015877,nan,16,h1_z,1.0
