D,delta_chi2,log_likelihood,log_posterior,log_prior,neg2_delta_logpost,objective,observation_source,posterior_prob,tile_group,weight_mode
1e-05,66.49230144691683,32299.9543094954,32297.58662291153,-2.3676865838692702,66.49230144691683,bayes_h1_marginal_boundary,measured_graph,3.1512759512503865e-15,periphery,h1_z
0.0001,3.7179861003460246,32329.66537590963,32328.973780584816,-0.6915953248135883,3.7179861003460246,bayes_h1_marginal_boundary,measured_graph,0.13482046332885483,periphery,h1_z
0.001,-0.0,32330.84827770075,32330.83277363499,-0.015504065757907535,-0.0,bayes_h1_marginal_boundary,measured_graph,0.8651795366711421,periphery,h1_z
0.01,278.4061843958989,32191.96909424374,32191.62968143704,-0.3394128067022262,278.4061843958989,bayes_h1_marginal_boundary,measured_graph,3.0336916308678494e-61,periphery,h1_z
0.1,676.5587789329293,31994.21670571617,31992.553384168525,-1.663321547646544,676.5587789329293,bayes_h1_marginal_boundary,measured_graph,1.0573872077567758e-147,periphery,h1_z
