ablation,D,chi2,delta_chi2
dc_only,1e-06,224.30535803051106,0.0
dc_only,1.4677992676220705e-06,224.30535803051106,0.0
dc_only,2.1544346900318822e-06,224.30535803051106,0.0
dc_only,3.162277660168379e-06,224.30535803051106,0.0
dc_only,4.641588833612782e-06,224.30535803051106,0.0
dc_only,6.8129206905796085e-06,224.30535803051106,0.0
dc_only,1e-05,224.30535803051106,0.0
dc_only,1.4677992676220675e-05,224.30535803051106,0.0
dc_only,2.1544346900318823e-05,224.30535803051106,0.0
dc_only,3.1622776601683795e-05,224.30535803051106,0.0
dc_only,4.641588833612772e-05,224.30535803051106,0.0
dc_only,6.812920690579608e-05,224.30535803051106,0.0
dc_only,0.0001,224.30535803051106,0.0
dc_only,0.0001467799267622069,224.30535803051106,0.0
dc_only,0.00021544346900318823,224.30535803051106,0.0
dc_only,0.00031622776601683794,224.30535803051106,0.0
dc_only,0.00046415888336127773,224.30535803051106,0.0
dc_only,0.0006812920690579609,224.30535803051106,0.0
dc_only,0.001,224.30535803051106,0.0
dc_only,0.0014677992676220691,224.30535803051106,0.0
dc_only,0.002154434690031882,224.30535803051106,0.0
dc_only,0.0031622776601683794,224.30535803051106,0.0
dc_only,0.004641588833612777,224.30535803051106,0.0
dc_only,0.006812920690579608,224.30535803051106,0.0
dc_only,0.01,224.30535803051106,0.0
dc_only,0.014677992676220676,224.30535803051106,0.0
dc_only,0.021544346900318822,224.30535803051106,0.0
dc_only,0.03162277660168379,224.30535803051106,0.0
dc_only,0.046415888336127725,224.30535803051106,0.0
dc_only,0.06812920690579609,224.30535803051106,0.0
dc_only,0.1,224.30535803051106,0.0
h1_free_boundary,1e-06,16994996.537929088,28631.16644021496
h1_free_boundary,1.4677992676220705e-06,16994994.724164404,28629.35267553106
h1_free_boundary,2.1544346900318822e-06,16994992.062038235,28626.69054936245
h1_free_boundary,3.162277660168379e-06,16994988.15440017,28622.782911296934
h1_free_boundary,4.641588833612782e-06,16994982.419119474,28617.04763060063
h1_free_boundary,6.8129206905796085e-06,16994974.002270922,28608.63078204915
h1_free_boundary,1e-05,16994961.650520388,28596.27903151512
h1_free_boundary,1.4677992676220675e-05,16994943.525547363,28578.15405848995
h1_free_boundary,2.1544346900318823e-05,16994916.932907023,28551.56141814962
h1_free_boundary,3.1622776601683795e-05,16994877.924069203,28512.55258033052
h1_free_boundary,4.641588833612772e-05,16994820.718181744,28455.346692871302
h1_free_boundary,6.812920690579608e-05,16994736.861839384,28371.490350510925
h1_free_boundary,0.0001,16994614.01485808,28248.643369205296
h1_free_boundary,0.0001467799267622069,16994434.21010615,28068.8386172764
h1_free_boundary,0.00021544346900318823,16994171.387029152,27806.015540279448
h1_free_boundary,0.00031622776601683794,16993787.959310044,27422.587821170688
h1_free_boundary,0.00046415888336127773,16993230.171414778,26864.79992590472
h1_free_boundary,0.0006812920690579609,16992422.107148137,26056.735659264028
h1_free_boundary,0.001,16991258.594078876,24893.222590003163
h1_free_boundary,0.0014677992676220691,16989598.249152925,23232.87766405195
h1_free_boundary,0.002154434690031882,16987260.329796642,20894.95830776915
h1_free_boundary,0.0031622776601683794,16984035.269408025,17669.897919151932
h1_free_boundary,0.004641588833612777,16979738.032141853,13372.660652980208
h1_free_boundary,0.006812920690579608,16974400.34229999,8034.9708111174405
h1_free_boundary,0.01,16968884.146727514,2518.7752386406064
h1_free_boundary,0.014677992676220676,16966365.371488873,0.0
h1_free_boundary,0.021544346900318822,16974253.028215952,7887.656727079302
h1_free_boundary,0.03162277660168379,17003698.288092718,37332.91660384461
h1_free_boundary,0.046415888336127725,17064462.219041966,98096.84755309299
h1_free_boundary,0.06812920690579609,17160646.537098818,194281.1656099446
h1_free_boundary,0.1,17293417.516949218,327052.14546034485
h1_fixed_boundary_phase,1e-06,18173497.58743404,1207132.2159451693
h1_fixed_boundary_phase,1.4677992676220705e-06,18173383.630665433,1207018.2591765635
h1_fixed_boundary_phase,2.1544346900318822e-06,18173216.361649558,1206850.9901606888
h1_fixed_boundary_phase,3.162277660168379e-06,18172970.837159216,1206605.4656703472
h1_fixed_boundary_phase,4.641588833612782e-06,18172610.441314276,1206245.0698254071
h1_fixed_boundary_phase,6.8129206905796085e-06,18172081.420592476,1205716.0491036065
h1_fixed_boundary_phase,1e-05,18171304.857814994,1204939.4863261245
h1_fixed_boundary_phase,1.4677992676220675e-05,18170164.883464873,1203799.5119760036
h1_fixed_boundary_phase,2.1544346900318823e-05,18168491.35980254,1202125.9883136712
h1_fixed_boundary_phase,3.1622776601683795e-05,18166034.45336163,1199669.0818727612
h1_fixed_boundary_phase,4.641588833612772e-05,18162427.336933304,1196061.9654444344
h1_fixed_boundary_phase,6.812920690579608e-05,18157131.646742612,1190766.275253743
h1_fixed_boundary_phase,0.0001,18149358.321825456,1182992.9503365867
h1_fixed_boundary_phase,0.0001467799267622069,18137954.718763314,1171589.347274445
h1_fixed_boundary_phase,0.00021544346900318823,18121249.9968834,1154884.6253945306
h1_fixed_boundary_phase,0.00031622776601683794,18096862.649643544,1130497.278154675
h1_fixed_boundary_phase,0.00046415888336127773,18061516.763562355,1095151.392073486
h1_fixed_boundary_phase,0.0006812920690579609,18011021.951186635,1044656.5796977654
h1_fixed_boundary_phase,0.001,17940741.77549311,974376.4040042423
h1_fixed_boundary_phase,0.0014677992676220691,17846813.17301432,880447.8015254512
h1_fixed_boundary_phase,0.002154434690031882,17727270.227611795,760904.8561229259
h1_fixed_boundary_phase,0.0031622776601683794,17580583.508369077,614218.1368802078
h1_fixed_boundary_phase,0.004641588833612777,17404099.23999692,437733.8685080521
h1_fixed_boundary_phase,0.006812920690579608,17206534.339959245,240168.96847037598
h1_fixed_boundary_phase,0.01,17034962.68209209,68597.31060322002
h1_fixed_boundary_phase,0.014677992676220676,16966365.37148887,0.0
h1_fixed_boundary_phase,0.021544346900318822,17034329.045258373,67963.67376950383
h1_fixed_boundary_phase,0.03162277660168379,17201251.542460036,234886.17097116634
h1_fixed_boundary_phase,0.046415888336127725,17413857.964394443,447492.59290557355
h1_fixed_boundary_phase,0.06812920690579609,17650853.050328583,684487.6788397133
h1_fixed_boundary_phase,0.1,17907490.640410393,941125.2689215243
h1_fixed_boundary_complex,1e-06,18544014.26542616,1577648.893937286
h1_fixed_boundary_complex,1.4677992676220705e-06,18543928.960540414,1577563.589051541
h1_fixed_boundary_complex,2.1544346900318822e-06,18543803.73973372,1577438.3682448454
h1_fixed_boundary_complex,3.162277660168379e-06,18543619.918418303,1577254.5469294302
h1_fixed_boundary_complex,4.641588833612782e-06,18543350.057590157,1576984.6861012839
h1_fixed_boundary_complex,6.8129206905796085e-06,18542953.85264608,1576588.481157206
h1_fixed_boundary_complex,1e-05,18542372.080739055,1576006.709250182
h1_fixed_boundary_complex,1.4677992676220675e-05,18541517.677555267,1575152.3060663939
h1_fixed_boundary_complex,2.1544346900318823e-05,18540262.555938557,1573897.1844496839
h1_fixed_boundary_complex,3.1622776601683795e-05,18538418.07919156,1572052.7077026889
h1_fixed_boundary_complex,4.641588833612772e-05,18535706.019065812,1569340.6475769393
h1_fixed_boundary_complex,6.812920690579608e-05,18531715.123814695,1565349.7523258217
h1_fixed_boundary_complex,0.0001,18525835.688089736,1559470.316600863
h1_fixed_boundary_complex,0.0001467799267622069,18517160.059132766,1550794.687643893
h1_fixed_boundary_complex,0.00021544346900318823,18504329.687647723,1537964.3161588497
h1_fixed_boundary_complex,0.00031622776601683794,18485297.462181218,1518932.090692345
h1_fixed_boundary_complex,0.00046415888336127773,18456956.118707646,1490590.7472187728
h1_fixed_boundary_complex,0.0006812920690579609,18414562.235105317,1448196.8636164442
h1_fixed_boundary_complex,0.001,18350885.06699237,1384519.6955034956
h1_fixed_boundary_complex,0.0014677992676220691,18255137.31837053,1288771.9468816556
h1_fixed_boundary_complex,0.002154434690031882,18112365.469827686,1146000.0983388126
h1_fixed_boundary_complex,0.0031622776601683794,17905993.614985876,939628.2434970029
h1_fixed_boundary_complex,0.004641588833612777,17630257.57333368,663892.2018448077
