edge_id,in_targeted_166,in_low_snr_20pct,category
327,False,False,neither
328,False,False,neither
329,False,False,neither
330,False,False,neither
331,False,False,neither
332,False,False,neither
333,False,False,neither
334,False,False,neither
335,False,False,neither
336,False,False,neither
337,False,False,neither
338,False,False,neither
339,False,False,neither
340,False,False,neither
341,False,False,neither
342,False,False,neither
343,False,False,neither
344,False,False,neither
345,False,False,neither
346,False,False,neither
347,False,False,neither
348,False,False,neither
349,False,False,neither
350,False,False,neither
351,False,False,neither
352,False,False,neither
353,False,False,neither
354,False,False,neither
355,False,False,neither
356,False,False,neither
357,False,False,neither
358,False,False,neither
359,False,False,neither
360,False,False,neither
361,False,False,neither
362,False,False,neither
363,False,False,neither
364,False,False,neither
365,False,False,neither
366,False,False,neither
367,False,False,neither
368,False,False,neither
369,False,False,neither
370,False,False,neither
371,False,True,low_snr_only
372,False,False,neither
373,False,False,neither
374,False,False,neither
375,False,False,neither
376,False,False,neither
377,False,False,neither
378,False,False,neither
379,False,False,neither
380,False,False,neither
381,False,False,neither
382,False,False,neither
383,False,False,neither
384,False,False,neither
385,False,True,low_snr_only
386,False,False,neither
387,False,False,neither
388,False,False,neither
389,False,False,neither
390,False,False,neither
391,False,False,neither
392,False,False,neither
393,False,False,neither
394,False,False,neither
395,False,False,neither
396,False,False,neither
397,False,False,neither
398,False,False,neither
399,False,False,neither
400,False,False,neither
401,False,False,neither
402,False,False,neither
403,False,False,neither
404,False,False,neither
405,False,False,neither
406,False,True,low_snr_only
407,False,False,neither
408,False,False,neither
409,False,False,neither
410,False,False,neither
411,False,False,neither
412,False,False,neither
413,False,False,neither
414,False,False,neither
415,False,False,neither
416,False,False,neither
417,False,False,neither
418,False,False,neither
419,False,False,neither
420,False,False,neither
421,False,False,neither
422,False,False,neither
423,False,False,neither
424,False,False,neither
425,False,False,neither
426,False,False,neither
427,False,False,neither
428,False,False,neither
429,False,False,neither
430,False,False,neither
431,False,False,neither
432,False,False,neither
433,False,False,neither
434,False,False,neither
435,False,False,neither
436,False,False,neither
437,False,False,neither
438,False,False,neither
439,False,False,neither
440,False,False,neither
441,False,False,neither
442,False,False,neither
443,False,False,neither
444,False,False,neither
445,False,False,neither
446,False,True,low_snr_only
447,False,False,neither
448,False,False,neither
449,False,False,neither
450,False,False,neither
451,False,False,neither
452,False,False,neither
453,False,False,neither
454,False,False,neither
455,False,False,neither
456,False,False,neither
457,False,False,neither
458,False,False,neither
459,False,False,neither
460,False,True,low_snr_only
461,False,True,low_snr_only
462,False,False,neither
463,False,False,neither
464,False,False,neither
465,False,False,neither
466,False,False,neither
467,False,True,low_snr_only
468,False,False,neither
469,False,False,neither
470,False,False,neither
471,False,False,neither
472,False,False,neither
473,False,True,low_snr_only
474,False,False,neither
475,False,True,low_snr_only
476,False,True,low_snr_only
477,False,True,low_snr_only
478,False,True,low_snr_only
479,False,True,low_snr_only
480,False,True,low_snr_only
481,False,False,neither
482,False,True,low_snr_only
483,False,False,neither
484,False,False,neither
485,False,False,neither
486,False,False,neither
487,False,True,low_snr_only
488,False,True,low_snr_only
489,False,False,neither
490,False,True,low_snr_only
491,False,False,neither
492,False,False,neither
493,False,True,low_snr_only
494,False,True,low_snr_only
495,False,True,low_snr_only
496,False,True,low_snr_only
497,False,False,neither
498,False,False,neither
499,False,True,low_snr_only
500,False,False,neither
501,False,False,neither
502,False,True,low_snr_only
503,False,False,neither
504,False,False,neither
505,False,False,neither
506,False,True,low_snr_only
507,False,True,low_snr_only
508,False,False,neither
509,False,False,neither
510,False,False,neither
511,False,True,low_snr_only
512,False,True,low_snr_only
513,False,False,neither
514,False,False,neither
515,False,False,neither
516,False,True,low_snr_only
517,False,True,low_snr_only
518,False,True,low_snr_only
519,False,False,neither
520,False,False,neither
521,False,False,neither
522,False,False,neither
523,False,True,low_snr_only
524,False,True,low_snr_only
525,False,False,neither
526,False,True,low_snr_only
527,False,True,low_snr_only
528,False,False,neither
529,False,False,neither
530,False,True,low_snr_only
531,False,False,neither
532,False,False,neither
533,False,False,neither
534,False,False,neither
535,False,True,low_snr_only
536,False,False,neither
537,False,False,neither
538,False,False,neither
539,False,False,neither
540,False,False,neither
541,False,False,neither
542,False,False,neither
543,False,False,neither
544,False,False,neither
545,False,False,neither
546,False,False,neither
547,False,False,neither
548,False,True,low_snr_only
549,False,True,low_snr_only
550,False,False,neither
551,False,False,neither
552,False,True,low_snr_only
553,False,False,neither
554,False,True,low_snr_only
555,False,False,neither
556,False,True,low_snr_only
557,False,True,low_snr_only
558,False,False,neither
559,False,False,neither
560,False,False,neither
561,False,False,neither
562,False,False,neither
563,False,False,neither
564,False,False,neither
565,False,False,neither
566,False,False,neither
567,False,False,neither
568,False,False,neither
569,False,False,neither
570,False,True,low_snr_only
571,False,False,neither
572,False,True,low_snr_only
573,False,False,neither
574,False,False,neither
575,False,False,neither
576,False,True,low_snr_only
577,False,True,low_snr_only
578,False,True,low_snr_only
579,False,False,neither
580,False,True,low_snr_only
581,False,False,neither
582,False,False,neither
583,False,True,low_snr_only
584,False,False,neither
585,False,False,neither
586,False,False,neither
587,False,False,neither
588,False,False,neither
589,False,False,neither
590,False,False,neither
591,False,False,neither
592,False,False,neither
593,False,False,neither
594,False,False,neither
595,False,False,neither
596,False,False,neither
597,False,False,neither
598,False,False,neither
599,False,False,neither
600,False,False,neither
601,False,False,neither
602,False,False,neither
603,False,False,neither
604,False,False,neither
605,False,True,low_snr_only
606,False,False,neither
607,False,False,neither
608,False,False,neither
609,False,False,neither
610,False,False,neither
611,False,False,neither
612,False,False,neither
613,False,False,neither
614,False,True,low_snr_only
615,False,False,neither
616,False,False,neither
617,False,False,neither
618,False,False,neither
619,False,False,neither
620,False,False,neither
621,False,False,neither
622,False,False,neither
623,False,False,neither
624,False,False,neither
625,False,False,neither
626,False,False,neither
627,False,False,neither
628,False,False,neither
629,False,False,neither
630,False,True,low_snr_only
631,False,False,neither
632,False,False,neither
633,False,False,neither
634,False,False,neither
635,False,False,neither
636,False,True,low_snr_only
637,False,False,neither
638,False,False,neither
639,False,False,neither
640,False,True,low_snr_only
641,False,False,neither
642,False,False,neither
643,False,False,neither
644,False,True,low_snr_only
645,False,False,neither
646,False,False,neither
647,False,True,low_snr_only
648,False,False,neither
649,False,False,neither
650,False,True,low_snr_only
651,False,False,neither
652,False,True,low_snr_only
653,False,False,neither
654,False,False,neither
655,False,False,neither
656,False,False,neither
657,False,False,neither
658,False,False,neither
659,False,False,neither
660,False,False,neither
661,False,False,neither
662,False,False,neither
663,False,False,neither
664,False,False,neither
665,False,False,neither
666,False,False,neither
