selection_strategy,selected_mean_abs_original_delta,selected_median_abs_original_delta,selected_mean_abs_fixed_delta,selected_median_abs_fixed_delta,selected_mean_abs_retrained_delta,selected_median_abs_retrained_delta,fraction_selected_edges_abs_delta_reduced_fixed,fraction_selected_edges_abs_delta_reduced_retrained,unselected_mean_abs_original_delta,unselected_mean_abs_fixed_delta,unselected_mean_abs_retrained_delta,fraction_unselected_edges_abs_delta_reduced_fixed,fraction_unselected_edges_abs_delta_reduced_retrained
targeted_166,0.42664152804582595,0.48680534958839417,0.36675413148386504,0.47174210846424103,0.35968416407479936,0.45519681274890894,1.0,0.927710843373494,0.4169426895473718,0.41730793174538183,0.40296956258134015,0.18731069663637812,0.8354854136776662
low_snr_20pct,0.4236893382545923,0.486106276512146,0.3505173024297839,0.4586496949195862,0.35569735083500253,0.4573748409748077,0.9902067464635473,0.926006528835691,0.41611113828447466,0.4186923477297872,0.41020740255964644,0.13858695652173914,0.616123188405797
