D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,boundary_mode,chi2_min,chi2_red,dc_resid_std,dof,h1_resid_rms,h2_resid_rms,harmonics,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,observation_source,profile_flat,tile_id,width_decades_dchi1,width_decades_dchi384
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,measured_free_boundary,free,6475.470000986045,7.994407408624747,0.13758254620053625,810,6.571647495947361,0.640838781297963,H1+H2,247.72792026991465,199,148,195,885,75,measured,False,1,0.0,0.0
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,measured_fixed_mosaic_pressure,fixed_mosaic_pressure,9874.492160054144,11.170240000061249,0.20804932801117787,884,8.107834972066021,0.8373504174696386,H1+H2,123.09842745504102,199,148,195,885,1,measured,False,1,0.0,0.0
0.00134712882579763,0.003000000000000001,0.003000000000000001,1e-06,1e-06,mosaic_flow_free_boundary,free,0.005337939498110912,4.787389684404405e-06,3.6300864260617343e-14,1115,0.004676969740140864,0.0007444939682496464,H1+H2,0.1089414702180501,238,238,238,1190,75,mosaic_flow,True,1,3.4771212547196626,3.4771212547196626
0.00134712882579763,0.0022972973567980865,0.003000000000000001,0.00027163446868076383,1e-06,mosaic_flow_fixed_mosaic_pressure,fixed_mosaic_pressure,0.018095049338537433,1.5218712648055032e-05,3.854181207127794e-14,1189,0.008622531197184697,0.0012967554985661908,H1+H2,1.6982466612162908,238,238,238,1190,1,mosaic_flow,False,1,0.9272323345919102,3.4771212547196626
1e-06,4.959344196412829e-06,1.883408213620521e-05,1e-06,1e-06,measured_free_boundary,free,2427.1801510194523,1.9589831727356355,0.2806193981703944,1239,3.141256138711682,0.4258631618816894,H1+H2,562.5200516324117,308,238,300,1384,145,measured,False,2,0.6954242509439323,1.2749444600638764
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,measured_fixed_mosaic_pressure,fixed_mosaic_pressure,8325.726941499855,6.020048403109079,0.3788942966294734,1383,5.859637203236341,0.597658055791672,H1+H2,94.85392536229665,308,238,300,1384,1,measured,False,2,0.0,0.0
0.00134712882579763,0.003000000000000001,0.003000000000000001,1e-06,1e-06,mosaic_flow_free_boundary,free,0.004540646893998275,2.647607518366341e-06,1.2773244943474798e-07,1715,0.0034507357703204267,0.0005463173663129751,H1+H2,0.08052056942027719,372,372,372,1860,145,mosaic_flow,True,2,3.4771212547196626,3.4771212547196626
0.00134712882579763,0.003000000000000001,0.003000000000000001,1e-06,1e-06,mosaic_flow_fixed_mosaic_pressure,fixed_mosaic_pressure,0.00816875420275099,4.394165789537918e-06,1.3076029881872347e-07,1859,0.0046366058973613235,0.0006788979374822001,H1+H2,0.9751704096766928,372,372,372,1860,1,mosaic_flow,True,2,3.4771212547196626,3.4771212547196626
0.0010315851635904682,0.00134712882579763,0.0017591917151838243,0.0007899526232095012,0.0003547226499133238,measured_free_boundary,free,1341.7228151399393,1.4411630667453699,0.2911423371885266,931,2.633279644104177,0.3794808065461371,H1+H2,20.86232695394324,231,186,224,1051,120,measured,False,3,0.23180808364797742,0.6954242509439328
1e-06,0.00027163446868076383,0.0007899526232095012,1e-06,1e-06,measured_fixed_mosaic_pressure,fixed_mosaic_pressure,4581.635492042962,4.36346237337425,0.4808212395076908,1050,4.902264450767563,0.4802759757489404,H1+H2,24.228477736548484,231,186,224,1051,1,measured,False,3,2.4339848783037636,2.897601045599719
0.00134712882579763,0.003000000000000001,0.003000000000000001,1e-06,1e-06,mosaic_flow_free_boundary,free,0.0009069016530045206,7.085169164097817e-07,1.6038662384340656e-07,1280,0.0017882145301635626,0.00020303507923945228,H1+H2,0.01509429003457436,280,280,280,1400,120,mosaic_flow,True,3,3.4771212547196626,3.4771212547196626
0.00134712882579763,0.003000000000000001,0.003000000000000001,1e-06,1e-06,mosaic_flow_fixed_mosaic_pressure,fixed_mosaic_pressure,0.0021634566547382964,1.5464307753669023e-06,1.613940687111322e-07,1399,0.002762269067137951,0.00031064527111020505,H1+H2,0.441029449563953,280,280,280,1400,1,mosaic_flow,True,3,3.4771212547196626,3.4771212547196626
0.00134712882579763,0.0017591917151838243,0.0017591917151838243,0.00134712882579763,0.0010315851635904682,measured_free_boundary,free,1036.2159391238745,0.708281571513243,0.41875117749652657,1463,1.8109959965465596,0.29567226998934265,H1+H2,30.80649061760596,364,287,355,1648,185,measured,False,4,0.1159040418239887,0.23180808364797742
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,measured_fixed_mosaic_pressure,fixed_mosaic_pressure,4595.342311469061,2.790128907995787,0.6929813362338675,1647,3.894122207116276,0.3579110599221267,H1+H2,13.602948418596498,364,287,355,1648,1,measured,False,4,0.0,0.0
0.00134712882579763,0.003000000000000001,0.003000000000000001,1e-06,1e-06,mosaic_flow_free_boundary,free,0.000756951318127371,3.683461402079664e-07,1.558462290156427e-14,2055,0.0012855673626673897,0.00019219790323334393,H1+H2,0.028724704427652396,448,448,448,2240,185,mosaic_flow,True,4,3.4771212547196626,3.4771212547196626
0.00134712882579763,0.003000000000000001,0.003000000000000001,1e-06,1e-06,mosaic_flow_fixed_mosaic_pressure,fixed_mosaic_pressure,0.0013046393851868956,5.826884257199176e-07,1.6226850322471002e-14,2239,0.0016879621282888766,0.00025084923411217304,H1+H2,0.2959621055278425,448,448,448,2240,1,mosaic_flow,True,4,3.4771212547196626,3.4771212547196626
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,measured_free_boundary,free,974197.3895589502,506.33959956286395,0.6845081307537416,1924,50.94891074920432,1.0893569107271812,H1+H2,897.9172025884036,483,375,458,2149,225,measured,False,5,0.0,0.0
1e-06,2.2269585080133038e-06,4.959344196412829e-06,1e-06,1e-06,measured_fixed_mosaic_pressure,fixed_mosaic_pressure,1088792.2033815407,506.8865006431754,0.7709772233569899,2148,53.857860703558394,1.2606444390941212,H1+H2,2324.0774959879927,483,375,458,2149,1,measured,False,5,0.34771212547196667,0.6954242509439323
1e-06,0.0004632260367126272,0.0017591917151838243,1e-06,1e-06,mosaic_flow_free_boundary,free,385.2368339948095,0.1405973846696385,0.23738834840668435,2740,0.7645326974066327,0.09341409292363595,H1+H2,5.579196137552572,593,593,593,2965,225,mosaic_flow,False,5,2.665792961951741,3.245313171071685
1e-06,5.477225575051662e-05,0.00020800838230519039,1e-06,1e-06,mosaic_flow_fixed_mosaic_pressure,fixed_mosaic_pressure,428.2645110472311,0.14448870143293896,0.2750929358248563,2964,0.7983590129102969,0.09548218085804444,H1+H2,122.59833884405151,593,593,593,2965,1,mosaic_flow,False,5,1.7385606273598313,2.318080836479775
0.0007899526232095012,0.0007899526232095012,0.0010315851635904682,0.0007899526232095012,0.0007899526232095012,measured_free_boundary,free,969057.080523115,957.5662851018923,0.877134830709996,1012,67.42158056588566,1.6048671512579584,H1+H2,443.4107099515386,266,213,240,1172,160,measured,False,6,0.0,0.1159040418239887
1e-06,1.7053286313859887e-06,3.7976961046237105e-06,1e-06,1e-06,measured_fixed_mosaic_pressure,fixed_mosaic_pressure,1085847.7215192728,927.2824265749554,0.9142466187517414,1171,71.36766513070435,1.7479855432149685,H1+H2,4277.70812517358,266,213,240,1172,1,measured,False,6,0.23180808364797748,0.5795202091199441
1e-06,0.0010315851635904682,0.0022972973567980865,1e-06,1e-06,mosaic_flow_free_boundary,free,380.9234084635965,0.2531052547930874,0.316631065960478,1505,1.0138621208075345,0.1247408209709115,H1+H2,4.483291312300366,333,333,333,1665,160,mosaic_flow,False,6,3.0135050874237077,3.361217212895674
2.4595094858493616e-05,0.00020800838230519039,0.0004632260367126272,1e-06,1e-06,mosaic_flow_fixed_mosaic_pressure,fixed_mosaic_pressure,428.0921854548818,0.257266938374328,0.3311751658536271,1664,1.076477651786201,0.13041051451842658,H1+H2,164.06979034504297,333,333,333,1665,1,mosaic_flow,False,6,2.318080836479775,2.665792961951741
1e-06,1e-06,1e-06,1e-06,1e-06,measured_free_boundary,free,11513638.978826204,44800.151668584454,1.270346417483892,257,381.75615627364095,1.7858938440173595,H1+H2,47529.21054132469,86,79,64,372,115,measured,False,7,0.0,0.0
1e-06,1e-06,1.7053286313859887e-06,1e-06,1e-06,measured_fixed_mosaic_pressure,fixed_mosaic_pressure,18585785.463255297,50096.456774273036,1.421553222328712,371,485.0291138019443,2.9393779622590652,H1+H2,11257.361778318882,86,79,64,372,1,measured,False,7,0.0,0.23180808364797748
0.0010315851635904682,0.0022972973567980865,0.003000000000000001,1e-06,1e-06,mosaic_flow_free_boundary,free,0.06435111915709878,0.00016087779789274693,5.4524255444173435e-14,400,0.024167327811142756,0.006380314539665322,H1+H2,1.126048467018792,103,103,103,515,115,mosaic_flow,False,7,3.361217212895674,3.4771212547196626
0.00134712882579763,0.0017591917151838243,0.0022972973567980865,0.0007899526232095012,0.00015928570228718652,mosaic_flow_fixed_mosaic_pressure,fixed_mosaic_pressure,0.15029222819780588,0.00029239733112413594,6.325397875165803e-14,514,0.03687042605649781,0.009985966602836535,H1+H2,8.815588848085964,103,103,103,515,1,mosaic_flow,False,7,0.34771212547196617,1.1590404182398877
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,measured_free_boundary,free,16984721.52080648,25274.883215485832,1.1297389730125318,672,344.63230548763886,1.1282345160588199,H1+H2,10456.718574922532,173,143,144,747,75,measured,False,8,0.0,0.0
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,measured_fixed_mosaic_pressure,fixed_mosaic_pressure,19309401.423641916,25883.916117482462,1.2520771907851624,746,367.46035908997374,1.299796721684519,H1+H2,13764.76606888324,173,143,144,747,1,measured,False,8,0.0,0.0
0.00134712882579763,0.003000000000000001,0.003000000000000001,1e-06,1e-06,mosaic_flow_free_boundary,free,0.05309843692126773,5.2572709823037355e-05,1.9653000456722623e-13,1010,0.015390450172002813,0.0027977314390043163,H1+H2,0.035708575173514154,217,217,217,1085,75,mosaic_flow,True,8,3.4771212547196626,3.4771212547196626
0.00134712882579763,0.00134712882579763,0.0017591917151838243,0.0010315851635904682,0.0007899526232095012,mosaic_flow_fixed_mosaic_pressure,fixed_mosaic_pressure,0.14011900913531283,0.00012926107853811146,2.440669818203932e-13,1084,0.02502187572914959,0.004428933789589233,H1+H2,37.336845497659205,217,217,217,1085,1,mosaic_flow,False,8,0.1159040418239887,0.34771212547196617
1e-06,1e-06,1.7053286313859887e-06,1e-06,1e-06,measured_free_boundary,free,7107560.863676382,7365.3480452605,0.8704909441031466,965,181.81315443258407,1.213939355376563,H1+H2,18261.822569597512,248,215,216,1110,145,measured,False,9,0.0,0.23180808364797748
1e-06,1.3058823191183775e-06,2.908145741024809e-06,1e-06,1e-06,measured_fixed_mosaic_pressure,fixed_mosaic_pressure,7880543.629368654,7105.990648664251,1.1823027040165945,1109,191.44015218152737,1.6099205606929254,H1+H2,4896.666003135964,248,215,216,1110,1,measured,False,9,0.11590404182398914,0.4636161672959549
0.0010315851635904682,0.0022972973567980865,0.003000000000000001,1e-06,1e-06,mosaic_flow_free_boundary,free,0.06762698513888143,4.680068175701137e-05,9.828393655584612e-14,1445,0.014192757968811136,0.0033509844103262205,H1+H2,1.1049778157703392,318,318,318,1590,145,mosaic_flow,False,9,3.361217212895674,3.4771212547196626
0.00134712882579763,0.00134712882579763,0.0017591917151838243,0.0010315851635904682,0.0010315851635904682,mosaic_flow_fixed_mosaic_pressure,fixed_mosaic_pressure,0.16912993231079604,0.0001064379687292612,1.830370389446797e-13,1589,0.02235923384796921,0.005649760595339026,H1+H2,44.438664925085746,318,318,318,1590,1,mosaic_flow,False,9,0.1159040418239887,0.23180808364797742
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,measured_free_boundary,free,267560.69636459346,245.4685287748564,0.6132588870866474,1090,35.771676915845376,0.24475711707470207,H1+H2,941.023828544654,281,209,263,1225,135,measured,False,10,0.0,0.0
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,measured_fixed_mosaic_pressure,fixed_mosaic_pressure,314305.5407120595,256.78557247717276,0.838507906262177,1224,38.765837360394706,0.29336680570835527,H1+H2,98.35162438236875,281,209,263,1225,1,measured,False,10,0.0,0.0
0.00134712882579763,0.003000000000000001,0.003000000000000001,1e-06,1e-06,mosaic_flow_free_boundary,free,0.004010224682060264,2.467830573575547e-06,6.349477088784589e-14,1625,0.0033310817345308216,0.0005445899684424566,H1+H2,0.0476885807861652,352,352,352,1760,135,mosaic_flow,True,10,3.4771212547196626,3.4771212547196626
0.00134712882579763,0.0017591917151838243,0.003000000000000001,0.0003547226499133238,1e-06,mosaic_flow_fixed_mosaic_pressure,fixed_mosaic_pressure,0.009954283790087571,5.659058436661496e-06,6.711884095676166e-14,1759,0.005251477315929803,0.0008373776406278634,H1+H2,2.971497683023731,352,352,352,1760,1,mosaic_flow,False,10,0.6954242509439328,3.4771212547196626
1e-06,0.00012197554094669347,0.0004632260367126272,1e-06,1e-06,measured_free_boundary,free,538.9681941512887,0.46065657619768263,0.7298147028766285,1170,1.2067360947469916,0.16974631954019226,H1+H2,23.22700272620682,296,254,268,1340,170,measured,False,11,2.0862727528317975,2.665792961951741
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.0022972973567980865,measured_fixed_mosaic_pressure,fixed_mosaic_pressure,1380.8070561256993,1.031222596061015,1.1817724870250552,1339,1.9062940635293801,0.19578784089239853,H1+H2,13.796733260049223,296,254,268,1340,1,measured,False,11,0.0,0.1159040418239887
0.00134712882579763,0.003000000000000001,0.003000000000000001,1e-06,1e-06,mosaic_flow_free_boundary,free,0.002965831993677546,1.8594557954091197e-06,5.818674385136141e-14,1595,0.00285580223159517,0.0004961692900385598,H1+H2,0.03473606421817185,353,353,353,1765,170,mosaic_flow,True,11,3.4771212547196626,3.4771212547196626
0.00134712882579763,0.003000000000000001,0.003000000000000001,1e-06,1e-06,mosaic_flow_fixed_mosaic_pressure,fixed_mosaic_pressure,0.006036201024916015,3.4218826671859497e-06,6.282210239578646e-14,1764,0.004080429139744813,0.0006706844659355303,H1+H2,0.9486404699602087,353,353,353,1765,1,mosaic_flow,True,11,3.4771212547196626,3.4771212547196626
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,measured_free_boundary,free,6371.397742355845,4.691750914842301,0.6695923736093461,1358,4.6268188573435864,0.4067116646513553,H1+H2,71.31502547749187,338,288,322,1558,200,measured,False,12,0.0,0.0
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.0022972973567980865,measured_fixed_mosaic_pressure,fixed_mosaic_pressure,9378.963634482627,6.023740291896356,1.224435802813803,1557,5.5141390789487685,0.5260488361109571,H1+H2,22.388366609413424,338,288,322,1558,1,measured,False,12,0.0,0.1159040418239887
0.00134712882579763,0.003000000000000001,0.003000000000000001,1e-06,1e-06,mosaic_flow_free_boundary,free,0.011529011774726296,6.100006230013913e-06,8.696241184484273e-14,1890,0.005064074173551774,0.0013915892522171353,H1+H2,0.33750253289834514,418,418,418,2090,200,mosaic_flow,True,12,3.4771212547196626,3.4771212547196626
0.00134712882579763,0.0022972973567980865,0.003000000000000001,0.00027163446868076383,1e-06,mosaic_flow_fixed_mosaic_pressure,fixed_mosaic_pressure,0.0166896253139243,7.989289283831642e-06,8.946864405422484e-14,2089,0.006097058503421998,0.0016592802333390633,H1+H2,2.6072027008738656,418,418,418,2090,1,mosaic_flow,False,12,0.9272323345919102,3.4771212547196626
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,measured_free_boundary,free,281302.94430218375,269.44726465726416,1.2375555463112398,1044,36.206859131522314,1.203612041236294,H1+H2,1610.3753618172486,259,214,251,1189,145,measured,False,13,0.0,0.0
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,measured_fixed_mosaic_pressure,fixed_mosaic_pressure,296227.20577337785,249.34949980924063,1.4152849327852064,1188,37.13578825715636,1.5264483815508663,H1+H2,1229.4235187282902,259,214,251,1189,1,measured,False,13,0.0,0.0
1e-06,0.0003547226499133238,0.00134712882579763,1e-06,1e-06,mosaic_flow_free_boundary,free,736.434181812596,0.5061403311426776,0.8714112314156397,1455,1.2141086258278833,0.25239294358691444,H1+H2,6.786674760777828,320,320,320,1600,145,mosaic_flow,False,13,2.5498889201277524,3.1294091292476964
1e-06,1.883408213620521e-05,5.477225575051662e-05,1e-06,1e-06,mosaic_flow_fixed_mosaic_pressure,fixed_mosaic_pressure,1189.5397819804127,0.7439273183117028,0.9789599351104971,1599,1.6246849086694615,0.3155338062178681,H1+H2,345.62528992427497,320,320,320,1600,1,mosaic_flow,False,13,1.2749444600638764,1.7385606273598313
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,measured_free_boundary,free,84654.02012690097,174.9050002621921,1.4397632525981954,484,27.706665413006288,2.0876562824488545,H1+H2,3977.3774306093837,157,109,147,669,185,measured,False,14,0.0,0.0
1e-06,3.7976961046237105e-06,1.1044253752367952e-05,1e-06,1e-06,measured_fixed_mosaic_pressure,fixed_mosaic_pressure,352096.04156192625,527.0898825777339,1.6823575056395912,668,56.723734685437634,2.5087018643049754,H1+H2,956.6603156310157,157,109,147,669,1,measured,False,14,0.5795202091199441,1.043136376415899
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,mosaic_flow_free_boundary,free,984.1799171759084,1.261769124584498,1.0532277008414843,780,1.9680728400990362,0.3224807269321598,H1+H2,56.0811052814953,193,193,193,965,185,mosaic_flow,False,14,0.0,0.0
1e-06,2.4595094858493616e-05,9.340469593695185e-05,1e-06,1e-06,mosaic_flow_fixed_mosaic_pressure,fixed_mosaic_pressure,1395.6440407603789,1.4477635277597292,1.1284616302423605,964,2.4118756465526143,0.37457156888953236,H1+H2,199.05229491381738,193,193,193,965,1,mosaic_flow,False,14,1.3908485018878647,1.9703687110078087
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,measured_free_boundary,free,72001.07130174407,58.920680279659635,0.6098991466358638,1222,17.830939497513267,0.26457466871421464,H1+H2,139.1766515847703,331,226,327,1437,215,measured,False,15,0.0,0.0
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,measured_fixed_mosaic_pressure,fixed_mosaic_pressure,95038.43001722194,66.18275070837183,1.1020085113241078,1436,20.454886633720108,0.334763472134735,H1+H2,31.248765120384633,331,226,327,1437,1,measured,False,15,0.0,0.0
0.00134712882579763,0.003000000000000001,0.003000000000000001,1e-06,1e-06,mosaic_flow_free_boundary,free,0.006609258056141092,3.7026655776700794e-06,4.906376306985419e-13,1785,0.00398414746318505,0.0008060484674936481,H1+H2,0.2654746231503711,400,400,400,2000,215,mosaic_flow,True,15,3.4771212547196626,3.4771212547196626
0.00134712882579763,0.003000000000000001,0.003000000000000001,1e-06,1e-06,mosaic_flow_fixed_mosaic_pressure,fixed_mosaic_pressure,0.012619213803765218,6.312763283524372e-06,5.036879795343133e-13,1999,0.005491670143141606,0.001178810225753109,H1+H2,0.6925660444860061,400,400,400,2000,1,mosaic_flow,True,15,3.4771212547196626,3.4771212547196626
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.0022972973567980865,0.0003547226499133238,measured_free_boundary,free,21142.10887922622,16.3133556166869,0.6196006935278728,1296,9.004999815337717,0.18050617104407107,H1+H2,4.61926875943027,336,259,331,1516,220,measured,False,16,0.1159040418239887,0.9272323345919102
0.0003547226499133238,0.00134712882579763,0.0022972973567980865,1e-06,1e-06,measured_fixed_mosaic_pressure,fixed_mosaic_pressure,28247.140584746758,18.644977283661227,1.022757671204787,1515,10.373895367644876,0.21825058072409675,H1+H2,5.614430236051703,336,259,331,1516,1,measured,False,16,3.1294091292476964,3.361217212895674
0.00134712882579763,0.003000000000000001,0.003000000000000001,1e-06,1e-06,mosaic_flow_free_boundary,free,0.0021629029831343586,1.1754907517034558e-06,9.851583853589253e-14,1840,0.0022797367550411833,0.0002292702551249714,H1+H2,0.027858897955200992,412,412,412,2060,220,mosaic_flow,True,16,3.4771212547196626,3.4771212547196626
0.00134712882579763,0.003000000000000001,0.003000000000000001,1e-06,1e-06,mosaic_flow_fixed_mosaic_pressure,fixed_mosaic_pressure,0.0035974383808485074,1.747177455487376e-06,1.0590006606421557e-13,2059,0.0029413983252281925,0.0002825286672221527,H1+H2,0.4727133571778626,412,412,412,2060,1,mosaic_flow,True,16,3.4771212547196626,3.4771212547196626
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,measured_free_boundary,free,18441.006658712697,14.931989197338217,0.6537859958932247,1235,8.733904302755674,0.12131375371361963,H1+H2,49.743728231125715,302,240,299,1380,145,measured,False,17,0.0,0.0
0.0022972973567980865,0.003000000000000001,0.003000000000000001,0.0010315851635904682,1e-06,measured_fixed_mosaic_pressure,fixed_mosaic_pressure,22852.864908219322,16.572055771007484,0.954745499639469,1379,9.697236952253538,0.15173323363051025,H1+H2,2.814211361041089,302,240,299,1380,1,measured,False,17,0.46361616729595484,3.4771212547196626
0.00134712882579763,0.003000000000000001,0.003000000000000001,1e-06,1e-06,mosaic_flow_free_boundary,free,0.0009184438554313046,5.402610914301792e-07,3.1248207503946794e-14,1700,0.001570895195664695,0.0001459315679823868,H1+H2,0.022480222067399018,369,369,369,1845,145,mosaic_flow,True,17,3.4771212547196626,3.4771212547196626
0.00134712882579763,0.003000000000000001,0.003000000000000001,1e-06,1e-06,mosaic_flow_fixed_mosaic_pressure,fixed_mosaic_pressure,0.0025369409863117763,1.3757814459391412e-06,3.2335204501970656e-14,1844,0.002614162424657232,0.0002033067687102,H1+H2,0.336563941545062,369,369,369,1845,1,mosaic_flow,True,17,3.4771212547196626,3.4771212547196626
0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,0.003000000000000001,measured_free_boundary,free,12455.39004082924,10.251349827842995,0.4914018006325033,1215,7.181564845970087,0.13503354995057631,H1+H2,163.32067139931132,298,240,291,1360,145,measured,False,18,0.0,0.0
1e-06,0.00020800838230519039,0.0007899526232095012,1e-06,1e-06,measured_fixed_mosaic_pressure,fixed_mosaic_pressure,22773.10230883083,16.757249675372208,0.9794455882070016,1359,9.677823817467734,0.1605137039844431,H1+H2,14.70347380538442,298,240,291,1360,1,measured,False,18,2.318080836479775,2.897601045599719
